"CID","Km"
785,25.7885
786,0.017
787,0.00052
789,0.1
791,39.325
792,18
793,0.155
794,23.4
795,0.8
797,0.31
798,1.5225
800,3.45
804,40.08
805,0.0017
808,0.0013
811,0.0104
813,2.185
814,0.051
817,0.8
818,0.4335
819,83
821,0.00009
823,0.001485
825,0.04895
826,0.45
829,1.45046
831,2.51
835,0.305
836,0.08975
841,0.0098
842,0.04625
843,0.40025
845,0.05
846,0.4
847,0.319
852,0.7
853,0.0012
854,0.01935
857,0.11
858,1.6835
859,0.000069
860,0.012
861,3.275
862,0.1
864,3.8205
868,0.00088
876,0.02275
877,0.022
879,0.33
880,1.07
881,0.0015
882,0.0123
885,0.30675
886,0.0017
894,0.023
898,0.8
899,0.00735
900,1.273
903,0.00965
905,0.75
906,0.16875
909,0.016625
916,14.25
918,0.0166
919,21.75
920,0.13
921,0.001
927,0.07
931,0.017
933,0.0125
935,0.5
940,10.3
942,0.0018
944,0.07875
950,1.54
951,0.00295
954,0.66
956,1.4
957,7.5
958,0.004
961,0.0019
966,0.03
971,0.0059
974,0.0175
977,5.6
978,0.03455
979,1.4
986,0.0954
988,0.061
989,0.055
990,2
992,0.05375
993,0.555
996,0.004
997,0.037
999,0.0029
1001,0.054
1003,0.00975
1005,100.06545
1008,5.8
1010,0.615
1012,26.8
1013,20
1019,51
1020,0.8
1024,0.0355
1026,2.6
1029,0.011
1031,0.29
1033,0.018
1035,45
1036,0.434
1037,0.02315
1040,0.108
1041,0.005
1043,3.2
1044,1.25
1045,14
1046,0.055
1047,5.8
1050,0.0475
1051,0.001
1054,0.075
1060,1.3
1061,0.6105
1062,0.9
1063,0.0016
1064,0.435
1066,0.057
1068,0.66
1073,7.5
1077,5.305
1078,0.0000016
1079,0.00185
1080,0.013
1081,0.0011
1083,10
1089,0.71
1091,0.01565
1092,0.002
1094,0.37825
1096,3.05
1097,0.958
1099,2
1100,0.5
1101,0.05355
1103,0.00505
1104,0.3
1107,0.012
1109,5
1112,0.457625
1113,9.6
1115,0.17
1118,2.11
1120,0.016
1126,0.001
1131,0.3
1134,0.0775
1137,0.0353
1139,0.00009
1141,0.00025
1144,0.0699
1146,0.4
1147,0.0062
1158,34.5
1161,0.32775
1163,0.03365
1164,1.14
1172,0.0555
1175,0.425
1176,0.00565
1177,0.13
1179,0.047
1182,0.049
1183,33
1185,0.1175
1186,0.1978
1187,2.2
1188,0.12
1189,0.03385
1190,0.08075
1194,0.038
1197,1.034
1198,0.0027
1203,0.00235
1204,0.14
1215,0.143
1217,0.46
1220,0.0114
1222,0.032
1225,7.1
1226,0.043
1227,0.0049
1233,0.225
1234,1.5285
1235,2.1
1236,0.09
1242,0.0037
1243,0.00008
1244,0.0415
1245,0.0016
1247,0.00085
1255,15
1260,0.0125
1261,0.0035
1269,0.011
1272,0.002
1273,0.00071
1277,0.0405
1278,0.485
1281,0.5525
1282,0.25
1284,0.01215
1286,0.175
