"ENTRY","DELTAG","UNCERTAINTY","REASON ENERGY COULD NOT BE ESTIMATED"
"R00001","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R00002","Not calculated","Not calculated","Involves unknown structures"
"R00004",-5.39,1.22,
"R00005",-9.62,1.78,
"R00006",10.53,0.73,
"R00008",3.17,0.44,
"R00009",-45.35,1.5,
"R00010",-3.11,0.69,
"R00011","Not calculated","Not calculated","Charge imbalanced"
"R00012",1.07,0.75,
"R00013",-10.57,0.68,
"R00014",-6.87,0.76,
"R00015",0,2,
"R00016",0,2,
"R00017","Not calculated","Not calculated","Involves unknown structures"
"R00018",-0.52,1.1,
"R00019","Not calculated","Not calculated","Involves unknown structures"
"R00021","Not calculated","Not calculated","Involves unknown structures"
"R00022",-3.11,0.69,
"R00023",18.47,6.85,
"R00024",-7.91,0.76,
"R00025","Not calculated","Not calculated","Involves groups with unknown energies"
"R00026",-3.11,0.69,
"R00027",2.47,0.49,
"R00028",-3.11,0.69,
"R00029","Not calculated","Not calculated","Involves unknown structures"
"R00031",-82.88,0.89,
"R00032",-87.46,1.51,
"R00033",-26.49,0.74,
"R00034","Not calculated","Not calculated","Charge imbalanced"
"R00035",-103.89,3.01,
"R00036",-15.3,1.69,
"R00038",-4.02,0.42,
"R00039",0,2,
"R00040",-98.33,1.2,
"R00041","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00042",-136.56,1.23,
"R00043",-83.78,1.23,
"R00044",-121.35,4.77,
"R00045",-79.73,3.53,
"R00047",-83.08,1.26,
"R00048",-2.14,0.68,
"R00049",0,2,
"R00052","Not calculated","Not calculated","Involves unknown structures"
"R00053",-2.14,0.68,
"R00054",-2.14,0.68,
"R00055",-98.33,1.2,
"R00056",-9.31,0.75,
"R00057",-102.94,3.67,
"R00058",-82.17,3.6,
"R00059",-0.46,0.85,
"R00060","Not calculated","Not calculated","Involves unknown structures"
"R00061","Not calculated","Not calculated","Involves unknown structures"
"R00062",0,2,
"R00063",0,2,
"R00064",-8.55,2.73,
"R00066","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00067","Not calculated","Not calculated","Involves unknown structures"
"R00068",-103.89,3.01,
"R00069",134.22,2.3,
"R00070",-84.11,5.3,
"R00071",82.88,0.89,
"R00072",-41.51,0.89,
"R00073",-50.32,0.96,
"R00074",-286.3,7.35,
"R00075",-34.08,6.67,
"R00076","Not calculated","Not calculated","Involves unknown structures"
"R00077","Not calculated","Not calculated","Involves unknown structures"
"R00078",-8.17,3.04,
"R00080",-264.92,7.48,
"R00081","Not calculated","Not calculated","Involves unknown structures"
"R00082","Not calculated","Not calculated","Involves unknown structures"
"R00083","Not calculated","Not calculated","Charge imbalanced"
"R00084",-25.97,2.61,
"R00085",-13.63,1.44,
"R00086",-6.82,0.72,
"R00087",-8.24,0.75,
"R00088",-8.48,1.32,
"R00089",1.05,2.18,
"R00090",-77.06,1.53,
"R00091",2.92,2.04,
"R00092",50.3,1.76,
"R00093",13.41,1.25,
"R00094",2.92,2.04,
"R00095","Not calculated","Not calculated","Charge imbalanced"
"R00097","Not calculated","Not calculated","Charge imbalanced|Involves compounds with unlabeded atoms"
"R00098","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R00099","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00100","Not calculated","Not calculated","Involves unknown structures"
"R00101","Not calculated","Not calculated","Involves unknown structures"
"R00102",-3.67,1.02,
"R00103",-9.31,0.75,
"R00104",-4.5,0.24,
"R00105",-4.5,0.24,
"R00106","Not calculated","Not calculated","Involves unknown structures"
"R00107","Not calculated","Not calculated","Charge imbalanced|Involves compounds with unlabeded atoms"
"R00108","Not calculated","Not calculated","Involves unknown structures"
"R00109","Not calculated","Not calculated","Involves unknown structures"
"R00110","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R00111","Not calculated","Not calculated","Charge imbalanced|Involves compounds with unlabeded atoms"
"R00112",0,2,
"R00113",-77.06,1.53,
"R00114",13.41,1.25,
"R00115",2.92,2.04,
"R00116",2.92,2.04,
"R00118",-2.32,0.74,
"R00119",-3.67,1.02,
"R00120",-28.79,1.89,
"R00121","Not calculated","Not calculated","Charge imbalanced"
"R00122",-6.82,0.72,
"R00123",-8.48,1.32,
"R00124",0,2,
"R00125",-9.31,0.75,
"R00126",2.5,0.74,
"R00127",0,2,
"R00128",-6.82,0.72,
"R00129",-13.1,0.86,
"R00130",-4.5,0.24,
"R00131",-5.75,1.32,
"R00132",0.84,0.87,
"R00134",-3.09,1.26,
"R00135","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00136","Not calculated","Not calculated","Involves groups with unknown energies"
"R00137",1.07,0.75,
"R00138","Not calculated","Not calculated","Involves groups with unknown energies"
"R00139",0,2,
"R00140",0,2,
"R00141","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00143",22.97,1.49,
"R00144","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00145",9.93,1.34,
"R00146",9.93,1.34,
"R00147","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00148","Not calculated","Not calculated","Charge imbalanced"
"R00149",-7.38,1.16,
"R00150",-0.56,0.9,
"R00152","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00153","Not calculated","Not calculated","Involves unknown structures"
"R00155",-6.82,0.72,
"R00156",0,2,
"R00157",0,2,
"R00158",0,2,
"R00159",-6.82,0.72,
"R00160","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00161","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00162","Not calculated","Not calculated","Involves unknown structures"
"R00164","Not calculated","Not calculated","Involves unknown structures"
"R00165","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00166","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00167","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R00168","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00169","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00170","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00171","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R00172","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R00173",-2.32,0.74,
"R00174",-4.5,0.24,
"R00175",-7.47,2.24,
"R00177",3.09,2.36,
"R00178",-3.09,0.54,
"R00179",-3.05,2.77,
"R00180",1.85,2.39,
"R00181",-8.48,1.32,
"R00182",-0.73,0.96,
"R00183",-2.32,0.74,
"R00184",-9.31,0.75,
"R00185",-4.5,0.24,
"R00186","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00187",-9.31,0.75,
"R00188",-2.32,0.74,
"R00189",-3.52,0.91,
"R00190",3.01,0.98,
"R00191",-9.29,2.17,
"R00192",5.67,1.1,
"R00193",3.71,0.79,
"R00194",-0.73,0.96,
"R00195",-3.8,1.23,
"R00196","Not calculated","Not calculated","Involves unknown structures"
"R00197","Not calculated","Not calculated","Involves unknown structures"
"R00198","Not calculated","Not calculated","Involves unknown structures"
"R00199",-2.21,0.99,
"R00200",4.61,0.65,
"R00203",-9.8,1.18,
"R00205",-9.8,1.18,
"R00206",3.18,0.99,
"R00207",-36.16,1.07,
"R00208",-11.43,0.96,
"R00209",-8.14,1.6,
"R00210",-8.14,1.6,
"R00211",-39.85,1.4,
"R00212",5.05,1.21,
"R00213",-6.46,1.43,
"R00214",1.32,1.22,
"R00215",1.32,1.22,
"R00216",1.32,1.22,
"R00217",-4.9,0.53,
"R00218",-55.73,4.7,
"R00219",13.12,0.89,
"R00220",-7.51,0.64,
"R00221",-7.51,0.64,
"R00223",-7.51,0.64,
"R00224",-3.44,0.77,
"R00226",10.53,0.73,
"R00227",-7.3,1.31,
"R00228",-4.7,1.6,
"R00229",0.48,1.31,
"R00230",3.69,1.23,
"R00233",-4.9,0.53,
"R00234","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R00235",-0.95,1.33,
"R00236",-24.59,1.17,
"R00237",3.17,0.44,
"R00238",7.06,1.09,
"R00239",2.63,0.29,
"R00240",2.63,0.29,
"R00241",2.63,0.29,
"R00243",8.69,1.31,
"R00245",-9.8,1.18,
"R00248",8.69,1.31,
"R00250",-23.02,1.06,
"R00251",-4.14,1.47,
"R00253",-2.09,0.89,
"R00254",-2.73,1.3,
"R00256",-4.72,0.88,
"R00257",-8.24,0.75,
"R00258",0,2,
"R00259",-5.29,1.26,
"R00260",0,2,
"R00261",-3.09,0.54,
"R00262",1.81,0.26,
"R00263","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00264",-9.8,1.18,
"R00265",-8.14,1.6,
"R00267",3.13,1.24,
"R00268","Not calculated","Not calculated","Charge imbalanced"
"R00269",-4.72,0.88,
"R00270",4.72,0.88,
"R00271",8.93,1.31,
"R00272",-4.09,0.6,
"R00273",-40.43,1.32,
"R00274",-74.15,2.08,
"R00275","Not calculated","Not calculated","Charge imbalanced"
"R00276",42.89,1.12,
"R00277",-25.57,1.06,
"R00278",-28.04,0.78,
"R00279",-23.02,1.06,
"R00280","Not calculated","Not calculated","Involves unknown structures"
"R00281","Not calculated","Not calculated","Involves unknown structures"
"R00282","Not calculated","Not calculated","Involves unknown structures"
"R00283","Not calculated","Not calculated","Involves unknown structures"
"R00284","Not calculated","Not calculated","Involves unknown structures"
"R00286",-4.58,2.16,
"R00287",-9.31,0.75,
"R00289",1.07,0.75,
"R00291",0,2,
"R00292","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00293",-13.9,0.68,
"R00294","Not calculated","Not calculated","Involves unknown structures"
"R00295","Not calculated","Not calculated","Involves unknown structures"
"R00296","Not calculated","Not calculated","Involves unknown structures"
"R00297","Not calculated","Not calculated","Involves unknown structures"
"R00298","Not calculated","Not calculated","Involves unknown structures"
"R00299",-4.5,0.24,
"R00300",-2,1.61,
"R00301",-1.76,1.66,
"R00302",-29.41,0.8,
"R00303",-2.32,0.74,
"R00304",-2.32,0.74,
"R00305","Not calculated","Not calculated","Involves unknown structures"
"R00306",-3.11,0.69,
"R00307",-0.89,0.61,
"R00308","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00310","Not calculated","Not calculated","Charge imbalanced|Involves compounds with unlabeded atoms"
"R00311","Not calculated","Not calculated","Involves unknown structures"
"R00312","Not calculated","Not calculated","Involves unknown structures|Involves compounds with unlabeded atoms"
"R00313","Not calculated","Not calculated","Involves unknown structures|Involves compounds with unlabeded atoms"
"R00314","Not calculated","Not calculated","Involves unknown structures|Involves compounds with unlabeded atoms"
"R00315",4.17,0.58,
"R00316",23.64,0.87,
"R00317",-10.99,0.9,
"R00318",-7.1,0.98,
"R00319",-117.99,1.03,
"R00320",5.6,0.9,
"R00321",-6.26,1.01,
"R00322",-31.88,0.87,
"R00324",-14.35,0.73,
"R00325",1.63,0.66,
"R00326","Not calculated","Not calculated","Involves unknown structures"
"R00327",-3.68,0.84,
"R00328",-6.82,0.72,
"R00329","Not calculated","Not calculated","Involves unknown structures"
"R00330",0,2,
"R00331",0,2,
"R00332",0,2,
"R00333",0,2,
"R00334",0,2,
"R00335",-6.82,0.72,
"R00336",-3.74,0.75,
"R00337",-4.81,0.69,
"R00338",-11.61,0.93,
"R00339",-8.17,0.69,
"R00340",-8.17,0.69,
"R00341",-0.29,0.83,
"R00342",6.22,1.1,
"R00343",6.22,1.1,
"R00344",-1.07,0.74,
"R00345",6.53,1.08,
"R00346",1.14,1.08,
"R00347",-5.7,0.69,
"R00348",-4.72,0.88,
"R00350",3.17,0.44,
"R00351",8.93,1.31,
"R00352",2.11,1.31,
"R00353",0,2,
"R00354",3.17,0.44,
"R00355",0,2,
"R00356","Not calculated","Not calculated","Charge imbalanced"
"R00357",-23.02,1.06,
"R00359",-23.02,1.06,
"R00360",-25.49,0.78,
"R00361","Not calculated","Not calculated","Involves unknown structures"
"R00362",1.63,0.66,
"R00363",8.22,0.73,
"R00364","Not calculated","Not calculated","Involves unknown structures"
"R00365",10.15,1.3,
"R00366",-21.56,1.05,
"R00367",-10.46,2.37,
"R00368",9.21,1.51,
"R00369",-1.46,0.3,
"R00370",5.25,1.09,
"R00371",5.25,1.09,
"R00372",1.46,0.3,
"R00373",1.46,0.3,
"R00374","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00375","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00376","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00377","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00378","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00379","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00380","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00381","Not calculated","Not calculated","Involves unknown structures"
"R00382","Not calculated","Not calculated","Involves unknown structures"
"R00383",-5.76,1.21,
"R00384","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00385","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00387","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00388","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00389","Not calculated","Not calculated","Involves unknown structures"
"R00390","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00391",7.06,1.09,
"R00392","Not calculated","Not calculated","Involves unknown structures"
"R00393",1.54,0.52,
"R00394","Not calculated","Not calculated","Involves unknown structures"
"R00395",9.01,1.21,
"R00396",8.69,1.31,
"R00397",-4.9,0.53,
"R00398",9.21,1.51,
"R00399",7.06,1.09,
"R00400",0,2,
"R00401",0,2,
"R00402",15,1.26,
"R00405",-1.06,1.21,
"R00406",0,2,
"R00407",-5.76,1.21,
"R00408","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00409",4.98,0.45,
"R00410",0,2,
"R00411",-0.46,0.85,
"R00412","Not calculated","Not calculated","Involves unknown structures"
"R00414",-4.81,0.69,
"R00415",1.07,0.75,
"R00416",1.07,0.75,
"R00417","Not calculated","Not calculated","Involves unknown structures"
"R00418",0,2,
"R00419","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00420",0,2,
"R00421",-4.58,2.16,
"R00422","Not calculated","Not calculated","Involves unknown structures"
"R00423","Not calculated","Not calculated","Involves unknown structures"
"R00424",-16.89,1.79,
"R00425",-18.54,2.79,
"R00426",-8.24,0.75,
"R00428",-9.79,2.46,
"R00429",-4.5,0.24,
"R00430",4.61,0.65,
"R00431",-0.29,0.83,
"R00432",-1.06,1.21,
"R00434",1.05,2.18,
"R00435","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00436","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00437","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00438","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00439","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00440","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00441","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00442","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00443","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00444","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00445",-6.25,1.98,
"R00446",7.69,1.29,
"R00447",-23.02,1.06,
"R00448",-90.63,1.38,
"R00449",-109.26,1.04,
"R00451",-3.09,0.54,
"R00452",9.21,1.51,
"R00453",-1,0.35,
"R00454",-5.29,1.26,
"R00457",-1,0.35,
"R00458",-2,0.98,
"R00459","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00460",0,2,
"R00461",0,2,
"R00462",-3.09,0.54,
"R00463",-0.44,1.4,
"R00465",7.68,1.09,
"R00466",-38.77,1.04,
"R00468",-4.05,1.52,
"R00469",-1.51,1.58,
"R00470",3.21,0.35,
"R00471",3.21,0.35,
"R00472",8.97,1.26,
"R00473",3.21,0.35,
"R00474",10.57,0.68,
"R00475",-24.03,0.76,
"R00476","Not calculated","Not calculated","Involves unknown structures"
"R00477",5.02,0.42,
"R00478",5.02,0.42,
"R00479",5.02,0.42,
"R00480",2.63,0.29,
"R00481",-53.35,1.83,
"R00482",-2.09,0.89,
"R00483",-3.52,0.91,
"R00484",2.73,1.3,
"R00485",-4.72,0.88,
"R00486",1.8,5.05,
"R00487",-5.29,1.26,
"R00488",-2,0.98,
"R00489",-3.09,0.54,
"R00490",3.08,0.89,
"R00491",0,2,
"R00493","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R00494",-0.46,0.85,
"R00497",-6.35,0.86,
"R00499",-5.76,1.21,
"R00500","Not calculated","Not calculated","Charge imbalanced"
"R00501",-4.58,2.16,
"R00502",1.07,0.75,
"R00503",-1.7,0.63,
"R00504",-4.5,0.24,
"R00505",0.24,0.26,
"R00506","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00507",-20.81,1.01,
"R00508",-2.32,0.74,
"R00509",-4.5,0.24,
"R00510",-0.73,0.96,
"R00511",-2.32,0.74,
"R00512",0,2,
"R00513",-4.5,0.24,
"R00514",-6.82,0.72,
"R00515",-8.24,0.75,
"R00516",-4.5,0.24,
"R00517",-4.5,0.24,
"R00518",-1.13,1.99,
"R00519",-3.09,1.26,
"R00521",-4.56,1.3,
"R00522",-5.63,0.87,
"R00524",-17.82,0.94,
"R00525",0.74,0.98,
"R00526",0.74,0.98,
"R00527",-4.56,1.3,
"R00528","Not calculated","Not calculated","Involves unknown structures"
"R00529",12.57,1.01,
"R00530",14,1.01,
"R00531",-20.81,1.01,
"R00532",-23.82,1.18,
"R00533",-40.63,1.12,
"R00534",-16.31,1,
"R00535",-4.5,0.24,
"R00536",-4.5,0.24,
"R00537",-4.5,0.24,
"R00538",-9.8,1.18,
"R00539",-9.45,0.75,
"R00540",1.8,5.05,
"R00542",-6.64,0.69,
"R00543",-12.81,0.56,
"R00544","Not calculated","Not calculated","Involves unknown structures"
"R00545",-13.52,0.91,
"R00546",-14.76,0.77,
"R00547",-4.52,1.27,
"R00548","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00549","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00550","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00551",-3.9,1.68,
"R00552",-12.38,1.71,
"R00554",1.93,0.76,
"R00555",-10.4,1.07,
"R00556",-23.02,1.06,
"R00557","Not calculated","Not calculated","Charge imbalanced"
"R00558","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00559",-109.26,1.04,
"R00562",9.21,1.51,
"R00563",9.21,1.51,
"R00565",0,2,
"R00566",-3.09,0.54,
"R00567",0,2,
"R00568",-5.14,1.46,
"R00569",-6.82,0.72,
"R00570",0,2,
"R00571",-1.67,1.46,
"R00572",4.61,0.65,
"R00573",-6.4,1.56,
"R00574",1.05,2.18,
"R00575",-11.26,0.95,
"R00576",0,2,
"R00577",9.01,1.21,
"R00578",-8.24,0.75,
"R00579",0,2,
"R00580",-4.4,1.45,
"R00581",8.69,1.31,
"R00582",-2.32,0.74,
"R00584",-3.07,0.74,
"R00585",0,2,
"R00586",-3.61,1.18,
"R00588",-1.46,0.3,
"R00589",0,2,
"R00590",-0.87,0.78,
"R00594","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00595","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00596","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00597","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00598","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00599","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00600","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R00601","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R00602",-70.62,1.32,
"R00603","Not calculated","Not calculated","Involves groups with unknown energies"
"R00604",-9.8,1.36,
"R00605",6.44,1.26,
"R00606","Not calculated","Not calculated","Charge imbalanced"
"R00608",-25.27,1,
"R00609","Not calculated","Not calculated","Involves unknown structures"
"R00610",-19.03,1.36,
"R00611","Not calculated","Not calculated","Involves unknown structures"
"R00612",-19.03,1.36,
"R00614",-16.24,1.32,
"R00615",-6.82,0.72,
"R00616",0,2,
"R00617",0,2,
"R00618",-6.82,0.72,
"R00619",-4.5,0.24,
"R00621",-6.87,0.76,
"R00622",9.89,0.76,
"R00623",5.22,1.07,
"R00624",3.76,1.08,
"R00625",5.22,1.07,
"R00626",-2.32,0.74,
"R00627",-3.61,1.18,
"R00628",-3.68,0.84,
"R00629",-4.5,0.24,
"R00630",-2.14,0.68,
"R00631",-9.8,1.18,
"R00632","Not calculated","Not calculated","Involves unknown structures"
"R00634","Not calculated","Not calculated","Involves unknown structures"
"R00635",-41.51,0.89,
"R00636",-4.09,0.6,
"R00637",-26.49,0.74,
"R00638","Not calculated","Not calculated","Involves unknown structures"
"R00639","Not calculated","Not calculated","Involves unknown structures"
"R00640","Not calculated","Not calculated","Involves unknown structures"
"R00642",-74.62,1.79,
"R00643",-24.63,1.47,
"R00644",-74.62,1.79,
"R00645",0,2,
"R00646",-128.2,1.7,
"R00647",-4.78,1.26,
"R00648",-23.02,1.06,
"R00649",0,2,
"R00650",-13.15,2.61,
"R00651",-9.36,1.18,
"R00652",-1.46,0.3,
"R00653",0.74,0.98,
"R00654",-1.84,1.26,
"R00655",0,2,
"R00656",-3.09,0.54,
"R00657","Not calculated","Not calculated","Involves unknown structures"
"R00658",-0.87,0.78,
"R00659",4.61,0.65,
"R00660",0.8,0.68,
"R00661",-5.87,0.78,
"R00662",-8.24,0.75,
"R00664",-10.59,2.52,
"R00665",2.73,1.3,
"R00666",9.21,1.51,
"R00667",-1,0.35,
"R00668","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00669",-2,0.98,
"R00670",-3.09,0.54,
"R00671",-5.38,1.17,
"R00672",0,2,
"R00673",4.44,0.93,
"R00674",-11.95,0.69,
"R00675",8.69,1.31,
"R00676",8.69,1.31,
"R00677",-23.02,1.06,
"R00678",-92.1,1.8,
"R00679",-109.26,1.04,
"R00681",-89.79,0.92,
"R00682",-4.72,0.88,
"R00683",-10.46,2.37,
"R00684",0,2,
"R00685",-3.09,0.54,
"R00686",-8.24,0.75,
"R00687",-11.71,0.77,
"R00688",8.69,1.31,
"R00689",-23.02,1.06,
"R00690",-109.26,1.04,
"R00691",-29.07,1.65,
"R00692",0,2,
"R00693",-5.29,1.26,
"R00694",0,2,
"R00695",0,2,
"R00697",-0.19,0.89,
"R00698","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00699",-3.09,0.54,
"R00700",-8.47,1.16,
"R00702",-17.8,1.82,
"R00703",6.22,1.1,
"R00704",6.22,1.1,
"R00705",-8.95,1.61,
"R00706",-8.95,1.61,
"R00707",4.25,1.68,
"R00708",4.25,1.68,
"R00709",3.13,1.24,
"R00710",-11.99,1.36,
"R00711",-11.99,1.36,
"R00713",-9.8,1.18,
"R00714",-9.8,1.18,
"R00715",9.21,1.51,
"R00716",9.21,1.51,
"R00717",7.68,1.09,
"R00718","Not calculated","Not calculated","Involves unknown structures"
"R00719",-6.82,0.72,
"R00720",-8.24,0.75,
"R00722",0,2,
"R00723",-6.82,0.72,
"R00724",4.61,0.65,
"R00725",-4.5,0.24,
"R00726",-0.29,0.83,
"R00727",-1.06,1.21,
"R00728",5.66,0.87,
"R00729",-23.02,1.06,
"R00730",-90.63,1.38,
"R00731","Not calculated","Not calculated","Charge imbalanced"
"R00732",-16.12,2.09,
"R00733",-16.12,2.09,
"R00734",0,2,
"R00735",-7.78,0.88,
"R00736",-3.09,0.54,
"R00737",-0.19,0.89,
"R00739",0,2,
"R00740",-4.05,1.52,
"R00742",-1.07,0.74,
"R00743",-1.54,0.52,
"R00744",118.58,1.28,
"R00746",5.78,1.26,
"R00747",-4.91,0.99,
"R00748",-10.18,1.05,
"R00749",-7.86,0.76,
"R00750",-1.4,0.54,
"R00751",3.21,0.62,
"R00753",5.87,0.75,
"R00754",5.78,1.26,
"R00755",-3.43,0.72,
"R00756",-4.5,0.24,
"R00758",2.01,1.7,
"R00760",-4.5,0.24,
"R00761",-10.78,1.47,
"R00762",-2.32,0.74,
"R00763",-2.32,0.74,
"R00764",-3.07,0.74,
"R00765",1.58,0.96,
"R00766",-1.7,0.63,
"R00767",-4.5,0.24,
"R00768",-6.3,0.84,
"R00769",-4.5,0.24,
"R00770",-4.5,0.24,
"R00771",-0.89,0.61,
"R00772",-0.89,0.61,
"R00774",-2.1,1.29,
"R00775",-3.9,1.68,
"R00776",4.24,1.11,
"R00777",-3.9,1.68,
"R00778",3.55,4.98,
"R00781",-82.91,1,
"R00782",1.76,1.14,
"R00783","Not calculated","Not calculated","Involves unknown structures"
"R00784","Not calculated","Not calculated","Involves unknown structures"
"R00785","Not calculated","Not calculated","Involves unknown structures"
"R00787","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00789","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00790","Not calculated","Not calculated","Involves unknown structures"
"R00791","Not calculated","Not calculated","Involves unknown structures"
"R00792","Not calculated","Not calculated","Involves unknown structures"
"R00793",40.14,1.18,
"R00794",34.72,1.36,
"R00796",34.72,1.36,
"R00798","Not calculated","Not calculated","Involves unknown structures"
"R00799","Not calculated","Not calculated","Involves groups with unknown energies"
"R00800","Not calculated","Not calculated","Charge imbalanced"
"R00801",-3.11,0.69,
"R00802",-3.11,0.69,
"R00803",-0.8,0.68,
"R00804","Not calculated","Not calculated","Involves unknown structures"
"R00805",-2.32,0.74,
"R00806",-1.7,0.63,
"R00807","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00808","Not calculated","Not calculated","Involves unknown structures"
"R00809",-1.7,0.63,
"R00810",0,2,
"R00811",-13.89,0.95,
"R00812",-9.34,2.06,
"R00813",-11.3,2.13,
"R00814",-9.34,2.06,
"R00815",-95.83,1.31,
"R00816",-72.89,1.45,
"R00817",-96.52,1.56,
"R00818",-95.93,1.39,
"R00819","Not calculated","Not calculated","Charge imbalanced"
"R00820",-11.3,2.13,
"R00821",-0.1,0.66,
"R00822",-0.1,0.66,
"R00823",-92.22,1.44,
"R00825",-92.22,1.44,
"R00827",-4.36,2.22,
"R00828","Not calculated","Not calculated","Charge imbalanced|Involves groups with unknown energies"
"R00829",7.06,1.09,
