#name:E.coli, Lu et al., Nat Biotechnol 2007
#score:8.8
#weight:10%
#description:MS data (APEX in molec/cell) from <a href="http://www.nature.com/nbt/journal/v25/n1/full/nbt1270.html" target="_blank">Lu et al., Nat Biotechnol 2007</a><br/><b>PaxDB score</b>: 8.8
#
#internal_id    string_external_id abundance
4736746	511145.b1653	10.6279417122
4736168	511145.b1024	23.6603036978
4737734	511145.b2731	25.563634704
4737187	511145.b2132	30.5139117373
4737112	511145.b2049	36.0743861844
4737536	511145.b2503	36.2279457985
4735286	511145.b0059	40.0588540659
4738355	511145.b3416	40.4750814409
4738932	511145.b4058	42.3097147251
4737092	511145.b2028	43.336139514
4738885	511145.b4006	43.4896991281
4735880	511145.b0723	46.0880894403
4738889	511145.b4014	47.1508836115
4736722	511145.b1629	47.3327305229
4737816	511145.b2818	47.4499207548
4737007	511145.b1924	49.013804193
4737367	511145.b2320	51.4505528061
4737894	511145.b2908	53.1477906461
4736916	511145.b1827	54.3116108792
4735311	511145.b0085	61.7592521627
4737133	511145.b2070	61.7632932052
4737629	511145.b2601	62.2522593448
4738198	511145.b3244	62.7735538242
4735562	511145.b0366	63.824224868
4738828	511145.b3939	64.9961271861
4737891	511145.b2905	68.5562856076
4735420	511145.b0197	69.2270986586
4736012	511145.b0863	70.9041312862
4738644	511145.b3724	71.1021423676
4738653	511145.b3733	73.8783385487
4737421	511145.b2381	77.4708253099
4736334	511145.b1203	78.0406122991
4738845	511145.b3957	81.7300840798
4736599	511145.b1494	82.1665166672
4737607	511145.b2574	82.792878251
4737532	511145.b2499	83.6697844683
4735979	511145.b0830	83.7021128081
4739194	511145.b4350	84.1627916504
4735741	511145.b0565	84.3810079441
4735652	511145.b0462	86.0742047416
4736526	511145.b1412	87.4602823109
4735898	511145.b0742	92.3054922398
4735969	511145.b0820	93.0288388431
4735836	511145.b0674	94.1037561417
4736373	511145.b1247	94.8513489998
4737115	511145.b2052	96.4718070327
4735391	511145.b0168	97.7447354127
4735591	511145.b0400	98.6620520548
4737836	511145.b2838	102.347482793
4735329	511145.b0104	103.891161019
4735849	511145.b0687	104.889298511
4738147	511145.b3192	109.318281064
4736743	511145.b1650	112.029820566
4737444	511145.b2411	112.316734582
4736071	511145.b0923	114.139244738
4735378	511145.b0154	116.418392695
4735976	511145.b0827	116.559829182
4738894	511145.b4019	116.879071537
4739098	511145.b4235	117.505433121
4737376	511145.b2329	117.513515206
4737213	511145.b2160	121.881882123
4736039	511145.b0891	124.011511508
4735448	511145.b0237	124.843966258
4737879	511145.b2893	126.084566298
4738829	511145.b3940	126.59373765
4735234	511145.b0003	127.098867959
4736188	511145.b1048	131.754148892
4738849	511145.b3961	133.26953982
4738380	511145.b3447	133.499879242
4737987	511145.b3019	136.639769245
4737621	511145.b2592	137.771261139
4737282	511145.b2234	139.080558901
4736639	511145.b1538	139.32302145
4735982	511145.b0833	140.373692493
4738706	511145.b3803	140.418143961
4737357	511145.b2310	142.5720196
4737246	511145.b2196	142.782153809
4735867	511145.b0710	148.20119177
4736306	511145.b1175	148.6416654
4736943	511145.b1854	157.212716491
4736496	511145.b1380	160.239457306
4737566	511145.b2533	161.694232598
4735579	511145.b0386	162.817642406
4735404	511145.b0181	163.783451558
4737547	511145.b2514	166.575811909
4737105	511145.b2042	168.648866699
4738741	511145.b3844	170.721921489
4738018	511145.b3052	171.606909791
4739114	511145.b4254	178.820170611
4736389	511145.b1263	183.172373358
4735614	511145.b0423	185.172689384
4738835	511145.b3946	187.59731487
4736206	511145.b1067	188.765176145
4735478	511145.b0273	189.217772902
4737602	511145.b2569	189.60571298
4735754	511145.b0578	193.565934607
4735671	511145.b0481	193.889218005
4738421	511145.b3488	195.380362679
4738033	511145.b3067	195.901657158
4736080	511145.b0932	196.334048703
4738429	511145.b3498	201.975344
4735630	511145.b0439	201.987467127
4738144	511145.b3189	203.987783153
4738191	511145.b3237	210.655503238
4735597	511145.b0406	211.395014011
4735290	511145.b0063	211.690010112
4736458	511145.b1333	213.625669458
4735968	511145.b0819	214.300523552
4739107	511145.b4245	215.326948341
4737344	511145.b2297	215.888653245
4735834	511145.b0661	223.857589008
4736965	511145.b1876	229.515048474
4736079	511145.b0931	230.598047858
4735394	511145.b0171	234.90984018
4738621	511145.b3701	235.435175702
4736793	511145.b1702	235.536201764
4735282	511145.b0053	238.550819451
4739193	511145.b4349	240.745105516
4738029	511145.b3063	241.74728405
4735706	511145.b0522	242.95555575
4738328	511145.b3389	243.084869109
4735324	511145.b0098	249.283828268
4738943	511145.b4069	252.399472017
4736223	511145.b1084	258.105423993
4736697	511145.b1604	262.599063227
4736262	511145.b1123	270.345741653
4737203	511145.b2150	273.485631657
4737496	511145.b2463	286.849359126
4735453	511145.b0242	288.704197622
4736641	511145.b1540	290.134726659
4735357	511145.b0133	296.984293656
4735896	511145.b0740	307.939559809
4737628	511145.b2600	311.426979466
4737083	511145.b2019	312.82113912
4735255	511145.b0026	319.036262448
4737302	511145.b2255	319.820224689
4737080	511145.b2016	321.311369362
4735403	511145.b0180	323.934005929
4736810	511145.b1719	332.250471345
4735924	511145.b0775	332.690944975
4738546	511145.b3619	337.798822665
4736635	511145.b1534	339.04750479
4737889	511145.b2903	343.440117962
4735905	511145.b0756	344.676676959
4736705	511145.b1612	347.380134376
4738131	511145.b3176	348.180260786
4735260	511145.b0031	352.273836814
4737084	511145.b2020	355.543040178
4737350	511145.b2303	357.252401145
4737314	511145.b2267	357.801982922
4737702	511145.b2699	360.456947829
4738021	511145.b3055	363.839300381
