#name:Lewis et al., Mol Syst Biol 2010
#score:8.4
#weight:100%
#description:Spectral counting data based on <a href="http://www.ncbi.nlm.nih.gov/pubmed/20664636" target="_blank">Lewis et al., Mol Syst Biol 2010</a><br/><b>Interaction consistency score</b>: 8.4&nbsp<b>Coverage</b>: 20%
#organ:WHOLE_ORGANISM
#integrated:false
#
#internal_id	string_external_id	abundance_ppm	raw_spectral_count
#
4736838	511145.b1749	66.57188978740855	6926
4737629	511145.b2601	60.67645051461371	5755
4736835	511145.b1746	41.80687786797542	10097
4735907	511145.b0758	7646.310582285964	739772
4737637	511145.b2609	15307.229698256328	329412
4736829	511145.b1740	55.205431780624984	7314
4737634	511145.b2606	6598.725242041671	196490
4735903	511145.b0754	304.1310346046616	26151
4735904	511145.b0755	3953.1529941978197	267648
4735905	511145.b0756	32.83480599066193	3506
4735906	511145.b0757	521.3129687796718	27335
4737288	511145.b2241	56.456807506169085	11137
4737102	511145.b2039	61.12877999986505	7848
4737876	511145.b2890	115.41898714900022	15926
4735324	511145.b0098	50.54843974120402	17575
4736466	511145.b1341	29.516207810703214	5220
4735912	511145.b0763	96.54231893831154	11587
4737286	511145.b2239	14.38528903528372	2312
4737105	511145.b2042	422.40304225340975	46471
4735916	511145.b0767	186.33240236795652	15701
4737282	511145.b2234	244.2998062409466	55645
4737279	511145.b2231	159.84559944011556	46971
4737280	511145.b2232	208.7591023727004	19401
4736626	511145.b1525	1.0990764108743167	279
4738107	511145.b3150	37.59711003181076	2750
4737086	511145.b2022	111.25733502515506	11650
4737088	511145.b2024	120.7888151122151	9470
4737089	511145.b2025	158.22570269996717	16924
4737090	511145.b2026	578.8515205180182	27974
4737091	511145.b2027	17.096615308926737	2026
4737092	511145.b2028	61.002245061642036	5218
4737093	511145.b2029	2020.5462832795733	312213
4736987	511145.b1900	5.970518667992244	7206
4736991	511145.b1905	229.8360731876663	8421
4736270	511145.b1131	98.1741579755506	12892
4736812	511145.b1723	20.118602730415144	1969
4738104	511145.b3147	23.203445969500848	4472
4736272	511145.b1133	650.4870575622749	65490
4736816	511145.b1727	38.03023005759552	3380
4736275	511145.b1136	6563.79693779377	728092
4735921	511145.b0772	6.299866739292624	836
4735321	511145.b0095	591.2378117053938	105560
4738106	511145.b3149	36.444668212159996	2167
4735304	511145.b0077	49.576425858410694	10793
4735305	511145.b0078	1039.2616781795236	63976
4737083	511145.b2019	774.5328330129139	69513
4736269	511145.b1130	91.2456925591529	10048
4736449	511145.b1324	9435.110930056246	468870
4738119	511145.b3162	290.3664043359384	57242
4738122	511145.b3165	5020.152357033302	55411
4736640	511145.b1539	486.6781979647491	20740
4738121	511145.b3164	686.6597756516837	137766
4736454	511145.b1329	161.31124338081034	29576
4737002	511145.b1919	144.1315635904267	13310
4737076	511145.b2012	434.8115639853103	4179
4737081	511145.b2017	53.18298744221993	1437
4737079	511145.b2015	55.31359915021592	3029
4737080	511145.b2016	10.072933923267106	1300
4737344	511145.b2297	94.97198066323529	24195
4737085	511145.b2021	54.028204307660175	4536
4736998	511145.b1915	197.68411512647435	5862
4736821	511145.b1732	82.50378441618531	29185
4737084	511145.b2020	1187.1539200311902	90041
4736997	511145.b1914	487.6748424072554	64048
4735931	511145.b0782	113.74194795941204	9633
4738113	511145.b3156	293.51084582893105	11531
4736262	511145.b1123	73.75634001461246	8667
4736259	511145.b1120	14.92105695729518	1472
4738115	511145.b3158	37.377848471782855	2492
4739295	511145.b4517	95.6365460961592	2712
4736828	511145.b1739	2740.398661994874	73323
4736265	511145.b1126	11.498365705461179	2026
4735308	511145.b0082	32.33171499468453	3789
4735932	511145.b0783	432.29991587963866	30329
4735295	511145.b0068	23.326788595736804	2108
4738884	511145.b4005	117.54840729676319	13844
4738885	511145.b4006	740.8294029691875	118146
4737341	511145.b2294	145.28134253629162	13226
4737071	511145.b2007	1547.3754591380261	39696
4737343	511145.b2296	428.6896137726105	55200
4737011	511145.b1928	128.97273880838347	7512
4736256	511145.b1117	112.08307185529173	8368
4737334	511145.b2287	90.65018095301865	8503
4737003	511145.b1920	1033.4737199841993	128905
4737333	511145.b2286	26.485999646336627	6987
4737006	511145.b1923	204.9525811644301	27991
4735299	511145.b0072	619.8585353254639	68791
4735298	511145.b0071	509.1059973294167	30817
4736253	511145.b1114	15.72835629499445	4115
4738088	511145.b3129	54.57067530508546	2943
4735301	511145.b0074	130.90324074423603	27885
4735300	511145.b0073	517.9692589935919	48147
4736793	511145.b1702	382.4050261448672	67051
4736794	511145.b1703	273.61286381741365	29223
4736617	511145.b1516	218.3716936456379	17386
4735282	511145.b0053	176.02258581067545	24143
4736810	511145.b1719	106.47662530742221	25040
4737331	511145.b2284	841.6353725328665	167755
4737330	511145.b2283	41.495675237811774	12276
4736434	511145.b1308	114.90596849536594	4537
4736801	511145.b1710	579.6907808533603	48001
4736808	511145.b1717	5236.307098391692	75753
4737013	511145.b1930	151.28262114135836	3406
4736809	511145.b1718	1930.0230648123309	116367
4736807	511145.b1716	4942.55477825203	58311
4736242	511145.b1103	1657.7183489004606	39081
4736804	511145.b1713	384.3137664289823	92750
4736805	511145.b1714	494.1525449180481	65989
4736240	511145.b1101	9.548438093217507	1044
4738879	511145.b4000	8700.517517460426	239705
4736803	511145.b1712	2863.5197833184648	63963
4736188	511145.b1048	40.807562842432986	6903
4738845	511145.b3957	48.41348694882912	3646
4738844	511145.b3956	163.998296313235	37414
4735385	511145.b0161	131.4149467543697	17009
4736189	511145.b1049	62.09891374248786	14969
4738847	511145.b3959	75.92821303800967	4780
4736185	511145.b1045	76.73275355508984	8267
4738838	511145.b3950	586.3856917227206	16501
4735741	511145.b0565	40.24177722665735	6113
4736097	511145.b0949	55.973993189096085	9337
4739105	511145.b4243	724.5979998135701	25063
4739098	511145.b4235	29.440478859881388	5701
4736093	511145.b0945	10.547018442075503	1795
4736095	511145.b0947	132.58338388153243	10550
4739096	511145.b4233	38.72686329094626	3506
4735380	511145.b0156	164.76315070058573	4566
4735383	511145.b0159	111.53351114327245	10379
4735378	511145.b0154	148.41050727351035	26839
4735395	511145.b0172	1914.0033595003977	65095
4737356	511145.b2309	1762.1470447493896	142531
4735393	511145.b0170	3099.2103380206227	343887
4735394	511145.b0171	40.6994379376238	4250
4737350	511145.b2303	39.91964173456068	2388
4738830	511145.b3941	46.51226478288341	6808
4738829	511145.b3940	6.192149767185166	1451
4739114	511145.b4254	195.45156458043914	29627
4738831	511145.b3942	484.5560020251927	104667
4739107	511145.b4245	4345.722308126454	435863
4739106	511145.b4244	3642.471994860771	178330
4737163	511145.b2104	30.602534494180556	2092
4737162	511145.b2103	390.96265650467586	43704
4736080	511145.b0932	42.38613819388729	10041
4736078	511145.b0930	281.90301294059316	47573
4735392	511145.b0169	6914.230079465097	537418
4736203	511145.b1064	260.26370237779565	21307
4735391	511145.b0168	181.21768476165988	19282
4736201	511145.b1062	1070.601796398676	82606
4735389	511145.b0166	454.14723195148946	40286
4735387	511145.b0163	873.5312705226922	42743
4738828	511145.b3939	12.898082648126612	1576
4738827	511145.b3938	329.8669821306587	6610
4738825	511145.b3936	1254.3956415918565	34562
4737048	511145.b1973	804.3384393037549	47350
4738821	511145.b3932	61.62605796487255	3284
4738820	511145.b3931	48.380651420567936	6026
4736111	511145.b0963	67.7294136188465	2799
4736113	511145.b0965	133.9707251922406	6503
4739080	511145.b4214	1429.181344543594	186331
4739079	511145.b4213	27.67379477559124	7367
4735355	511145.b0131	583.5986888516419	11585
4735357	511145.b0133	89.85966411725394	6534
4735358	511145.b0134	338.5215995913701	11018
4739085	511145.b4219	195.98736422872756	12110
4736174	511145.b1034	39.412809031433035	4127
4736173	511145.b1033	79.31826449124691	8966
4738817	511145.b3928	1073.8292943028569	30152
4738812	511145.b3923	210.78836320260123	8413
4735374	511145.b0150	43.75409241777697	13643
4738814	511145.b3925	16.676615059398685	3088
4738809	511145.b3920	227.90638778045164	8483
4739095	511145.b4232	27.753411074942797	3521
4736102	511145.b0954	620.9249430185706	35651
4739091	511145.b4226	1651.106436475396	45082
4736105	511145.b0957	19541.404753975512	2448069
4735369	511145.b0145	911.203365391695	53478
4736053	511145.b0905	75.14296653484087	15542
4738801	511145.b3910	356.0620061624152	31102
4736056	511145.b0908	32.24254643582736	5802
4736055	511145.b0907	560.3551372668719	68396
4735713	511145.b0529	147.0232775177268	13148
4738803	511145.b3912	124.59016487490183	5363
4738806	511145.b3917	110.46387979726549	12711
4735707	511145.b0523	963.9837202911767	32679
4736228	511145.b1089	3941.4982738596646	55121
4735709	511145.b0525	1035.2172584053687	34630
4738805	511145.b3916	59.088220053533796	5255
4736234	511145.b1095	181.74932943345493	16808
4735528	511145.b0329	296.54522120244593	10356
4736233	511145.b1094	324.19003146746195	5843
4735338	511145.b0114	388.97454757336163	108032
4738633	511145.b3713	37.05880157157649	2007
4735339	511145.b0115	432.8492657095852	111670
4738808	511145.b3919	1122.0346802028464	60185
4736230	511145.b1091	187.57038448354052	23284
4735524	511145.b0325	185.30212418233634	34131
4736412	511145.b1286	9.445189141943393	2205
4736414	511145.b1288	1284.66295376615	105761
4736232	511145.b1093	928.03816671026	71792
4736231	511145.b1092	826.0334689834223	38027
4739277	511145.b4480	882.9664247931762	75052
4736051	511145.b0903	716.6368354784399	174721
4735340	511145.b0116	2806.8518504010235	375398
4735342	511145.b0118	1297.1934749515526	386878
4735520	511145.b0320	13.125876920539923	11349
4739280	511145.b4483	208.97456155442407	22196
4737389	511145.b2344	21.30165007333624	2595
4737387	511145.b2342	45.63974107298911	4677
4737054	511145.b1983	153.80867654155307	7966
4736237	511145.b1098	13.454931525948787	1075
4739074	511145.b4208	51.75955381653339	4927
4738623	511145.b3703	14363.688417756144	40105
4735349	511145.b0125	103.3154925578777	11349
4735350	511145.b0126	156.86858873316314	10687
4738799	511145.b3908	3007.0020400123713	135965
4735347	511145.b0123	54.61486342897966	5777
4735346	511145.b0122	618.0210320882031	17790
4735344	511145.b0120	127.19253591567785	10710
4739067	511145.b4200	4298.124769350859	167534
4739069	511145.b4202	14998.090515575768	264181
4739070	511145.b4203	16723.89354759028	1322013
4739073	511145.b4207	491.85561796314147	34066
4736076	511145.b0928	613.6836708796269	77804
4735881	511145.b0724	45.96710680028725	5965
4737357	511145.b2310	1143.3018693351476	129817
4736077	511145.b0929	454.85122408109675	59074
4735880	511145.b0723	276.37496933385046	56306
4735882	511145.b0726	205.2523203552902	59375
4737359	511145.b2312	71.78107341842406	15504
4735884	511145.b0728	2367.879081930751	349050
4735883	511145.b0727	417.3587104506949	31641
4737364	511145.b2317	54.27462838428418	1473
4737363	511145.b2316	619.7638183786163	50761
4737366	511145.b2319	8.014316891685997	959
4736398	511145.b1272	328.6295475284167	61090
4735877	511145.b0720	369.16637792709724	59010
4736390	511145.b1264	110.6076625527657	21613
4735508	511145.b0307	39.343812078612366	6929
4736393	511145.b1267	21.327054588825032	2279
4735509	511145.b0308	24.34092958252653	2750
4735885	511145.b0729	2336.2884102004655	211379
4736072	511145.b0924	3.587832256867609	2160
4736073	511145.b0925	13.51809550690754	2455
4735870	511145.b0713	77.26933314550399	2936
4735869	511145.b0712	352.4385342847747	28535
4737367	511145.b2320	181.9538208865534	26459
4737370	511145.b2323	1391.5895548763726	102310
4737376	511145.b2329	55.38389266867378	11708
4736410	511145.b1284	26.434924730890963	3728
4736403	511145.b1277	184.99391065106084	10772
4736402	511145.b1276	93.17936906368583	35047
4736400	511145.b1274	29.71341345731047	9514
4735329	511145.b0104	328.4668894179206	23399
4736223	511145.b1084	99.82043425728901	21509
4735327	511145.b0102	79.65880541013833	10504
4736058	511145.b0910	97.314124210945	3545
4736059	511145.b0911	2825.267584026707	364105
4735333	511145.b0109	29.54107006432218	3050
4736060	511145.b0912	832.2477498149742	25792
4738671	511145.b3751	642.0322111178522	82978
4738365	511145.b3429	579.8655611784087	84971
4738360	511145.b3423	18.84952863464586	1511
4738363	511145.b3426	71.49487500410119	16755
4738374	511145.b3440	30.971713594687152	4078
4735555	511145.b0357	378.1141641137606	7848
4738664	511145.b3744	398.4459343645125	60293
4738668	511145.b3748	4831.319174447113	307015
4738563	511145.b3636	2777.7495963416054	39740
4738564	511145.b3637	10991.431956571112	137344
4738369	511145.b3433	1051.1926769718966	85808
4738651	511145.b3731	1379.941500660883	31634
4738652	511145.b3732	3894.028950376517	622574
4738653	511145.b3733	429.68519026609727	31583
4738654	511145.b3734	2095.453075018673	288232
4738527	511145.b3600	162.87419644912492	25523
4738529	511145.b3602	118.45512001004458	4522
4738650	511145.b3730	28.446521200808757	4093
4738534	511145.b3607	39.132821216972864	2436
4738655	511145.b3735	1320.8655795341729	74854
4738535	511145.b3608	217.3603597638636	16697
4738656	511145.b3736	2125.642207957	119154
4738536	511145.b3609	14.229750674583714	921
4738344	511145.b3405	85.13020989682629	6339
4738346	511145.b3407	22.565918347592703	4246
4738340	511145.b3401	14.675597127551288	1795
4738342	511145.b3403	911.2142013056347	140710
4738537	511145.b3610	619.7111662268896	9019
4735535	511145.b0337	50.794841031028575	4178
4738648	511145.b3728	195.87158103825675	17993
4738649	511145.b3729	40.36662534266984	8041
4738546	511145.b3619	221.08929952375414	26169
4738353	511145.b3414	912.4659635365175	48755
4738587	511145.b3661	45.910918031804826	4664
4738870	511145.b3991	50.990251122842906	4258
4738871	511145.b3992	145.4983972032666	11676
4738872	511145.b3993	157.58003140202428	15153
4738596	511145.b3670	21.71906940623853	1479
4738597	511145.b3671	122.83570066488781	20499
4738873	511145.b3994	151.0757245692971	25094
4738692	511145.b3785	537.6572884716733	59581
4738690	511145.b3783	450.8522561385256	70776
4738861	511145.b3982	1249.8316877905118	59902
4738862	511145.b3983	8659.358249635992	470715
