"smiles","cid","compound name","dG0","dH0","charge","hydrogens","Mg","use for","ref","remark"
"C(C1C(C(C(C(O1)O)O)O)O)OP(=O)([O-])[O-]",275,"D-Mannose-6P",-1759.87,-2273.71,-2,11,0,"train","Alberty (2003) beta",
"C(C1C(C(C(C(O1)O)O)O)O)OP(=O)([O-])O",275,"D-Mannose-6P",-1796.63,-2271.9,-1,12,0,"train","Alberty (2003) beta",
,282,"H2(aq)",17.6,-4.2,0,2,0,"test","Alberty (2003)",
,282,"H2(g)",0,0,0,2,0,"skip","Alberty (2003)","irrelevant for aquatic reactions"
"[S-2]",283,"Sulfide",85.8,33.1,-2,0,0,"test","Alberty (2003) beta",
"[SH-1]",283,"Sulfide",12.08,-17.6,-1,1,0,"test","Alberty (2003) beta",
"[SH2]",283,"Sulfide",-27.83,-39.7,0,2,0,"test","Alberty (2003) beta",
"C(=O)([O-])[O-]",288,"CO2(tot)",-527.81,-677.14,-2,0,0,"test","Alberty (2003)",
"C(=O)([O-])O",288,"CO2(tot)",-586.77,-691.99,-1,1,0,"test","Alberty (2003)",
"C(=O)(O)O",288,"CO2(tot)",-623.11,-699.63,0,2,0,"test","Alberty (2003)",
"C1=NC(=O)C2=C(N1)N(C=N2)C3C(C(C(O3)CO)O)O",294,"Inosine",-409.15,,0,12,0,"train","Alberty (2003) beta",
,299,"Uridine",-160.08,,-1,11,0,"test","Alberty (2003) beta","Cytidine0=0"
,299,"Uridine",-214.65,,0,12,0,"test","Alberty (2003) beta","Cytidine0=0"
"C(=O)([O-])CN(C)C(=[NH2+])[NH2]",300,"Creatine",-259.2,,0,9,0,"train","Alberty (2003)",
,305,"Mg",-455.3,-467,2,0,1,"test","Alberty (2003) beta",
"C([C@H]([C@H](C(=O)CO)O)O)O",309,"D-Ribulose",-735.94,-1023.02,0,10,0,"train","Alberty (2003)",
"C([C@@H]([C@H](C(=O)CO)O)O)O",310,"D-Xylulose",-746.15,-1029.65,0,10,0,"train","Alberty (2003)",
"C(C(C(C(=O)[O-])O)C(=O)[O-])C(=O)[O-]",311,"Isocitrate",-1156.04,,-3,5,0,"train","Alberty (2003)",
"C(C(C(C(=O)[O-])O)C(=O)[O-])C(=O)O",311,"Isocitrate",-1192.57,,-2,6,0,"train","Alberty (2003)",
"C(C(C(C(=O)[O-])O)C(=O)O)C(=O)O",311,"Isocitrate",-1219.47,,-1,7,0,"train","Alberty (2003)",
"CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)(O)O)C(C(=NCCC(=NCCSC(=O)C(=O)[O-])O)O)O",313,"Oxalyl-CoA",-509.96,,-1,35,0,"train","Alberty (2003) beta","CoA-1=0 ?"
"CC(=O)CC(=O)SCCN=C(CCN=C(C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)(O)O)O)O)O",332,"Acetoacetyl-CoA",-285.32,,0,40,0,"train","Alberty (2003) beta","CoA-1=0"
,342,"Thioredoxin(red)",69.88,,-2,0,0,"test","Alberty (2003)",
,342,"Thioredoxin(red)",20.56,,-1,1,0,"test","Alberty (2003)",
,342,"Thioredoxin(red)",-25.37,,0,2,0,"test","Alberty (2003)",
,343,"Thioredoxin(ox)",0,,0,0,0,"test","Alberty (2003)",
"C([C@@H]1[C@H]([C@@H](C(COP(=O)([O-])[O-])(O)O1)O)O)OP(=O)([O-])[O-]",354,"D-Fructose-1,6-bisphosphate",-2601.4,-3343.25,-4,10,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@@H](C(COP(=O)([O-])[O-])(O)O1)O)O)OP(=O)([O-])O",354,"D-Fructose-1,6-bisphosphate",-2639.36,-3341.45,-3,11,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@@H](C(COP(=O)([O-])O)(O)O1)O)O)OP(=O)([O-])O",354,"D-Fructose-1,6-bisphosphate",-2673.89,-3339.65,-2,12,0,"train","Alberty (2003)",
"C12=C(NC(=O)N1)N=C([O-])NC2=O",366,"Urate",-325.9,,-1,3,0,"skip","Alberty (2003)",
"C12=C(NC(=O)N1)NC(=O)NC2=O",366,"Urate",-356.9,,0,4,0,"skip","Alberty (2003)",
"C1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C",376,"retinal",0,,0,28,0,"test","Alberty (2003)",
"C/C(=CC=CC(=CCO)\C)C=CC1=C(C)CCCC1(C)C",473,"retinol",-27.91,,0,30,0,"test","Alberty (2003)",
"C(C(C(C(CO)O)O)O)O",379,"Xylitol",-784.09,,0,12,0,"train","Alberty (2003) beta",
,380,"Cytosine",507.9,,0,5,0,"test","Alberty (2003) beta","Cytidine0=0"
,380,"Cytosine",481.64,,1,6,0,"test","Alberty (2003) beta","Cytidine0=0"
,385,"Xanthine",335.49,,-1,3,0,"test","Alberty (2003) beta","Guanosine0=0"
,385,"Xanthine",293.25,,0,4,0,"test","Alberty (2003) beta","Guanosine0=0"
,387,"Guanosine",52.86,,-1,12,0,"test","Alberty (2003) beta","Guanosine0=0"
,387,"Guanosine",0,,0,13,0,"test","Alberty (2003) beta",
,390,"Ubiquinone(red)",-89.92,,0,92,0,"test","Alberty (2003)",
"C(C(C(C(C(CO)O)O)O)O)O",392,"D-Mannitol",-942.61,,0,14,0,"train","Alberty (2003)",
,399,"Ubiquinone(ox)",0,,0,90,0,"test","Alberty (2003)",
"CC[C@H](C)[C@@H](C(=O)[O-])[NH3+]",407,"L-Isoleucine",-343.9,,0,13,0,"train","Alberty (2003)",
"C(=C(\CC(=O)[O-])C(=O)[O-])C(=O)[O-]",417,"cis-Aconitate",-917.13,,-3,3,0,"train","Alberty (2003)",
"C1=CC=C(C=C1)C=CC(=O)[O-]",423,"trans-Cinnamate",-128.75,,-1,7,0,"test","Alberty (2003) beta",
,455,"Nicotinamide-ribonucleotide",840.08,,-2,14,0,"test","Alberty (2003) beta","protonation levels don't make sense"
,455,"Nicotinamide-ribonucleotide",803.32,,-1,15,0,"test","Alberty (2003) beta","protonation levels don't make sense"
"c1ccc2c(c1)cc[nH]2",463,"Indole",223.8,97.5,0,7,0,"train","Alberty (2003)",
"CCO",469,"Ethanol",-181.64,-288.3,0,6,0,"train","Alberty (2003)",
"C(C(C(C(CO)O)O)O)O",474,"Ribitol",-774.8,,0,12,0,"test","Alberty (2003) beta",
,475,"Cytidine",0,,0,13,0,"test","Alberty (2003) beta","Cytidine0=0"
,475,"Cytidine",-22.09,,1,14,0,"test","Alberty (2003) beta","Cytidine0=0"
"C([C@H]([C@@H]([C@@H](C=O)O)O)O)O",476,"D-Lyxose",-749.14,,0,10,0,"train","Alberty (2003)",
"C([C@@H](C(=O)[O-])[NH3+])SSC[C@@H](C(=O)[O-])[NH3+]",491,"L-cystine",-666.51,,0,12,0,"train","Alberty (2003)",
,533,"NO_g",86.55,90.25,0,0,0,"test","Alberty (2003) beta",
"C1[C@@H]2[C@H]([C@H]([C@H](n3cnc4c(N)ncnc34)O2)O)OP(=O)([O-])O1",575,"Cyclic-AMP",-629.68,,-1,11,0,"skip","Alberty (2003) beta","decomposition scheme doesn't support this kind of P-ring"
"C(C(C=O)O)O",577,"D-Glyceraldehyde",-440.02,,0,6,0,"train","Alberty (2003) beta",
"C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)([O-])[O-])O)O)O",620,"D-Ribose 1-phosphate",-1574.49,,-2,9,0,"skip","Alberty (2003)","duplicate entry with big difference"
"C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)([O-])O)O)O)O",620,"D-Ribose 1-phosphate",-1612.67,,-1,10,0,"skip","Alberty (2003)","duplicate entry with big difference"
"C(C1C(C(C(O1)OP(=O)([O-])[O-])O)O)O",620,"D-Ribose 1-phosphate",-1587.7,,-2,9,0,"skip","Alberty (2003) beta",
"C(C1C(C(C(O1)OP(=O)([O-])O)O)O)O",620,"D-Ribose 1-phosphate",-1625.88,,-1,10,0,"skip","Alberty (2003) beta",
"C([C@H](C(=O)[O-])OP(=O)([O-])[O-])O",631,"2-Phospho-D-glycerate",-1496.38,,-3,4,0,"train","Alberty (2003)",
"C([C@H](C(=O)[O-])OP(=O)([O-])O)O",631,"2-Phospho-D-glycerate",-1539.99,,-2,5,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)([O-])[O-])O)O)O)O",636,"D-Mannose-1P",-1754.56,,-2,11,0,"train","Alberty (2003) beta",
"C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)([O-])O)O)O)O)O",636,"D-Mannose-1P",-1791.32,,-1,12,0,"train","Alberty (2003) beta",
"C(C(C(C(C(COP(=O)([O-])[O-])O)O)O)O)O",644,"D-Mannitol-1P",-1793.58,,-2,13,0,"train","Alberty (2003) beta",
"C(C(C(C(C(COP(=O)([O-])O)O)O)O)O)O",644,"D-Mannitol-1P",-1830.68,,-1,14,0,"train","Alberty (2003) beta",
,655,"XMP",-1014.51,,-3,10,0,"test","Alberty (2003) beta","Guanosine0=0"
,655,"XMP",-1060.92,,-2,11,0,"test","Alberty (2003) beta","Guanosine0=0"
,655,"XMP",-1099.34,,-1,12,0,"test","Alberty (2003) beta","Guanosine0=0"
"C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O)O1)O)O)O)OP(=O)([O-])[O-]",668,"Glucose-6-phosphate",-1763.94,-2276.44,-2,11,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O)O1)O)O)O)OP(=O)([O-])O",668,"Glucose-6-phosphate",-1800.59,-2274.64,-1,12,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O)O1)O)O)O)OP(=O)([O-])[O-].[Mg+2]",668,"Glucose-6-phosphate",-2234.08,-2732.04,0,11,1,"train","Alberty (2003) beta","Out of the relevant pH range - causes trouble since there is an uncharged PO3 group"
"C1C(C(OC1O)COP(=O)([O-])[O-])O",673,"Deoxyribose-5P",-1447.92,,-2,9,0,"train","Alberty (2003) beta",
"C1C(C(OC1O)COP(=O)([O-])O)O",673,"Deoxyribose-5P",-1486.11,,-1,10,0,"train","Alberty (2003) beta",
,697,"N2(aq)",18.7,-10.54,0,0,0,"test","Alberty (2003)",
,697,"N2(g)",0,0,0,0,0,"skip","Alberty (2003)","irrelevant for aquatic reactions"
,700,"XTP",-2739.37,,-5,10,0,"test","Alberty (2003) beta","Guanosine0=0"
,700,"XTP",-2788.4,,-4,11,0,"test","Alberty (2003) beta","Guanosine0=0"
,700,"XTP",-2831.78,,-3,12,0,"test","Alberty (2003) beta","Guanosine0=0"
"CN1CC(NC1=N)=O",791,"Creatinine",-23.14,,0,7,0,"train","Alberty (2003)","moved to 'test' becuase it contains 4 unique groups. might be wise to use it later one when we get more training data" 
"C(C(C(C(C(CO)O)O)O)O)O",794,"D-Sorbitol",-948.31,,0,14,0,"train","Alberty (2003) beta",
"C(C(C(C(C(CO)O)O)O)O)O",794,"D-Sorbitol",-946.36,,0,14,0,"skip","Alberty (2003) beta","duplicate entry"
"CCOC(=O)C",849,"Ethyl-acetate",-337.65,-482,0,8,0,"train","Alberty (2003)",
,887,"N2O_q",104.2,82.05,0,0,0,"test","Alberty (2003) beta",
,920,"Glutathione-CoA",-35.85,,-1,50,0,"test","Alberty (2003)","CoA-1=0, Glutathione=0 ?"
"C([C@@H](C(=O)[O-])[NH3+])OP(=O)([O-])[O-]",1005,"O-Phospho-L-serine",-1360.75,,-2,6,0,"train","Alberty (2003) beta",
"C([C@@H](C(=O)[O-])[NH3+])OP(=O)([O-])O",1005,"O-Phospho-L-serine",-1397.51,,-1,7,0,"train","Alberty (2003) beta",
"C(CO)C(=O)[O-]",1013,"3-Hydroxypropanoate",-518.4,,-1,5,0,"train","Alberty (2003)",
"C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O)O)O",1083,"Trehalose",-1582.76,,0,22,0,"train","Alberty (2003) beta",
"C(C(C(C(C(COP(=O)([O-])[O-])O)O)O)O)O",1096,"D-Sorbitol-6P",-1790.86,,-2,13,0,"train","Alberty (2003) beta",
"C(C(C(C(C(COP(=O)([O-])O)O)O)O)O)O",1096,"D-Sorbitol-6P",-1827.51,,-1,14,0,"train","Alberty (2003) beta",
"C([C@@H]1[C@H]([C@@H]([C@@H](O1)O)O)O)OP(=O)([O-])[O-]",1112,"D-arabinose-5P",-1598.34,,-2,9,0,"train","Alberty (2003) beta",
"C([C@@H]1[C@H]([C@@H]([C@@H](O1)O)O)O)OP(=O)([O-])O",1112,"D-arabinose-5P",-1636.53,,-1,10,0,"train","Alberty (2003) beta",
"C(C1C(C(C(C(O1)O)O)O)O)OP(=O)([O-])[O-]",1113,"D-galactose-6P",-1756.81,,-2,11,0,"train","Alberty (2003) beta",
"C(C1C(C(C(C(O1)O)O)O)O)OP(=O)([O-])O",1113,"D-galactose-6P",-1793.57,,-1,12,0,"train","Alberty (2003) beta",
"C(C(C(=O)[O-])O)C(=O)C(=O)[O-]",1127,"4-hydroxy-2-oxoglutarate",-971.78,,-2,4,0,"train","Alberty (2003) beta",
"C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)OP(=O)([O-])[O-]",1236,"D-Glucono-1,5-lactone 6-phosphate",-1746.08,,-2,9,0,"train","Alberty (2003) beta",
"C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)OP(=O)([O-])O",1236,"D-Glucono-1,5-lactone 6-phosphate",-1782.73,,-1,10,0,"train","Alberty (2003) beta",
,1337,"XDP",-1880.5,,-4,10,0,"test","Alberty (2003) beta","Guanosine0=0"
,1337,"XDP",-1926.51,,-3,11,0,"test","Alberty (2003) beta","Guanosine0=0"
,1337,"XDP",-1967.49,,-2,12,0,"test","Alberty (2003) beta","Guanosine0=0"
,1352,"FADH2(red)",-38.88,,-2,33,0,"test","Alberty (2003)",
"C(=CC(=O)[O-])C(=O)[O-]",1384,"Maleate",-592.09,,-2,2,0,"train","Alberty (2003) beta",
"CCCC=O",1412,"Butanal",-129.87,,0,8,0,"train","Alberty (2003) beta",
"C(#N)[O-]",1417,"Cyanate",-97.4,,-1,0,0,"test","Alberty (2003) beta","too small to decompose"
,1438,"Methane(aq)",-34.33,-89.04,0,4,0,"test","Alberty (2003)",
,1438,"Methane(g)",-50.72,-74.81,0,4,0,"skip","Alberty (2003)","irrelevant for aquatic reactions"
"C(C(C(C(C(CO)O)O)O)O)O",1507,"L-Iditol",-944.73,,0,14,0,"train","Alberty (2003) beta",
"NC(=O)[O-]",1563,"Carbamate",-377.65,,-1,2,0,"test","Alberty (2003) beta","too small to decompose"
,1762,"Xanthosine",-172.07,,-1,11,0,"test","Alberty (2003) beta","Guanosine0=0"
,1762,"Xanthosine",-214.65,,0,12,0,"test","Alberty (2003) beta","Guanosine0=0"
"CC(C)O",1845,"2-propanol",-185.23,-330.83,0,8,0,"train","Alberty (2003)",
"CC(C)O",1845,"isopropanol",-185.23,-330.83,0,8,0,"train","Alberty (2003) beta",
,1847,"FMNH2(red)",-38.88,,-2,21,0,"test","Alberty (2003)",
"C(C(=O)NCC(=O)[O-])[NH3+]",2037,"glycylglycine",-520.2,-734.25,0,8,0,"train","Alberty (2003)",
"CC(=CC(=O)[O-])C(=O)[O-]",2226,"methylmaleate",-600.7,,-2,4,0,"train","Alberty (2003) beta",
,2226,"Methylmaleate",-636.49,,-1,5,0,"test","Alberty (2003) beta","unknown protonation"
"C1CC(=O)NC1C(=O)[O-]",1879,"5-oxoproline",-469.15,,-1,6,0,"test","Alberty (2003) beta",
"CC(C(=O)[O-])C(=O)SCCN=C(CCN=C(C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)(O)O)O)O)O",2557,"methylmalonyl-CoA",-502.48,,-1,39,0,"train","Alberty (2003) beta","CoA-1=0"
"CC(C(=O)O)C(=O)SCCN=C(CCN=C(C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)(O)O)O)O)O",2557,"methylmalonyl-CoA",-526.51,,0,40,0,"train","Alberty (2003) beta","CoA-1=0"
"CC(CC(=O)[O-])(C(=O)[O-])O",2612,"(R)-2-Methylmalate",-843.9,,-2,6,0,"train","Alberty (2003) beta",
"C(CC(=O)[O-])C(C(=O)[O-])O",3196,"(S)-2-Hydroxyglutarate",-840.18,,-2,6,0,"train","Alberty (2003) beta",
"C(C(=O)C(=O)[O-])OP(=O)([O-])[O-]",3232,"Phosphohydroxypyruvate",-1448.67,,-3,2,0,"train","Alberty (2003) beta",
"C(C(C1C(C(C(=O)O1)O)O)O)O",3383,"D-Galactono-1,4-lactone",-905.34,,0,10,0,"train","Alberty (2003) beta",
"C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)OP(=O)([O-])[O-])O)O)O)O",3384,"D-Galactose-1-phosphate",-1756.59,,-2,11,0,"train","Alberty (2003)",
"C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)OP(=O)([O-])O)O)O)O)O",3384,"D-Galactose-1-phosphate",-1791.77,,-1,12,0,"train","Alberty (2003)",
"CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)(O)O)C(C(=NCCC(=NCCSC(=O)C[C@@H](C(=O)[O-])O)O)O)O",4348,"Malyl-CoA",-663.44,,-1,39,0,"train","Alberty (2003) beta","CoA-1=0"
"CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(N)ncnc23)O1)O)OP(=O)(O)O)C(C(=NCCC(=NCCSC(=O)C[C@@H](C(=O)O)O)O)O)O",4348,"Malyl-CoA",-687.47,,0,40,0,"train","Alberty (2003) beta","CoA-1=0"
"C(C(C(=O)C(=O)[O-])C(=O)[O-])C(=O)O",5379,"Oxalosuccinate",-1138.88,,-2,4,0,"train","Alberty (2003)",
"C(CC(=O)[O-])C(=O)C(=O)N",5572,"Ketoglutaramate",-595.88,,-1,6,0,"train","Alberty (2003) beta",
"CCCO",5979,"n-propanol",-175.81,,0,8,0,"train","Alberty (2003)",
"CCCCO",6142,"n-Butanol",-171.84,,0,10,0,"train","Alberty (2003)",
"C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O",7064,"Lactulose",-1575.22,,0,22,0,"test","Alberty (2003) beta",
,,"FAD-enz(ox)",0,,-2,31,0,"skip","Alberty (2003)",
,,"FAD-enz(red)",-88.6,,-2,33,0,"skip","Alberty (2003)",
,,"TMP",-999.67,,-3,12,0,"skip","Alberty (2003) beta","Cytidine0=0"
,,"TMP",-1060.6,,-2,13,0,"skip","Alberty (2003) beta","Cytidine0=0"
,,"TMP",-1099.01,,-1,14,0,"skip","Alberty (2003) beta","Cytidine0=0"
,,"TDP",-1865.77,,-4,12,0,"skip","Alberty (2003) beta","Cytidine0=0"
,,"TDP",-1926.28,,-3,13,0,"skip","Alberty (2003) beta","Cytidine0=0"
,,"TDP",-1967.25,,-2,14,0,"skip","Alberty (2003) beta","Cytidine0=0"
,,"TTP",-2724.87,,-5,12,0,"skip","Alberty (2003) beta","Cytidine0=0"
,,"TTP",-2788.25,,-4,13,0,"skip","Alberty (2003) beta","Cytidine0=0"
,,"TTP",-2831.63,,-3,14,0,"skip","Alberty (2003) beta","Cytidine0=0"
,,"Ethane",-170.1,,0,6,0,"skip","Alberty (2003) beta",
,,"FAD_enz_ox",0,,-2,31,0,"skip","Alberty (2003) beta",
,,"FAD_enz_red",-88.6,,-2,33,0,"skip","Alberty (2003) beta",
,,"L_Sorbitol_6_p",-1793.1,,-2,13,0,"skip","Alberty (2003) beta",
,,"L_Sorbitol_6_p",-1829.75,,-1,14,0,"skip","Alberty (2003) beta",
"c1=c(Cl)c(Cl)=c(Cl)c(Cl)=c1Cl",0,"Pentachlorobenzene",45.58,,,,0,"skip","Dolfing (1992)",
,0,"1,2,3,4-tetrachlorobenzene|",55.62,,,,0,"skip","Dolfing (1992)",
,0,"1,2,3,5-tetrachlorobenzene|",49.35,,,,0,"skip","Dolfing (1992)",
,0,"1,2,4,5-tetrachlorobenzene|",53.53,,,,0,"skip","Dolfing (1992)",
,0,"1,3-dichlorobenzene|",81.97,,,,0,"skip","Dolfing (1992)",
,0,"1,3,5-trichlorobenzene|",56.88,,,,0,"skip","Dolfing (1992)",
,0,"2-amino-5-chlorobenzoate|",-215.37,,,,0,"skip","Dolfing (1992)",
,0,"2-bromobenzoate|",-209.52,,,,0,"skip","Dolfing (1992)",
,0,"2-hydroxy-5-chlorobenzoate|",-408.58,,,,0,"skip","Dolfing (1992)",
,0,"2-iodobenzoate|",-146.37,,,,0,"skip","Dolfing (1992)",
,0,"2-methyl-5-chlorobenzoate|",-237.12,,,,0,"skip","Dolfing (1992)",
,0,"2,3-dichlorobenzoate",-269.74,,,,0,"skip","Dolfing (1992)",
,0,"2,3-dichlorophenol|",-75.28,,,,0,"skip","Dolfing (1992)",
,0,"2,3,4-trichlorphenol|",-87.82,,,,0,"skip","Dolfing (1992)",
,0,"2,3,4,5-Tetrachlorobiphenyl",-109.99,,,,0,"skip","Dolfing (1992)",
,0,"2,3,4,6-tetrachlorophenol|",-83.22,,,,0,"skip","Dolfing (1992)",
,0,"2,3,5-trichlorobenzoate|",-293.16,,,,0,"skip","Dolfing (1992)",
,0,"2,3,5-trichlorphenol",-97.02,,,,0,"skip","Dolfing (1992)",
,0,"2,3,6-trichlorophenoI|",-63.15,,,,0,"skip","Dolfing (1992)",
,0,"2,5-dichlorobenzoate|",-278.52,,,,0,"skip","Dolfing (1992)",
,0,"2,6-dichlorobenzoate",-262.63,,,,0,"skip","Dolfing (1992)",
,0,"3-bromobenzoate",-202.83,,,,0,"skip","Dolfing (1992)",
,0,"3-chlorobenzoate|",-245.9,,,,0,"skip","Dolfing (1992)",
,0,"3-iodobenzoate|",-143.86,,,,0,"skip","Dolfing (1992)",
,0,"3,4-dichlorobenzoate|",-263.88,,,,0,"skip","Dolfing (1992)",
,0,"3,4,5-trichlorobenzoate|",-281.45,,,,0,"skip","Dolfing (1992)",
,0,"3,4,5-trichlorophenol|",-86.57,,,,0,"skip","Dolfing (1992)",
,0,"3,5-dichlorobenzoate|",-273.5,,,,0,"skip","Dolfing (1992)",
,0,"3,5-dichlorophenol|",-86.15,,,,0,"skip","Dolfing (1992)",
"C1=CC(=CC=C1C(=O)[O-])Br",0,"4-Bromobenzoate",-196.14,,,,0,"skip","Dolfing (1992)",
"C1=CC(=CC=C1C(=O)[O-])I",0,"4-Iodobenzoate",-141.35,,,,0,"skip","Dolfing (1992)",
"c1cc(ccc1Cl)O",2124,"4-Chlorophenol",-53.11,,,,0,"skip","Dolfing (1992)",
"c1ccc(c(c1)C(=O)O)Cl",2357,"2-Chlorobenzoate",-237.96,,,,0,"skip","Dolfing (1992)",
"c1ccc(c(c1)C(=O)O)F",2359,"2-Fluorobenzoate",-398.54,,,,0,"skip","Dolfing (1992)",
"c1cc(cc(c1)F)C(=O)O",2364,"3-Fluorobenzoate",-393.11,,,,0,"skip","Dolfing (1992)",
"c1cc(ccc1C(=O)O)Cl",2370,"4-Chlorobenzoate",-239.21,,,,0,"skip","Dolfing (1992)",
"c1cc(ccc1C(=O)O)F",2371,"4-Fluorobenzoate",-388.09,,,,0,"skip","Dolfing (1992)",
"c1(c(c(c(c(c1Cl)Cl)O)Cl)Cl)Cl",2575,"Pentachlorophenol",-86.57,,,,0,"skip","Dolfing (1992)",
"c1cc(c(cc1Cl)Cl)O",2625,"2,4-Dichlorophenol",-84.48,,,,0,"skip","Dolfing (1992)",
"c1cc(c(cc1Cl)Cl)Cl",6594,"1,2,4-Trichlorobenzene",60.64,,,,0,"skip","Dolfing (1992)",
"c1cc(c(cc1Cl)O)Cl",6602,"2,5-Dichlorophenol",-84.48,,,,0,"skip","Dolfing (1992)",
"c1cc(c(cc1Cl)Cl)C(=O)O",6670,"2,4-Dichlorobenzoate",-276.43,,,,0,"skip","Dolfing (1992)",
"c1ccc(cc1)Cl",6990,"Chlorobenzene",102.46,,,,0,"skip","Dolfing (1992)",
"c1cc(ccc1Cl)Cl",7092,"1,4-Dichlorobenzene",78.2,,,,0,"skip","Dolfing (1992)",
"c1cc(c(c(c1)Cl)O)Cl",7096,"2,6-Dichlorophenol",-43.91,,,,0,"skip","Dolfing (1992)",
"c1c(cc(c(c1Cl)O)Cl)Cl",7098,"2,4,6-Trichlorophenol",-69,,,,0,"skip","Dolfing (1992)",
"c1c(c(cc(c1Cl)O)Cl)Cl",7101,"2,4,5-Trichlorophenol",-97.02,,,,0,"skip","Dolfing (1992)",
"c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl",11042,"Hexachlorobenzene",46,,,,0,"skip","Dolfing (1992)",
"c1ccc(c(c1)Cl)O",14219,"2-Chlorophenol",-56.88,,,,0,"skip","Dolfing (1992)",
"c1cc(cc(c1)O)Cl",14270,"3-Chlorophenol",-56.46,,,,0,"skip","Dolfing (1992)",
"c1ccc(c(c1)Cl)Cl",14328,"1,2-Dichlorobenzene",84.06,,,,0,"skip","Dolfing (1992)",
"c1cc(c(c(c1)Cl)Cl)Cl",14408,"1,2,3-Trichlorobenzene",71.51,,,,0,"skip","Dolfing (1992)",
"c1cc(c(cc1O)Cl)Cl",14462,"3,4-Dichlorophenol",-75.28,,,,0,"skip","Dolfing (1992)",
"c1c(c(c(c(c1Cl)Cl)O)Cl)Cl",15505,"2,3,5,6-Tetrachlorophenol",-81.55,,,,0,"skip","Dolfing (1992)",
"C(Cl)(Cl)Cl",0,"Trichloromethane",-66.49,,,,0,"skip","Dolfing (1994)",
"Cl/C=C/Cl",0,"Trans-1,2-dichloroethylene",32.2,,,,0,"skip","Dolfing (1994)",
"ClC(Cl)=C(Cl)Cl",0,"Tetrachloroethylene",27.6,,,,0,"skip","Dolfing (1994)",
"CCC",0,"Propane",-7.53,,,,0,"skip","Dolfing (1994)",
"CCCCC",0,"Pentane",9.2,,,,0,"skip","Dolfing (1994)",
"C(Cl)(Cl)(Cl)C(Cl)Cl",0,"Pentachloroethane",-68.17,,,,0,"skip","Dolfing (1994)",
"ClC(Cl)(Cl)C(Cl)(Cl)Cl",0,"Hexachloroethane",-49.77,,,,0,"skip","Dolfing (1994)",
"CC",0,"Ethane",-17.44,,,,0,"skip","Dolfing (1994)",
"Cl/C=C\Cl",0,"Cis-1,2-dichloroethylene",28.02,,,,0,"skip","Dolfing (1994)",
"CCl",0,"Chloromethane",-52.69,,,,0,"skip","Dolfing (1994)",
"CCCl",0,"Chloroethane",-54.37,,,,0,"skip","Dolfing (1994)",
"CCCC",0,"Butane",-0.42,,,,0,"skip","Dolfing (1994)",
"C(Cl)C(Cl)C",0,"1,2-Dichloropropane",-79.88,,,,0,"skip","Dolfing (1994)",
"C(Cl)(Cl)C(Cl)Cl",0,"1,1,2,2-Tetrachloroethane",-89.08,,,,0,"skip","Dolfing (1994)",
"C(Cl)(Cl)CCl",0,"1,1,2-Trichloroethane",-77.79,,,,0,"skip","Dolfing (1994)",
"C(Cl)(Cl)(Cl)C",0,"1,1,1-Trichloroethane",-69,,,,0,"skip","Dolfing (1994)",
"C(Cl)(Cl)C",0,"1,1-Dichloroethane",-68.58,,,,0,"skip","Dolfing (1994)",
"C(Cl)CC",0,"1-Chloropropane",-44.75,,,,0,"skip","Dolfing (1994)",
