"cid","log10(Km)"
2,-0.744727494896694
3,-0.809668301829709
4,-1.34678748622466
5,-1.67778070526608
6,-1.43179827593301
7,-1.15490195998574
8,-0.698970004336019
9,0.342422680822206
10,-1.26962153141236
11,0.22206611605729
13,-0.782516055786094
14,1.74036268949424
15,-0.767003889607846
16,-2.61978875828839
18,-2
19,-1.65757731917779
20,-0.906578314837765
21,-1.88605664769316
22,-0.145693958198919
24,-1.24641694110709
25,0.565257343420214
26,-0.347753658996677
27,-0.920818753952375
29,-0.665546248849069
31,-0.122053048370812
32,-2.61978875828839
33,1.30102999566398
34,-1.64781748188864
35,-1.01322826573376
36,-1.20065945054642
37,0.778151250383644
39,-1.38721614328026
40,-2.24412514432751
41,0.642958879409791
42,-0.330218384791463
43,-0.481486060122113
44,-1.34390179798717
46,-2.04575749056068
47,0.100370545117563
48,0.161368002234975
49,-0.180456064458131
51,0.131939295210425
52,-1.07572071393812
53,-2.2839966563652
54,-1.52259654557207
55,-0.721246399047171
58,0.6232492903979
59,-0.795880017344075
61,-2.09691001300806
62,-0.130768280269024
63,-0.537602002101044
64,-0.326058001365912
65,0.328379603438738
66,-2.49620931694282
67,0.0588054866759068
68,-2.80134291304558
72,0.354588587877241
73,-0.0629838925351858
74,-0.795880017344075
75,-0.97061622231479
77,0.505149978319906
78,-1.65169513695184
79,-0.79317412396815
80,-2.69897000433602
81,-1.45593195564972
82,-0.619788758288394
83,-1.94119451332409
84,0.130333768495006
85,-0.207608310501746
86,0.0773679052841565
87,1.69897000433602
88,-0.809668301829709
89,1.08188713942355
90,-1.95860731484178
91,-1.03151705144607
92,0.0791812460476248
93,-0.602059991327962
94,-1.42596873227228
95,0.342422680822206
96,-1.82681373158773
97,-0.593459819566045
99,0.830909299546443
100,-0.823908740944319
101,-0.769551078621726
103,-0.351639989019068
104,-0.206209615309181
105,-1.45593195564972
106,-0.772756218496937
108,-1.57675412606319
109,0.0737183503461227
110,-2.27164621797877
111,-0.539102157243452
112,-0.109578981199086
114,-0.133712660915805
116,1.39707054995941
