cid,name,dG0,dH0,z,nH,nMg,compound_ref,remark
"97",,"-291.0",,"-1","6","0","Alberty (2006)",
"97",,"-338.82",,"0","7","0","Alberty (2006)",
"97",,"-347.4",,"1","8","0","Alberty (2006)",
"100",,"-179.14",,"0","37","0","Alberty (2006)",
"103",,"-1756.87",,"-2","11","0","Alberty (2006)",
"103",,"-1793.98",,"-1","12","0","Alberty (2006)",
"104",,"-2066.44",,"-4","10","0","Alberty (2006)",
"104",,"-2121.01",,"-3","11","0","Alberty (2006)",
"104",,"-2161.99",,"-2","12","0","Alberty (2006)",
"111",,"-1296.26",,"-2","5","0","Alberty (2006)",
"111",,"-1328.8",,"-1","6","0","Alberty (2006)",
"116",,"-497.48",,"0","8","0","Alberty (2006)",
"117",,"-1595.78",,"-2","9","0","Alberty (2006)",
"117",,"-1633.96",,"-1","10","0","Alberty (2006)",
"118",,"-1288.6",,"-2","5","0","Alberty (2006)",
"118",,"-1321.14",,"-1","6","0","Alberty (2006)",
"119",,"-3284.25",,"-5","8","0","Alberty (2006)",
"119",,"-3325.23",,"-4","9","0","Alberty (2006)",
"119",,"-3363.42",,"-3","10","0","Alberty (2006)",
"121",,"-752.0",,"0","10","0","Alberty (2006)",
"122",,"-601.87",,"-2","2","0","Alberty (2006)",
"122",,"-628.14",,"-1","3","0","Alberty (2006)",
"122",,"-645.8",,"0","4","0","Alberty (2006)",
"123",,"-352.25",,"0","13","0","Alberty (2006)",
"124",,"-908.93",,"0","12","0","Alberty (2006)",
"125",,"0.0",,"3","0","0","Alberty (2006)",
"126",,"-24.51",,"2","0","0","Alberty (2006)",
"127",,"0.0",,"-2","30","0","Alberty (2006)",
"130",,"-1200.43",,"-3","10","0","Alberty (2006)",
"130",,"-1255.42",,"-2","11","0","Alberty (2006)",
"130",,"-1293.84",,"-1","12","0","Alberty (2006)",
"131",,"-2620.24",,"-4","12","0","Alberty (2006)",
"131",,"-2663.62",,"-3","13","0","Alberty (2006)",
"131",,"-2690.32",,"-2","14","0","Alberty (2006)",
"132",,"-175.31",,"0","4","0","Alberty (2006)",
"138",,"38.07",,"0","0","0","Alberty (2006)",
"139",,"0.0",,"1","0","0","Alberty (2006)",
"147",,"369.7",,"-1","4","0","Alberty (2006)",
"147",,"313.4",,"0","5","0","Alberty (2006)",
"147",,"289.43",,"1","6","0","Alberty (2006)",
"149",,"-842.66",,"-2","4","0","Alberty (2006)",
"149",,"-872.68",,"-1","5","0","Alberty (2006)",
"149",,"-892.1",,"0","6","0","Alberty (2006)",
"152",,"-475.7",,"-1","7","0","Alberty (2006)",
"152",,"-525.93",,"0","8","0","Alberty (2006)",
"152",,"-537.9",,"1","9","0","Alberty (2006)",
"158",,"-1162.69",,"-3","5","0","Alberty (2006)",
"158",,"-1199.18",,"-2","6","0","Alberty (2006)",
"158",,"-1226.33",,"-1","7","0","Alberty (2006)",
"158",,"-1244.2",,"0","8","0","Alberty (2006)",
"159",,"-910.0",,"0","12","0","Alberty (2006)",
