"cid","compound name","dG0","charge","hydrogens"
1,"H2O",-237.19,0,2
3,"NAD(ox)",0,-1,26
7,"O2(aq)",16.4,0,0
10,"CoA",0,-5,31
16,"FAD(ox)",0,-2,31
61,"FMN(ox)",0,-2,19
80,"H+",0,0,0
125,"Cytochrome c(ox)",0,3,0
139,"Ferredoxin(ox)",0,1,0
283,"H2(aq)",17.6,0,0
288,"CO2(tot)",-527.81,-2,0
343,"Thioredoxin(ox)",0,0,0
376,"retinal",0,0,28
387,"Guanosine",0,0,13
399,"Ubiquinone(ox)",0,0,90
475,"Cytidine",0,0,13
697,"N2(aq)",18.7,0,0
