pran	C04302
4mpetz	C04327
dmlz	C04332
4ppcys	C04352
fgam	C04376
3c2hmp	C04411
amob	C04425
5aprbu	C04454
fecost	C04525
4ampm	C04556
fpram	C04640
eig3p	C04666
aicar	C04677
2dda7p	C04691
4r5au	C04732
fprica	C04734
5aizc	C04751
2mahmp	C04752
2ahhmd	C04807
25aics	C04823
dhnpt	C04874
ahdt	C04895
prfp	C04896
prlp	C04916
4mzym	C05103
44mzym	C05108
3hhdcoa	C05258
3ohdcoa	C05259
3htdcoa	C05260
3otdcoa	C05261
3hddcoa	C05262
3oddcoa	C05263
3hdcoa	C05264
3odcoa	C05265
hdd2coa	C05272
td2coa	C05273
dcacoa	C05274
dc2coa	C05275
hcys-L	C00155
melib	C05402
zymst	C05437
ergtetrol	C05440
din	C05512
iasp	C05840
macchitppdol	C05860
m4macchitppdol	C05864
gam1p	C06156
octa	C06423
thymd	C00214
dcdp	C00705
gsn	C00387
trnatyr	C00787
alatrna	C00886
trnaala	C01635
leutrna	C02047
argtrna	C02163
glntrna	C02282
glytrna	C02412
sertrna	C02553
valtrna	C02554
protrna	C02702
tyrtrna	C02839
asptrna	C02984
histrna	C02988
thrtrna	C02992
cystrna	C03125
iletrna	C03127
asntrna	C03402
phetrna	C03511
trptrna	C03512
acoa	C00040
alac-S	C06010
3oacoa	C00264
dmpp	C00235
fadh2	C01352
trnaglu	C01641
malACP	C01209
glyc3p	C00093
dhlpro	C02972
db4p	C15556
4adcho	C11355
ttdca	C06424
g6p-B	C01172
glycogen	C00182
mettrna	C02430
lystrna	C01931
23dpg	C01159
tagdp-D	C03785
ACP	C00229
ddcaACP	C05223
myrsACP	C05761
palmACP	C05764
6dg	CO5397
tag6p-D	C01097
epm	CO5400
ggl	CO5401
melt	CO5399
ind3acnl	C02938
acrn	C02571
mhpglu	C04489
hpglu	C04144
caphis	C04441
cmaphis	C04692
b124tc	C04002
oxag	C05533
hicit	C05662
L2aadp6sa	C04076
4gudbd	C03078
Lfmkynr	C02700
hLkynr	C03227
cmusa	C04409
am6sa	C03824
amuco	C02220
pad	C02505
iad	C02693
aprut	C02714
aproa	C02229
N1sprm	C02567
aprop	C05714
acybut	C05715
tglp	C03881
glp	C02038
pepd	C00012
apep	C03011
cgly	C01419
n4abutn	C05936
4aabutn	C02946
gluala	C03740
ocACP	C05752
dcaACP	C05755
dhpmp	C05925
ohpb	C06054
4hglusa	C05938
e4hglu	C05947
phthr	C06055
thfglu	C09332
f6p-B	C05345
4hthr	C06056
stcoa	C00412
1agly3p_SC	C03372
clpn_SC	C05980
3dsphgn	C02934
dolp	C00110
m1macchitppdol	C05861
m2macchitppdol	C05862
m3macchitppdol	C05863
gdpmann	C00096
urdglyc	C00603
ap4a	C01260
gp4g	C01261
camp	C00575
mi1p-D	C01177
saccrp-L	C00449
mi145p	C01245
2oxoadp	C00322
35ccmp	C00941
35cdamp	C00968
35cgmp	C00942
35cimp	C00943
3hanthrn	C00632
4fumacac	C01061
4gudbutn	C01035
4mlacac	C01036
L2aadp	C00956
Lkynr	C00328
NPmehis	C01152
Sfglutth	C01031
acac	C00164
allphn	C01010
cdpchol	C00307
cholp	C00588
ethamp	C00346
hgentis	C00544
ind3ac	C00954
indpyr	C00331
psd5p	C01168
sph1p	C01120
pac	C07086
