"Name","Gene","Identifier"
"fused glucose-specific PTS enzymes",ptsG,MPN207
"glucosephosphate isomerase",pgi,VNG1992G
"fructose-bisphosphate aldolase",VNG0309C,VNG0309C
"triosephosphate isomerase",tpiA,VNG1027G
"glyceraldehyde-3-phosphate dehydrogenase A",VNG0937G,VNG0937G
"glyceraldehyde-3-phosphate dehydrogenase",gapB,VNG0095G
"phosphoglycerate kinase",pgk,VNG1216G
"phosphoglyceromutase",gpmI,VNG1887G
"enolase",eno,VNG1142G
"pyruvate kinase",pykA,VNG0324G
