#name:Shigella dysenteriae, Apex, Kuntumalla et al
#score:3.6
#weight:100%
#description:MS/MS Apex data from <a href="http://www.ncbi.nlm.nih.gov/pubmed/19563668" target="_blank">Kuntumalla et al., Proteome Science, 2009</a><br/><b>PaxDB score</b>: 3.6&nbsp<b>Coverage</b>: 25%
#
#internal_id	string_external_id	abundance
3057221	300267.SDY_0857	434.486879895
3057256	300267.SDY_0894	6683.72105085
3057270	300267.SDY_0908	141.569734559
3057280	300267.SDY_0918	238.532716973
3057282	300267.SDY_0920	95.7454474882
3057284	300267.SDY_0922	130.600149863
3057286	300267.SDY_0924	57.7630148765
3057287	300267.SDY_0925	449.650180402
3057289	300267.SDY_0927	1473.49282485
3057291	300267.SDY_0930	2391.25628124
3057300	300267.SDY_0940	1344.76025279
3057329	300267.SDY_0974	663.550622147
3057333	300267.SDY_0978	4931.56285024
3057334	300267.SDY_0979	1763.10202315
3057335	300267.SDY_0980	4889.66961088
3057354	300267.SDY_1002	426.398579983
3057355	300267.SDY_1003	144.430885217
3057356	300267.SDY_1004	806.717361588
3057376	300267.SDY_1025	19.4323477282
3057384	300267.SDY_1033	437.358641403
3057386	300267.SDY_1035	105.032924758
3057402	300267.SDY_1051	560.316771994
3057403	300267.SDY_1052	861.709027394
3057422	300267.SDY_1072	705.240809262
3057437	300267.SDY_1088	434.815858604
3057444	300267.SDY_1097	1931.47032446
3057453	300267.SDY_1110	196.76322138
3057455	300267.SDY_1112	735.230473304
3057456	300267.SDY_1113	1659.39013944
3057460	300267.SDY_1117	327.818357822
3057475	300267.SDY_1132	485.491861448
3057476	300267.SDY_1133	494.221314005
3057479	300267.SDY_1136	2808.56549463
3057481	300267.SDY_1138	1049.88837734
3057484	300267.SDY_1141	814.761971055
3057494	300267.SDY_1151	313.165652959
3057496	300267.SDY_1153	1192.66358487
3057520	300267.SDY_1178	535.371162282
3057522	300267.SDY_1180	403.601667951
3057533	300267.SDY_1193	276.442757536
3057544	300267.SDY_1205	810.866891133
3057545	300267.SDY_1206	165.939013944
3057546	300267.SDY_1207	75.6397142307
3057549	300267.SDY_1210	270.288963711
3057562	300267.SDY_1224	293.608882519
3057563	300267.SDY_1225	239.491963824
3057564	300267.SDY_1226	173.289044629
3057587	300267.SDY_1252	546.363929703
3057588	300267.SDY_1253	444.430360729
3057591	300267.SDY_1256	1019.89156656
3057593	300267.SDY_1258	164.715124474
3057595	300267.SDY_1260	178.661005013
3057599	300267.SDY_1264	973.334773073
3057606	300267.SDY_1271	1503.1574941
3057609	300267.SDY_1275	919.984577822
3057613	300267.SDY_1279	244.489914489
3057614	300267.SDY_1280	222.769332934
3057617	300267.SDY_1284	141.01105368
3057621	300267.SDY_1288	1564.45713672
3057622	300267.SDY_1289	4068.0247424
3057628	300267.SDY_1295	3420.54690896
3057634	300267.SDY_1301	1813.47636667
3057635	300267.SDY_1302	201.876841823
3057637	300267.SDY_1304	499.332043077
3057638	300267.SDY_1305	225.013860218
3057661	300267.SDY_1328	253.419865267
3057662	300267.SDY_1329	111.384666467
3057674	300267.SDY_1341	273.014983211
3057676	300267.SDY_1343	652.047463551
3057677	300267.SDY_1344	665.208523466
3057687	300267.SDY_1355	757.038156835
3057689	300267.SDY_1357	448.521351497
3057697	300267.SDY_1366	319.512974688
3057699	300267.SDY_1368	3145.4402291
3057720	300267.SDY_1389	110.694550813
3057732	300267.SDY_1402	4528.9940082
3057733	300267.SDY_1403	342.787807009
3057743	300267.SDY_1413	748.161662533
3057784	300267.SDY_1457	367.918049862
3057785	300267.SDY_1458	1786.61005013
3057789	300267.SDY_1464	640.362025136
3057799	300267.SDY_1474	177.243060529
3057810	300267.SDY_1485	257.189546564
3057812	300267.SDY_1487	1421.16708533
3057813	300267.SDY_1488	6265.57418302
3057814	300267.SDY_1489	1248.40764372
3057830	300267.SDY_1506	167.129097299
3057831	300267.SDY_1507	150.43870412
3057838	300267.SDY_1514	1212.288414
3057850	300267.SDY_1527	167.0769997
3057862	300267.SDY_1540	2971.96809363
3057863	300267.SDY_1541	4807.0225564
3057869	300267.SDY_1547	328.823935607
3057872	300267.SDY_1550	451.578827009
3057873	300267.SDY_1551	541.866133055
3057901	300267.SDY_1586	764.325155136
3057903	300267.SDY_1588	174.133533151
3057904	300267.SDY_1589	1194.2580549
3057925	300267.SDY_1614	1339.53893168
3057926	300267.SDY_1615	10834.7514364
3057936	300267.SDY_1625	252.346052278
3057981	300267.SDY_1674	143.157856581
3057997	300267.SDY_1690	863.931358864
3057998	300267.SDY_1691	2048.86473639
3058015	300267.SDY_1709	136.521399653
3058016	300267.SDY_1710	163.309876611
3058019	300267.SDY_1713	353.084990144
3058023	300267.SDY_1717	858.947139485
3058026	300267.SDY_1720	839.276594306
3058030	300267.SDY_1724	351.003939122
3058059	300267.SDY_1756	158.051136777
3058060	300267.SDY_1757	127.191033469
3058091	300267.SDY_1794	540.503590523
3058094	300267.SDY_1797	582.228601067
3058102	300267.SDY_1805	1256.09474161
3058104	300267.SDY_1807	1707.63206703
3058105	300267.SDY_1808	353.696619674
3058106	300267.SDY_1809	1025.02010908
3058110	300267.SDY_1813	1120.45100065
3058111	300267.SDY_1814	757.726164854
3058113	300267.SDY_1816	1602.05348828
3058114	300267.SDY_1817	1108.31888966
3058115	300267.SDY_1818	976.28964488
3058124	300267.SDY_1827	238.723951113
3058125	300267.SDY_1828	738.268615756
3058126	300267.SDY_1829	223.047446958
3058127	300267.SDY_1830	836.904911466
3058133	300267.SDY_1838	259.681693333
3058141	300267.SDY_1846	465.263033888
3058142	300267.SDY_1847	241.760493928
3058153	300267.SDY_1858	1895.99433891
3058155	300267.SDY_1860	831.208835583
3058160	300267.SDY_1865	1004.9681532
3058165	300267.SDY_1870	2287.85920273
3058166	300267.SDY_1871	572.631426324
3058167	300267.SDY_1872	1172.09656522
3058174	300267.SDY_1880	798.78243672
3058176	300267.SDY_1882	3628.26970965
3058182	300267.SDY_1888	233.645603766
3058197	300267.SDY_1905	1786.61005013
3058200	300267.SDY_1908	647.322481931
3058201	300267.SDY_1909	873.647946274
3058219	300267.SDY_1927	268.259767287
3058227	300267.SDY_1936	1177.98464844
3058231	300267.SDY_1940	937.238059084
3058240	300267.SDY_1953	149.298889983
3058250	300267.SDY_1963	3411.32663293
3058251	300267.SDY_1965	1521.44408162
3058255	300267.SDY_1969	8602.19653766
3058261	300267.SDY_1975	703.389783516
3058264	300267.SDY_1978	239.420644002
3058265	300267.SDY_1979	316.494251573
3058273	300267.SDY_1987	3565.29721755
3058292	300267.SDY_2011	896.565262383
3058297	300267.SDY_2016	2858.87310598
3058300	300267.SDY_2019	263.979026319
3058302	300267.SDY_2021	186.727639019
3058303	300267.SDY_2022	1258.17609164
3058305	300267.SDY_2024	311.527471688
3058306	300267.SDY_2025	185.814877809
3058307	300267.SDY_2026	49.3538687881
3058310	300267.SDY_2029	693.380355807
3058312	300267.SDY_2031	269.338198512
3058314	300267.SDY_2033	282.989976261
3058315	300267.SDY_2034	205.475566432
3058324	300267.SDY_2043	451.164154073
3058326	300267.SDY_2045	1153.47851156
3058328	300267.SDY_2047	2487.68487993
3058331	300267.SDY_2050	191.013191389
3058333	300267.SDY_2052	133.628276001
3058336	300267.SDY_2055	1450.9898006
3058337	300267.SDY_2056	3722.1042711
3058338	300267.SDY_2057	1090.2827808
3058339	300267.SDY_2058	1374.31542318
3058348	300267.SDY_2067	545.252304211
3058362	300267.SDY_2085	130.983141505
3058366	300267.SDY_2089	242.910951751
3058367	300267.SDY_2090	276.279904659
3058368	300267.SDY_2091	317.676040208
3058373	300267.SDY_2096	286.775288945
3058384	300267.SDY_2107	478.800549422
3058386	300267.SDY_2109	524.152152176
3058403	300267.SDY_2127	181.014189476
3058406	300267.SDY_2130	187.826960695
3058418	300267.SDY_2144	202.563497747
3058429	300267.SDY_2155	497.247439502
3058430	300267.SDY_2156	209.745251248
3058453	300267.SDY_2181	430.04788583
3058454	300267.SDY_2182	648.497295873
3058458	300267.SDY_2186	223.326256266
3058469	300267.SDY_2198	94.230487876
3058474	300267.SDY_2203	402.99474815
3058475	300267.SDY_2204	844.417685385
3058477	300267.SDY_2206	651.183252201
3058478	300267.SDY_2207	617.349706334
3058483	300267.SDY_2212	1104.79420061
3058486	300267.SDY_2215	148.636443438
3058487	300267.SDY_2216	381.521365189
3058489	300267.SDY_2218	233.645603766
3058501	300267.SDY_2231	83.8390450554
3058512	300267.SDY_2243	255.522032341
3058533	300267.SDY_2270	2225.94039033
3058544	300267.SDY_2281	675.722409278
3058556	300267.SDY_2293	214.736784871
3058562	300267.SDY_2299	4127.481964
3058565	300267.SDY_2302	765.416658392
3058568	300267.SDY_2305	383.39271462
3058578	300267.SDY_2315	135.451861268
3058580	300267.SDY_2317	421.086543802
3058588	300267.SDY_2325	868.762484867
3058590	300267.SDY_2327	1044.39402775
3058592	300267.SDY_2329	1514.07631367
3058593	300267.SDY_2330	311.618031999
3058607	300267.SDY_2344	408.907229783
3058609	300267.SDY_2346	1595.18754476
3058610	300267.SDY_2347	3205.1773247
3058611	300267.SDY_2348	956.258724423
3058617	300267.SDY_2354	1580.29390183
3058621	300267.SDY_2358	1780.60319597
3058629	300267.SDY_2368	1265.65154374
3058631	300267.SDY_2370	894.796352319
3058634	300267.SDY_2373	1148.20697309
3058635	300267.SDY_2374	86.0602143608
3058636	300267.SDY_2375	92.8109116951
3058639	300267.SDY_2379	311.006034436
3058652	300267.SDY_2392	2273.70833595
3058653	300267.SDY_2393	520.035266855
3058655	300267.SDY_2395	166.351028876
3058664	300267.SDY_2404	674.701680563
3058665	300267.SDY_2405	1711.5645285
3058682	300267.SDY_2423	353.084990144
3058687	300267.SDY_2428	419.282671478
3058688	300267.SDY_2429	392.445919853
3058714	300267.SDY_2457	115.339577155
3058715	300267.SDY_2458	487.257286399
3058719	300267.SDY_2462	3734.55278037
3058730	300267.SDY_2474	261.200299727
3058735	300267.SDY_2479	619.633543398
3058736	300267.SDY_2480	451.866355091
3058737	300267.SDY_2481	1105.11961864
3058738	300267.SDY_2482	320.181012568
3058739	300267.SDY_2483	568.984092398
3058740	300267.SDY_2484	576.325822623
3058746	300267.SDY_2490	1055.08467527
3058748	300267.SDY_2492	1607.33084095
3058749	300267.SDY_2493	1326.98923372
3058752	300267.SDY_2496	324.838190933
3058756	300267.SDY_2500	761.64862064
3058761	300267.SDY_2505	309.102084798
3058764	300267.SDY_2508	867.286432102
3058765	300267.SDY_2509	865.885323165
3058770	300267.SDY_2514	255.961325233
3058771	300267.SDY_2515	804.77930186
3058775	300267.SDY_2519	544.187690995
3058778	300267.SDY_2522	595.978148672
3058783	300267.SDY_2528	401.872440582
3058785	300267.SDY_2530	350.119550697
3058799	300267.SDY_2544	1278.75974958
3058813	300267.SDY_2561	148.471749318
3058827	300267.SDY_2577	496.740514401
3058834	300267.SDY_2587	260.81898542
3058845	300267.SDY_2600	397.345542892
3058849	300267.SDY_2608	149.883393467
3058850	300267.SDY_2609	597.528444859
3058852	300267.SDY_2611	11463.6054867
3058853	300267.SDY_2612	13268.7566485
3058854	300267.SDY_2613	1363.82446575
3058855	300267.SDY_2614	3166.97380524
3058856	300267.SDY_2615	471.401068636
3058858	300267.SDY_2617	335.198883702
3058860	300267.SDY_2619	152.181435275
3058862	300267.SDY_2621	1920.68112472
3058869	300267.SDY_2629	62.1645807282
3058870	300267.SDY_2630	221.115105214
3058884	300267.SDY_2645	350.421403918
3058887	300267.SDY_2650	281.208297502
3058892	300267.SDY_2655	546.921443917
3058903	300267.SDY_2666	190.741286491
3058904	300267.SDY_2667	1378.78111099
3058906	300267.SDY_2669	1359.37721206
3058917	300267.SDY_2683	315.098774273
3058918	300267.SDY_2684	575.397761717
3058921	300267.SDY_2687	1100.75500719
3058923	300267.SDY_2689	374.551373193
3058936	300267.SDY_2703	323.309817251
3058937	300267.SDY_2704	877.285037425
3058941	300267.SDY_2708	1062.12737649
3058942	300267.SDY_2709	345.70627905
3058945	300267.SDY_2712	962.932448246
3058947	300267.SDY_2714	2305.30329049
3058948	300267.SDY_2717	1126.57161915
3058950	300267.SDY_2719	628.622054675
3058951	300267.SDY_2720	246.089538585
3058952	300267.SDY_2721	290.978835526
3058953	300267.SDY_2722	286.086477203
3058956	300267.SDY_2725	404.668188025
3058957	300267.SDY_2726	1563.46145994
3058959	300267.SDY_2728	432.593232477
3058960	300267.SDY_2729	596.331792433
3058970	300267.SDY_2741	1045.31060953
3058972	300267.SDY_2743	1893.93291533
3058976	300267.SDY_2747	155.763735844
3058995	300267.SDY_2766	82.3322603746
3058996	300267.SDY_2767	441.683572344
3058997	300267.SDY_2768	1292.56354109
3059009	300267.SDY_2780	1104.55026283
3059012	300267.SDY_2783	926.66496376
3059016	300267.SDY_2787	1884.24837502
3059017	300267.SDY_2788	262.736772078
3059019	300267.SDY_2790	462.852344593
3059034	300267.SDY_2805	522.400599453
3059041	300267.SDY_2812	229.789073972
3059043	300267.SDY_2814	366.408952036
3059051	300267.SDY_2822	782.228568358
3059053	300267.SDY_2824	241.597031796
3059054	300267.SDY_2825	364.242619802
3059060	300267.SDY_2835	630.229306133
3059063	300267.SDY_2838	100.034157342
3059078	300267.SDY_2855	5594.43551051
3059081	300267.SDY_2858	815.803675858
3059086	300267.SDY_2863	2190.666274
3059101	300267.SDY_2879	110.148585088
3059105	300267.SDY_2884	4924.40874552
3059106	300267.SDY_2885	325.429881627
3059109	300267.SDY_2892	2335.43797403
3059110	300267.SDY_2893	814.671513739
3059112	300267.SDY_2895	444.922259302
3059153	300267.SDY_2941	223.326256266
3059156	300267.SDY_2944	174.04871409
3059157	300267.SDY_2945	906.908654888
3059177	300267.SDY_2965	521.891932852
3059178	300267.SDY_2966	1016.65974021
3059205	300267.SDY_2996	4941.84790049
3059206	300267.SDY_2997	932.0920827
3059209	300267.SDY_3000	193.775493506
3059213	300267.SDY_3007	543.59332154
3059217	300267.SDY_3011	133.229683082
3059218	300267.SDY_3012	445.72392103
3059222	300267.SDY_3016	248.00250557
3059232	300267.SDY_3027	6947.92797273
3059234	300267.SDY_3029	164.05969239
3059241	300267.SDY_3038	133.357542663
3059247	300267.SDY_3044	397.377680189
3059254	300267.SDY_3051	718.475891473
3059256	300267.SDY_3053	114.408942759
3059258	300267.SDY_3055	75.8323450819
3059264	300267.SDY_3061	2444.22221842
3059266	300267.SDY_3063	1331.56290191
3059270	300267.SDY_3067	588.474983574
3059272	300267.SDY_3069	1359.03631666
3059286	300267.SDY_3084	190.06489895
3059287	300267.SDY_3085	159.575745814
3059310	300267.SDY_3110	1306.69618028
3059314	300267.SDY_3114	462.168157831
3059315	300267.SDY_3115	102.796895865
3059322	300267.SDY_3122	787.438317883
3059325	300267.SDY_3125	252.346052278
3059330	300267.SDY_3130	449.398838769
3059334	300267.SDY_3134	82.6369125869
3059339	300267.SDY_3139	3332.53688107
3059340	300267.SDY_3140	796.301075828
3059341	300267.SDY_3141	863.417496345
3059355	300267.SDY_3156	4715.17703952
3059356	300267.SDY_3157	3880.97457536
3059357	300267.SDY_3158	1482.95695861
3059359	300267.SDY_3160	1918.39547866
3059366	300267.SDY_3168	3286.40644673
3059367	300267.SDY_3169	810.253990989
3059368	300267.SDY_3170	215.774160644
3059371	300267.SDY_3173	769.616636979
3059374	300267.SDY_3176	2178.79274406
3059376	300267.SDY_3178	1328.51752557
3059380	300267.SDY_3184	1011.28870762
3059385	300267.SDY_3189	483.739183248
3059388	300267.SDY_3192	458.945700951
3059397	300267.SDY_3202	100.654087331
3059407	300267.SDY_3212	319.322618432
3059410	300267.SDY_3215	3989.94800277
3059413	300267.SDY_3218	123.078675264
3059421	300267.SDY_3227	819.545894555
3059429	300267.SDY_3235	145.489417763
3059431	300267.SDY_3237	195.364685635
3059432	300267.SDY_3238	355.615057749
3059441	300267.SDY_3251	202.793422262
3059442	300267.SDY_3252	226.727163722
3059444	300267.SDY_3255	658.455792431
3059457	300267.SDY_3272	156.172207179
3059469	300267.SDY_3285	3007.16543091
3059475	300267.SDY_3291	1606.48860093
3059506	300267.SDY_3326	236.95093503
3059509	300267.SDY_3329	1522.67902
3059511	300267.SDY_3332	471.15243938
3059521	300267.SDY_3342	254.502856144
3059522	300267.SDY_3343	1653.28094191
3059524	300267.SDY_3345	263.317619769
3059525	300267.SDY_3346	833.998467384
3059526	300267.SDY_3347	632.502967948
3059527	300267.SDY_3348	205.514959754
3059529	300267.SDY_3351	1148.3858912
3059534	300267.SDY_3357	594.371249554
3059535	300267.SDY_3358	302.558856923
3059536	300267.SDY_3359	415.008141726
3059539	300267.SDY_3362	967.747110487
3059543	300267.SDY_3366	1230.93212115
3059550	300267.SDY_3373	1147.10115578
3059551	300267.SDY_3374	826.369125869
3059552	300267.SDY_3375	222.215180364
3059553	300267.SDY_3376	136.695489681
3059555	300267.SDY_3378	272.141667956
3059558	300267.SDY_3381	430.508445814
3059560	300267.SDY_3383	356.608792441
3059561	300267.SDY_3384	2371.60626123
3059562	300267.SDY_3385	624.688828717
3059567	300267.SDY_3390	1100.12934121
3059573	300267.SDY_3396	200.292606517
3059575	300267.SDY_3398	322.105177307
3059577	300267.SDY_3400	402.087783225
3059581	300267.SDY_3405	2963.15813192
3059583	300267.SDY_3407	351.694891758
3059585	300267.SDY_3409	967.478366496
3059586	300267.SDY_3410	393.141575823
3059588	300267.SDY_3412	7920.70037964
3059589	300267.SDY_3413	150.896119099
3059591	300267.SDY_3415	486.814727556
3059596	300267.SDY_3420	546.749779936
3059599	300267.SDY_3423	321.332742829
3059604	300267.SDY_3428	716.206652749
3059608	300267.SDY_3432	1303.23014267
3059609	300267.SDY_3433	613.58324954
3059623	300267.SDY_3458	145.017049524
3059628	300267.SDY_3463	1138.77411127
3059629	300267.SDY_3464	794.320473724
3059635	300267.SDY_3471	1724.9307096
3059638	300267.SDY_3474	2151.17813387
3059641	300267.SDY_3477	452.994434617
3059642	300267.SDY_3478	2894.96998864
3059643	300267.SDY_3479	1941.96744579
3059644	300267.SDY_3480	443.694548873
3059645	300267.SDY_3481	3262.81203627
3059646	300267.SDY_3482	591.592731831
3059648	300267.SDY_3484	1061.77300919
3059649	300267.SDY_3485	6411.2800842
3059650	300267.SDY_3486	813.327792168
3059652	300267.SDY_3488	1672.85585218
3059654	300267.SDY_3490	866.23517582
3059655	300267.SDY_3491	1359.10861352
3059656	300267.SDY_3492	1587.09014605
3059657	300267.SDY_3493	463.882431414
3059659	300267.SDY_3495	580.068198094
3059660	300267.SDY_3496	795.463067734
3059661	300267.SDY_3497	1591.12854337
3059662	300267.SDY_3498	4548.39625797
3059664	300267.SDY_3500	9397.05417026
3059665	300267.SDY_3501	4911.22292227
3059666	300267.SDY_3502	835.98063843
3059672	300267.SDY_3508	1974.53092431
3059673	300267.SDY_3509	1058.41827614
3059674	300267.SDY_3510	2299.59709423
3059682	300267.SDY_3519	1814.84090871
3059688	300267.SDY_3525	238.214673351
3059695	300267.SDY_3532	671.321411622
3059705	300267.SDY_3543	4107.14954053
