Species, Gene
HAL, VNG0442G(rspA)
HSL, OE1664R(gnaD)
HMA, rrnAC0575(dgoA4)
HWA, HQ2412A(rspA)
HLA, Hlac_1300
HMU, Hmuk_2254
HTU, Htur_2654
NMG, Nmag_1145
HVO, HVO_1488
HJE, HacjB3_13980
HBO, Hbor_17420
PTO, PTO0485
SSO, SSO3198
STO, ST2366
SAI, Saci_0885
SIS, LS215_2325
SIA, M1425_2162
SIM, M1627_2242
SID, M164_2165
SIY, YG5714_2288
SIN, YN1551_0627
SII, LD85_2428
MSE, Msed_1303
VDI, Vdis_1648
