CID,name,nH,nMg,nC,nN,nO,nS,nP,ne-
147,Adenine,5,0,5,5,0,0,0,70
148,L-Proline,9,0,5,1,2,0,0,62
149,(S)-Malate,4,0,4,0,5,0,0,70
152,L-Asparagine,8,0,4,2,3,0,0,70
153,Nicotinamide,6,0,6,2,1,0,0,64
154,Palmitoyl-CoA,62,0,37,7,17,1,3,534
155,L-Homocysteine,9,0,4,1,2,1,0,72
158,Citrate,5,0,6,0,7,0,0,100
159,D-Mannose,12,0,6,0,6,0,0,96
160,Glycolate,3,0,2,0,3,0,0,40
163,Propanoate,5,0,3,0,2,0,0,40
164,Acetoacetate,5,0,4,0,3,0,0,54
166,Phenylpyruvate,7,0,9,0,3,0,0,86
167,UDP-glucuronate,19,0,15,2,18,0,2,300
168,Hydroxypyruvate,3,0,3,0,4,0,0,54
169,Carbamoyl phosphate,2,0,1,1,5,0,1,72
170,5'-Methylthioadenosine,15,0,11,5,3,1,0,156
178,Thymine,6,0,5,2,2,0,0,66
181,D-Xylose,10,0,5,0,5,0,0,80
183,L-Valine,11,0,5,1,2,0,0,64
184,Glycerone,6,0,3,0,3,0,0,48
