"cid","nH","z","dG0","estimated"
"2979","7","-2","-1336.7697734863","1"
"2980","8","0","328.385387493777","1"
"2982","39","-1","-404.058493850844","1"
"2982","40","0","-430.976670864849","1"
"2983","13","-1","-159.340289291566","1"
"2983","14","0","-186.258466305571","1"
"2985","12","-1","-1636.12777254907","1"
"2985","11","-2","-1599.75231279741","1"
"2991","10","0","-734.739825648563","1"
"2994","8","0","-739.906585187617","1"
"2995","21","-2","-2416.21453213622","1"
"2995","22","-1","-2452.58999188788","1"
"3003","15","-1","-896.208883211615","1"
"3003","16","0","-923.127060225621","1"
"3004","11","0","-609.244996078003","1"
"3004","10","-1","-582.326819063998","1"
"3005","8","-1","-276.043216957844","1"
"3005","9","0","-302.961393971849","1"
"3007","8","0","21.8050013892468","1"
"3012","8","0","-83.883989310383","1"
"3015","7","-1","-612.373105048495","1"
"3015","8","0","-630.916706819809","1"
"3015","9","1","-657.834883833814","1"
"3030","3","-1","-574.440702800861","1"
"3030","4","0","-601.358879814866","1"
"3031","12","-1","-1558.97946608959","1"
"3031","11","-2","-1522.60400633794","1"
"3035","64","0","181.360997285566","1"
"3039","18","0","-410.285990279402","1"
"3042","35","-1","-410.791239153767","1"
"3042","36","0","-437.709416167772","1"
"3043","14","0","-142.926240187312","1"
"3044","10","0","-334.631797238345","1"
"3045","35","-1","-410.791239153767","1"
"3045","36","0","-437.709416167772","1"
"3046","10","0","-334.631797238345","1"
"3047","16","0","-93.3837003516827","1"
"3047","17","1","-111.927302122997","1"
"3047","18","2","-130.470903894311","1"
"3049","43","-1","-382.92265344718","1"
"3049","44","0","-409.840830461185","1"
"3052","12","0","-1025.46506298506","1"
"3056","5","0","-213.057004205292","1"
"3057","5","-1","-337.266486256184","1"
"3057","6","0","-364.18466327019","1"
"3058","42","0","-680.613951911122","1"
"3058","41","-1","-653.695774897117","1"
"3059","8","-1","-667.479366809624","1"
"3059","9","0","-686.022968580938","1"
"3059","10","1","-712.941145594943","1"
"3062","15","-1","-1607.87631828119","1"
"3062","16","0","-1634.7944952952","1"
"3062","14","-2","-1580.95814126719","1"
"3063","7","-1","-717.052575263029","1"
"3063","8","0","-743.970752277034","1"
"3063","6","-2","-690.134398249024","1"
"3064","5","-1","-778.305940238893","1"
"3064","6","0","-805.224117252898","1"
"3065","8","-1","-394.674387110138","1"
"3065","9","0","-413.217988881452","1"
"3065","10","1","-440.136165895457","1"
"3066","8","-1","-844.302357756324","1"
"3066","9","0","-871.220534770329","1"
"3066","7","-2","-825.75875598501","1"
"3066","10","1","-898.138711784334","1"
"3067","6","0","-168.733753906761","1"
"3068","16","0","127.404792013446","1"
"3069","42","0","-86.6675564135593","1"
"3078","13","1","-238.018422849607","1"
"3078","12","0","-219.474821078293","1"
"3079","8","-1","-844.302357756324","1"
"3079","9","0","-871.220534770329","1"
"3079","7","-2","-825.75875598501","1"
"3079","10","1","-898.138711784334","1"
"3080","10","0","-408.287775531326","1"
"3080","9","-1","-381.369598517321","1"
"3082","9","1","-1661.24894260414","1"
"3082","7","-1","-1598.17011854647","1"
"3082","8","0","-1634.33076559013","1"
"3082","5","-3","-1530.28255819114","1"
"3082","6","-2","-1548.82615996245","1"
"3088","6","0","-398.940824024791","1"
"3089","12","0","-729.374831222999","1"
"3090","10","-2","-1421.58891078207","1"
"3090","11","-1","-1440.13251255338","1"
"3090","12","0","-1476.50797230504","1"
"3097","16","0","-680.943076475352","1"
"3104","13","-1","-1515.81370656743","1"
"3104","12","-2","-1479.43824681578","1"
"3107","10","0","-890.465006471167","1"
"3108","48","1","-822.497140575576","1"
"3108","47","0","-803.953538804262","1"
"3109","8","-1","-1474.43378272131","1"
"3109","7","-2","-1438.05832296966","1"
"3114","10","0","167.857118641938","1"
"3115","26","-3","-2473.3027479738","1"
"3115","25","-4","-2436.92728822215","1"
"3134","7","0","-15.842592866856","1"
"3139","8","-1","-739.276288941071","1"
"3139","9","0","-766.194465955076","1"
"3139","7","-2","-720.732687169757","1"
"3139","10","1","-793.112642969082","1"
"3140","11","0","-759.22731952843","1"
"3140","12","1","-786.145496542435","1"
"3140","10","-1","-732.309142514425","1"
"3140","9","-2","-713.765540743111","1"
"3142","17","0","-620.769926247191","1"
"3150","15","0","-558.443894792506","1"
"3156","18","0","-1577.50735799818","1"
"3156","17","-1","-1550.58918098417","1"
"3156","16","-2","-1523.67100397017","1"
"3160","43","-1","-476.490840440239","1"
"3160","44","0","-503.409017454244","1"
"3164","10","0","57.2027935128332","1"
"3169","13","0","-341.465079945522","1"
"3173","5","-1","-505.141137395715","1"
"3173","6","0","-532.05931440972","1"
"3175","8","-3","-1905.89795682074","1"
"3175","10","-1","-1969.1915935864","1"
"3175","9","-2","-1932.81613383475","1"
"3177","13","-2","-1854.60881387661","1"
"3177","16","1","-1928.07147717089","1"
"3177","15","0","-1891.69601741924","1"
"3177","14","-1","-1873.15241564793","1"
"3178","4","0","-388.686542277695","1"
"3188","37","-1","-510.104500040214","1"
"3188","38","0","-537.022677054219","1"
"3189","8","-1","-1373.14523323796","1"
"3189","7","-2","-1336.7697734863","1"
"3194","9","0","-175.442542753363","1"
"3194","10","1","-193.986144524677","1"
"3195","35","-1","-410.791239153767","1"
"3195","36","0","-437.709416167772","1"
"3196","6","-2","-840.18","0"
"3197","7","-1","-508.331289126822","1"
"3197","8","0","-535.249466140827","1"
"3198","7","-1","-544.061925766572","1"
"3198","8","0","-570.980102780577","1"
"3199","44","0","-680.86912378552","1"
"3200","32","0","-2235.70553476613","1"
"3203","7","-1","-252.416721659806","1"
"3203","8","0","-279.334898673811","1"
"3204","19","-2","-637.946123706137","1"
"3204","20","-1","-664.864300720142","1"
"3204","21","0","-691.782477734147","1"
"3209","10","0","-91.0419350974514","1"
"3210","11","0","-770.765655689274","1"
"3210","10","-1","-743.847478675268","1"
"3210","9","-2","-716.929301661263","1"
"3212","4","0","-36.2289175971561","1"
"3214","8","1","-503.686524177571","1"
"3214","7","0","-476.768347163566","1"
"3214","6","-1","-458.224745392252","1"
"3215","11","-1","-1132.95222340076","1"
"3215","12","0","-1159.87040041477","1"
"3217","7","-1","-966.789703175674","1"
"3217","8","0","-993.707880189679","1"
"3217","6","-2","-939.871526161669","1"
"3220","26","0","136.165541576621","1"
"3221","56","0","-30.9307088259177","1"
"3223","5","-1","-998.483882195355","1"
"3223","6","0","-1025.40205920936","1"
"3223","4","-2","-971.56570518135","1"
"3226","80","0","939.562491318755","1"
"3227","13","1","-557.517012871753","1"
"3227","14","2","-584.435189885758","1"
"3227","11","-1","-520.429809329125","1"
"3227","12","0","-538.973411100439","1"
"3228","10","0","-461.168407727203","1"
"3230","9","0","-58.997972667131","1"
"3231","42","0","-437.843646599592","1"
"3231","41","-1","-410.925469585586","1"
"3232","2","-3","-1448.67","0"
"3233","5","-1","-998.483882195355","1"
"3233","6","0","-1025.40205920936","1"
"3233","4","-2","-971.56570518135","1"
"3235","7","-1","-491.941548008609","1"
"3235","8","0","-518.859725022614","1"
"3237","44","0","-320.670328410851","1"
"3239","11","0","-461.03366742268","1"
"3239","10","-1","-442.490065651366","1"
"3239","12","1","-487.951844436685","1"
"3240","38","0","-690.890928981124","1"
"3241","10","0","-492.680317876432","1"
"3242","34","0","-10.5163142768773","1"
"3242","33","-1","16.4018627371278","1"
"3243","8","0","533.150121668229","1"
"3251","12","-1","-1775.55062528842","1"
"3251","11","-2","-1739.17516553676","1"
"3256","30","1","-724.71723197704","1"
"3256","29","0","-706.173630205726","1"
"3264","11","-1","-496.197383161121","1"
"3264","12","0","-523.115560175126","1"
"3267","12","-1","-1794.20047212177","1"
"3267","11","-2","-1757.82501237011","1"
"3269","10","0","-864.961585933528","1"
"3273","7","-1","-450.293884012392","1"
"3273","8","0","-477.212061026397","1"
"3277","5","-1","-362.697494290924","1"
"3277","6","0","-389.615671304929","1"
"3280","12","0","-777.324035423698","1"
"3281","40","3","-2809.60609185645","1"
"3281","38","1","-2754.68703033348","1"
"3281","35","-2","-2699.05622501954","1"
"3281","37","0","-2736.14342856217","1"
"3281","36","-1","-2717.59982679085","1"
"3281","39","2","-2773.23063210479","1"
"3283","10","0","-353.888043672668","1"
"3283","11","1","-372.431645443982","1"
"3283","9","-1","-335.344441901354","1"
"3283","12","2","-399.349822457987","1"
"3284","8","-1","-343.975275102786","1"
"3284","9","0","-362.5188768741","1"
"3284","10","1","-389.437053888105","1"
"3287","10","0","-1627.36361916349","1"
"3287","7","-3","-1523.31541176449","1"
"3287","9","-1","-1591.20297211982","1"
"3287","11","1","-1654.28179617749","1"
"3287","8","-2","-1541.8590135358","1"
"3289","8","0","-602.81715952564","1"
"3290","11","0","-344.043200622947","1"
"3290","10","-1","-325.499598851633","1"
"3290","12","1","-370.961377636953","1"
"3291","10","-1","-1630.98597838433","1"
"3291","9","-2","-1594.61051863267","1"
"3298","11","0","-315.431481200481","1"
"3298","10","-1","-288.513304186476","1"
"3300","21","0","-380.443529343088","1"
"3309","24","0","-192.476220906467","1"
"3312","12","-1","-1753.37280765537","1"
"3312","11","-2","-1716.99734790372","1"
"3313","48","0","37.2234094574121","1"
"3314","3","-1","-506.997466523826","1"
"3314","4","0","-533.915643537832","1"
"3323","22","0","-1579.66353375012","1"
"3328","10","-2","-830.708639507186","1"
"3328","11","-1","-857.626816521191","1"
"3328","12","0","-884.544993535196","1"
"3338","8","0","-471.807913233253","1"
"3339","3","-5","-2353.51568814867","1"
"3339","4","-4","-2380.43386516268","1"
"3339","5","-3","-2416.80932491433","1"
"3339","6","-2","-2453.18478466598","1"
"3340","5","-2","-720.550676446751","1"
"3340","7","0","-774.387030474762","1"
"3340","6","-1","-747.468853460757","1"
"3341","8","-1","-451.257598965605","1"
"3341","9","0","-469.801200736919","1"
"3341","10","1","-496.719377750925","1"
"3342","10","0","-1106.34095982","1"
"3342","9","-1","-1079.42278280599","1"
"3343","21","-1","-494.94373089002","1"
"3343","22","0","-521.861907904025","1"
"3344","42","0","-280.995004765305","1"
"3345","42","0","-86.6675564135593","1"
"3348","12","0","-610.191639069701","1"
"3351","8","0","-218.003625706952","1"
"3352","10","0","-160.716488409935","1"
"3354","11","0","-158.318098168962","1"
"3354","12","1","-176.861699940276","1"
"3356","8","-1","-1726.12171031158","1"
"3356","7","-2","-1689.74625055993","1"
"3356","6","-3","-1662.82807354592","1"
"3365","14","0","-1284.78766874137","1"
"3366","13","-2","-1338.72535441587","1"
"3366","12","-3","-1320.18175264456","1"
"3366","15","0","-1384.18713320119","1"
"3366","16","1","-1420.56259295284","1"
"3366","14","-1","-1357.26895618718","1"
"3367","32","0","-2235.70553476613","1"
"3373","13","-1","-1326.56978598192","1"
"3373","12","-2","-1308.02618421061","1"
"3373","14","0","-1362.94524573357","1"
"3374","42","-2","-1390.79882386385","1"
"3374","43","-1","-1417.71700087785","1"
"3374","44","0","-1444.63517789186","1"
"3375","17","0","-33.6167422858665","1"
"3375","19","2","-70.7039458284944","1"
"3375","18","1","-52.1603440571804","1"
"3383","10","0","-905.34","0"
"3384","12","-1","-1791.77","0"
"3384","11","-2","-1756.59","0"
"3387","8","0","-860.169282201338","1"
"3393","8","-1","-1726.12171031158","1"
"3393","7","-2","-1689.74625055993","1"
"3393","6","-3","-1662.82807354592","1"
"3394","8","-1","-1480.42755710078","1"
"3394","7","-2","-1444.05209734912","1"
"3401","7","-1","-342.311588328001","1"
"3401","8","0","-360.855190099315","1"
"3401","9","1","-379.398791870629","1"
"3401","10","2","-406.316968884634","1"
"3404","14","1","-371.159499243713","1"
"3404","13","0","-352.615897472399","1"
"3406","18","0","-1136.53439704619","1"
"3406","15","-3","-1064.15444124686","1"
"3406","17","-1","-1109.61622003218","1"
"3406","19","1","-1163.45257406019","1"
"3406","16","-2","-1082.69804301818","1"
"3409","7","-1","-749.31487478408","1"
"3409","8","0","-776.233051798085","1"
"3409","6","-2","-722.396697770075","1"
"3416","19","0","92.1534350994322","1"
"3416","20","1","67.5056079292415","1"
"3423","23","0","-521.791020757856","1"
"3425","36","0","-147.898389824278","1"
"3427","65","-3","-1446.59066795329","1"
"3427","66","-2","-1482.96612770494","1"
"3428","49","-3","-1672.81731456913","1"
"3428","50","-2","-1709.19277432078","1"
"3430","22","0","-1481.43736732682","1"
"3431","19","0","-772.934561747915","1"
"3431","18","-1","-754.390959976601","1"
"3431","20","1","-799.85273876192","1"
"3433","13","-2","-1854.60881387661","1"
"3433","16","1","-1928.07147717089","1"
"3433","15","0","-1891.69601741924","1"
"3433","14","-1","-1873.15241564793","1"
"3440","8","-1","-756.797846945554","1"
"3440","9","0","-783.716023959559","1"
"3441","8","-1","-756.797846945554","1"
"3441","9","0","-783.716023959559","1"
"3450","11","0","-293.79995677557","1"
"3450","10","-1","-275.256355004256","1"
"3450","12","1","-320.718133789575","1"
"3453","5","-1","-724.019721689675","1"
"3453","6","0","-750.937898703681","1"
"3453","4","-2","-697.10154467567","1"
"3455","60","0","-78.77981453287","1"
"3458","5","0","-417.821738379745","1"
"3459","2","-2","-953.805819014962","1"
"3459","3","-1","-980.723996028967","1"
"3459","4","0","-1007.64217304297","1"
"3460","40","0","-82.6104795868869","1"
"3461","24","0","185.435413376812","1"
"3465","10","0","-479.839462754396","1"
"3465","9","-1","-452.921285740391","1"
"3466","42","0","-75.6433331602401","1"
"3467","10","0","-479.839462754396","1"
"3467","9","-1","-452.921285740391","1"
"3470","34","0","-853.213259422672","1"
"3473","11","0","-48.480852143862","1"
"3473","12","1","-67.024453915176","1"
"3479","21","-2","-739.777877096665","1"
"3479","23","0","-793.614231124675","1"
"3479","22","-1","-766.69605411067","1"
"3485","8","0","-13.2388915324998","1"
"3493","8","-1","-379.705911742536","1"
"3493","9","0","-398.24951351385","1"
"3493","10","1","-425.167690527855","1"
"3494","10","-1","-1523.70365452151","1"
"3494","9","-2","-1487.32819476985","1"
"3495","15","-1","-1409.57147565122","1"
"3495","14","-2","-1373.19601589957","1"
"3499","12","0","-481.241274856685","1"
"3500","10","0","-437.965177435954","1"
"3503","18","0","-332.351651022429","1"
"3505","5","-2","-1137.76849524297","1"
"3505","6","-1","-1174.14395499462","1"
"3506","13","-1","-1136.44776138882","1"
"3506","12","-2","-1100.07230163717","1"
"3508","8","1","-503.686524177571","1"
"3508","7","0","-476.768347163566","1"
"3508","6","-1","-458.224745392252","1"
"3509","12","-1","-1674.26207580506","1"
"3509","11","-2","-1637.8866160534","1"
"3522","8","-1","-276.043216957844","1"
"3522","9","0","-302.961393971849","1"
"3525","19","0","-1417.01108105269","1"
"3525","18","-1","-1398.46747928138","1"
"3525","20","1","-1443.9292580667","1"
"3527","22","0","-362.24832435436","1"
"3536","13","-1","-1219.08657558347","1"
"3536","12","-2","-1182.71111583182","1"
"3539","16","-1","-1032.86800522789","1"
"3539","17","0","-1051.41160699921","1"
"3539","18","1","-1078.32978401321","1"
"3546","12","-1","-2219.69630167634","1"
"3546","11","-2","-2183.32084192469","1"
"3547","3","-1","-520.465195092523","1"
"3547","4","0","-547.383372106528","1"
"3548","2","-2","-749.666362417477","1"
"3548","3","-1","-776.584539431482","1"
"3548","4","0","-803.502716445487","1"
"3561","42","0","-329.43786172509","1"
"3564","7","0","-551.74771167554","1"
"3564","6","-1","-524.829534661535","1"
"3567","12","0","-467.620956794744","1"
"3569","10","0","-295.806669271904","1"
"3570","14","1","-768.419045480997","1"
"3570","13","0","-749.875443709683","1"
"3571","11","0","-367.605460509083","1"
"3571","10","-1","-349.061858737769","1"
"3571","12","1","-394.523637523088","1"
"3577","35","-2","-664.266302464801","1"
"3577","38","1","-736.646258264126","1"
"3577","36","-1","-682.809904236115","1"
"3577","37","0","-709.72808125012","1"
"3582","12","0","-196.627962642809","1"
"3584","8","-1","-443.326683883866","1"
"3584","9","0","-461.87028565518","1"
"3584","10","1","-488.788462669185","1"
"3586","5","-1","-462.483700083673","1"
"3586","6","0","-489.401877097678","1"
"3589","7","-1","-615.613612989642","1"
"3589","8","0","-642.531790003647","1"
"3590","5","-1","-500.785828345842","1"
"3590","6","0","-527.704005359847","1"
"3592","15","0","-531.949980013269","1"
"3595","68","0","195.29529013886","1"
"3600","7","-1","-1160.36347862852","1"
"3600","8","0","-1187.28165564252","1"
"3600","5","-3","-1106.52712460051","1"
"3600","6","-2","-1133.44530161451","1"
"3604","8","-1","-1480.42755710078","1"
"3604","7","-2","-1444.05209734912","1"
"3606","12","-1","-1822.38554952091","1"
"3606","11","-2","-1786.01008976926","1"
"3618","8","-1","-688.57717693372","1"
"3618","9","0","-715.495353947725","1"
"3618","7","-2","-670.033575162406","1"
"3618","10","1","-742.41353096173","1"
"3619","14","0","-856.944320436701","1"
"3621","13","0","-79.9191051530038","1"
"3622","11","0","68.4907593529286","1"
"3626","18","0","-269.989265662302","1"
"3626","19","1","-296.907442676307","1"
"3626","17","-1","-251.445663890988","1"
"3630","37","-2","-1245.18478396935","1"
"3630","38","-1","-1281.56024372101","1"
"3647","5","-1","-524.525837624408","1"
"3647","6","0","-551.444014638413","1"
"3647","4","-2","-497.607660610402","1"
"3648","14","0","-903.583441581685","1"
"3651","8","-1","-756.797846945554","1"
"3651","9","0","-783.716023959559","1"
"3652","10","0","-893.312526849435","1"
"3652","9","-1","-866.39434983543","1"
"3652","8","-2","-839.476172821425","1"
"3654","12","-1","-1781.54439966788","1"
"3654","11","-2","-1745.16893991622","1"
"3656","11","0","-462.834054310273","1"
"3656","10","-1","-444.290452538959","1"
"3656","12","1","-489.752231324278","1"
"3657","7","-1","-457.181455834258","1"
"3657","8","0","-484.099632848264","1"
"3659","14","0","-1284.78766874137","1"
"3660","14","0","-1284.78766874137","1"
"3661","32","0","-2240.40057226632","1"
"3663","8","0","-374.32550292162","1"
"3665","8","-1","-356.029005164416","1"
"3665","9","0","-374.57260693573","1"
"3665","10","1","-401.490783949735","1"
"3666","5","-1","-882.668750411554","1"
"3666","3","-3","-828.832396383544","1"
"3666","6","0","-909.586927425559","1"
"3666","4","-2","-855.750573397549","1"
"3668","5","-1","-866.474525739501","1"
"3668","6","0","-893.392702753506","1"
"3668","4","-2","-839.556348725496","1"
"3672","10","0","-564.01295635393","1"
"3672","9","-1","-537.094779339925","1"
"3676","5","-1","-687.217841048126","1"
"3676","6","0","-714.136018062131","1"
"3676","4","-2","-660.299664034121","1"
"3678","8","-1","-499.70045592539","1"
"3678","9","0","-518.244057696704","1"
"3678","10","1","-545.162234710709","1"
"3680","7","-1","-443.20517849537","1"
"3680","8","0","-470.123355509375","1"
"3684","11","0","-305.836507176318","1"
"3685","50","0","-253.126419058718","1"
"3687","6","0","-23.2204346950277","1"
"3687","8","2","-60.3076382376557","1"
"3687","7","1","-41.7640364663417","1"
"3690","38","0","-427.851224947594","1"
"3693","10","-4","-2596.72352950632","1"
"3693","12","-2","-2669.47444900962","1"
"3693","11","-3","-2633.09898925797","1"
"3703","5","-1","-591.504780371009","1"
"3703","6","0","-618.422957385014","1"
"3711","13","0","-46.3370252908714","1"
"3716","5","-1","-776.157383461275","1"
"3716","6","0","-803.07556047528","1"
"3722","3","-2","-550.122468904138","1"
"3722","4","-1","-577.040645918143","1"
"3722","5","0","-603.958822932149","1"
"3727","8","-1","-834.14505959857","1"
"3727","9","0","-861.063236612575","1"
"3727","7","-2","-815.601457827256","1"
"3727","10","1","-887.98141362658","1"
"3731","39","-1","-2965.58337621906","1"
"3731","40","0","-2984.12697799037","1"
"3731","41","1","-3020.50243774202","1"
"3731","38","-2","-2947.03977444774","1"
"3734","10","0","-1627.36361916349","1"
"3734","7","-3","-1523.31541176449","1"
"3734","9","-1","-1591.20297211982","1"
"3734","11","1","-1654.28179617749","1"
"3734","8","-2","-1541.8590135358","1"
"3735","12","-1","-1791.85295337167","1"
"3735","11","-2","-1755.47749362002","1"
"3736","10","-1","-1622.32038455776","1"
"3736","9","-2","-1585.94492480611","1"
"3737","10","-1","-1650.5054619569","1"
"3737","9","-2","-1614.13000220525","1"
"3739","12","0","-748.816254672731","1"
"3741","8","-1","-443.463437698552","1"
"3741","9","0","-462.007039469866","1"
"3741","10","1","-488.925216483872","1"
"3743","6","0","-634.500240482504","1"
"3750","11","-1","-382.401978754268","1"
"3750","12","0","-409.320155768273","1"
"3752","14","1","-1003.80464498801","1"
"3752","12","-1","-958.342866202687","1"
"3752","13","0","-976.886467974001","1"
"3754","8","-1","-1257.03229037791","1"
"3754","9","0","-1293.19293742158","1"
"3754","7","-2","-1207.68833179389","1"
"3755","41","0","-1976.21637637098","1"
"3755","43","2","-2013.30357991361","1"
"3755","42","1","-1994.75997814229","1"
"3758","11","0","-251.445199430722","1"
"3758","12","1","-269.988801202036","1"
"3761","10","0","-891.512139961843","1"
"3761","9","-1","-864.593962947838","1"
"3761","8","-2","-837.675785933832","1"
"3762","5","-1","-309.420058209427","1"
"3762","6","0","-336.338235223432","1"
"3765","8","0","-161.766607480115","1"
"3767","10","0","-656.619317090631","1"
"3767","9","-1","-629.701140076626","1"
"3771","11","0","-513.533166317624","1"
"3771","10","-1","-494.98956454631","1"
"3771","12","1","-540.45134333163","1"
"3783","13","-1","-1609.6650813673","1"
"3783","12","-2","-1591.12147959598","1"
"3783","14","0","-1646.04054111895","1"
"3785","10","-4","-2599.07104825641","1"
"3785","12","-2","-2671.82196775972","1"
"3785","11","-3","-2635.44650800807","1"
"3790","8","-1","-749.014238214323","1"
"3790","9","0","-775.932415228328","1"
"3790","7","-2","-722.096061200317","1"
"3794","19","0","-1652.98352778356","1"
"3794","16","-3","-1562.77171400389","1"
"3794","18","-1","-1616.6080680319","1"
"3794","17","-2","-1589.6898910179","1"
"3794","15","-4","-1538.1238868337","1"
"3795","16","0","94.7858536990104","1"
"3795","17","1","70.1380265288197","1"
"3805","40","-1","-1366.80465749681","1"
"3805","39","-2","-1330.42919774516","1"
"3811","12","-1","-1791.85295337167","1"
"3811","11","-2","-1755.47749362002","1"
"3817","7","-1","-405.973591711654","1"
"3817","8","0","-432.891768725659","1"
"3824","8","1","-316.635678219143","1"
"3824","7","0","-289.717501205138","1"
"3824","6","-1","-271.173899433824","1"
"3826","7","-1","-771.338793812246","1"
"3826","8","0","-798.256970826251","1"
"3827","10","0","-793.090211287197","1"
"3827","9","-1","-766.172034273192","1"
"3828","13","-2","-1706.2941760352","1"
"3828","16","1","-1779.75683932948","1"
"3828","15","0","-1743.38137957783","1"
"3828","14","-1","-1724.83777780651","1"
"3840","6","0","117.394205646942","1"
"3844","14","0","-1284.78766874137","1"
"3848","32","0","-2238.05305351623","1"
"3850","13","-2","-1942.72636207868","1"
"3850","12","-3","-1906.35090232703","1"
"3850","11","-4","-1881.70307515684","1"
"3850","14","-1","-1979.10182183033","1"
"3857","22","0","-1579.66353375012","1"
"3858","49","0","-889.197952580064","1"
"3858","50","1","-907.741554351378","1"
"3864","16","0","-467.306982003391","1"
"3865","16","0","-467.306982003391","1"
"3868","19","0","-1251.98681180759","1"
"3871","11","0","-814.010144496305","1"
"3871","12","1","-840.92832151031","1"
"3871","10","-1","-787.0919674823","1"
"3871","9","-2","-768.548365710986","1"
"3882","19","0","-325.16272589336","1"
"3884","15","-1","-420.805374441862","1"
"3884","16","0","-439.348976213176","1"
"3884","17","1","-466.267153227182","1"
"3885","77","-1","575.47685193642","1"
"3885","78","0","548.558674922415","1"
"3894","8","-1","-1217.42005241535","1"
"3894","7","-2","-1181.0445926637","1"
"3906","10","-1","-1650.5054619569","1"
"3906","9","-2","-1614.13000220525","1"
"3912","7","0","-558.729894067962","1"
"3912","6","-1","-531.811717053957","1"
"3914","11","0","-255.275896870965","1"
"3914","10","-1","-228.35771985696","1"
"3921","7","-1","-1124.31527088587","1"
"3921","8","0","-1151.23344789988","1"
"3921","6","-2","-1097.39709387187","1"
"3926","10","0","-948.815392109801","1"
"3926","9","-1","-921.897215095796","1"
"3927","5","0","-155.985160536927","1"
"3929","16","0","-302.068263653285","1"
"3932","10","0","-948.815392109801","1"
"3932","9","-1","-921.897215095796","1"
"3943","13","1","-367.264885904928","1"
"3943","14","2","-394.183062918933","1"
"3943","11","-1","-330.1776823623","1"
"3943","12","0","-348.721284133614","1"
"3954","13","0","87.7822472220298","1"
"3955","15","-1","-468.920816108114","1"
"3955","16","0","-487.464417879428","1"
"3955","17","1","-514.382594893433","1"
"3961","5","-2","-832.725902411657","1"
"3961","8","1","-905.105858210981","1"
"3961","7","0","-878.187681196976","1"
"3961","6","-1","-851.269504182971","1"
"3962","30","0","-1220.34937056615","1"
"3964","10","0","-564.01295635393","1"
"3964","9","-1","-537.094779339925","1"
"3969","11","0","-780.851239946174","1"
"3969","10","-1","-762.30763817486","1"
"3969","12","1","-807.769416960179","1"
"3972","8","-1","-889.813012838875","1"
"3972","9","0","-916.73118985288","1"
"3972","7","-2","-862.89483582487","1"
"3975","5","0","-140.756048581087","1"
"3979","10","0","-793.090211287197","1"
"3979","9","-1","-766.172034273192","1"
"3980","13","-2","-1706.2941760352","1"
"3980","16","1","-1779.75683932948","1"
"3980","15","0","-1743.38137957783","1"
"3980","14","-1","-1724.83777780651","1"
"3981","2","-2","-759.478370663216","1"
"3981","3","-1","-786.396547677221","1"
"3981","4","0","-813.314724691226","1"
"3985","18","0","27.1891471739105","1"
"3986","8","-1","-475.98463155864","1"
"3986","9","0","-494.528233329954","1"
"3986","10","1","-521.446410343959","1"
"3989","42","0","-2898.79009203243","1"
"3993","15","-1","-1054.24054299923","1"
"3993","16","0","-1081.15872001323","1"
"3994","10","0","-98.8796514069887","1"
"3994","11","1","-117.423253178303","1"
"3996","21","0","-1106.69689096786","1"
"3997","15","-1","-1565.29665647383","1"
"3997","14","-2","-1528.92119672217","1"
"3998","16","-1","-1449.73017530853","1"
"3998","15","-2","-1413.35471555687","1"
"3999","13","-1","-1489.92564702306","1"
"3999","12","-2","-1471.38204525175","1"
"3999","14","0","-1526.30110677472","1"
"4000","14","0","-256.797173935551","1"
"4002","7","-1","-967.913164187356","1"
"4002","8","0","-994.831341201361","1"
"4002","5","-3","-914.076810159345","1"
"4002","6","-2","-940.994987173351","1"
"4006","12","-1","-2219.69630167634","1"
"4006","11","-2","-2183.32084192469","1"
"4007","22","0","-718.828526962044","1"
"4020","18","0","-732.85880796521","1"
"4020","19","1","-759.776984979215","1"
"4020","17","-1","-705.940630951205","1"
"4020","16","-2","-687.397029179891","1"
"4025","2","-2","-688.997927441946","1"
"4025","3","-1","-715.916104455951","1"
"4025","4","0","-742.834281469956","1"
"4030","19","0","-1384.66375012327","1"
"4030","20","1","-1420.82439716693","1"
"4030","18","-1","-1335.31979153925","1"
"4030","17","-2","-1310.67196436906","1"
"4033","8","0","-493.413457659288","1"
"4034","42","0","-2896.44257328234","1"
"4036","37","-2","-1387.63958801918","1"
"4036","38","-1","-1424.01504777083","1"
"4037","8","-3","-1930.97737239609","1"
"4037","10","-1","-1994.27100916175","1"
"4037","9","-2","-1957.89554941009","1"
"4039","10","0","-697.861617486007","1"
"4039","9","-1","-670.943440472002","1"
"4043","8","0","-366.531341654567","1"
"4044","10","0","-611.252122818186","1"
"4044","9","-1","-584.333945804181","1"
"4045","7","-1","-698.583416093647","1"
"4045","8","0","-725.501593107652","1"
"4047","42","0","-329.43786172509","1"
"4049","10","0","-998.794463824662","1"
"4049","9","-1","-971.876286810657","1"
"4049","8","-2","-944.958109796652","1"
"4051","6","0","-134.558617399969","1"
"4051","7","1","-153.102219171283","1"
"4052","7","-1","-1070.02905233665","1"
"4052","8","0","-1096.94722935066","1"
"4052","5","-3","-1016.19269830864","1"
"4052","6","-2","-1043.11087532265","1"
"4053","7","-1","-872.627343295605","1"
"4053","8","0","-899.54552030961","1"
"4056","31","-1","-82.7768438919673","1"
"4056","32","0","-109.695020905972","1"
"4062","10","-4","-3024.56687781098","1"
"4062","12","-2","-3097.31779731429","1"
"4062","11","-3","-3060.94233756264","1"
