"cid","nH","z","dG0","estimated"
"136","42","0","-171.912294014893","1"
"137","12","0","-1342.07480603839","1"
"141","7","-1","-459.888432167037","1"
"141","8","0","-486.806609181042","1"
"144","13","-1","-884.69","0"
"144","12","-2","-846.27","0"
"144","11","-3","-789.59","0"
"146","6","0","-20.2060379591466","1"
"147","6","1","286.7","0"
"147","5","0","310.67","0"
"148","8","-1","-608.48320910414","1"
"148","9","0","-635.401386118145","1"
"149","5","-1","-872.68","0"
"149","4","-2","-842.66","0"
"152","8","0","-525.93","0"
"153","6","0","-8.5925827750649","1"
"154","66","0","-88.3065368951322","1"
"155","8","-1","-284.032853573346","1"
"155","7","-2","-265.489251802032","1"
"155","9","0","-331.85285357336","1"
"155","10","1","-358.771030587365","1"
"156","5","-1","-393.503504483022","1"
"156","6","0","-420.421681497027","1"
"158","7","-1","-1226.33","0"
"158","5","-3","-1162.69","0"
"158","6","-2","-1199.18","0"
"159","12","0","-910.0","0"
"160","3","-1","-530.95","0"
"163","5","-1","-357.772867843272","1"
"163","6","0","-384.691044857277","1"
"164","5","-1","-482.49","0"
"166","7","-1","-289.053947744742","1"
"166","8","0","-315.972124758747","1"
"168","3","-1","-608.55","0"
"169","2","-2","-1231.95","0"
"169","3","-1","-1281.5","0"
"169","4","0","-1310.73","0"
"170","16","1","-208.534772857622","1"
"170","15","0","-183.886945687431","1"
"178","5","-1","349.99","0"
"178","6","0","293.25","0"
"179","16","2","-84.938551426013","1"
"179","14","0","-47.851347883385","1"
"179","15","1","-66.394949654699","1"
"180","5","-1","-188.738770308569","1"
"180","6","0","-215.656947322575","1"
"181","10","0","-750.49","0"
"182","42","0","-2896.44257328234","1"
"183","11","0","-358.65","0"
"184","6","0","-451.0","0"
"185","22","0","-1585.94","0"
"186","5","-1","-516.72","0"
"188","9","0","-528.89","0"
"189","8","1","-199.152904063731","1"
"189","7","0","-180.609302292417","1"
"191","10","0","-1116.64951352379","1"
"191","9","-1","-1089.73133650979","1"
"193","6","0","36.0309802676911","1"
"196","5","-1","-598.268238657475","1"
"196","6","0","-625.18641567148","1"
"197","4","-3","-1502.54","0"
"197","5","-2","-1545.52","0"
"198","10","0","-903.5","0"
"199","10","-1","-1633.5","0"
"199","9","-2","-1595.32","0"
"204","10","0","-948.815392109801","1"
"204","9","-1","-921.897215095796","1"
"206","13","-2","-1782.71362555555","1"
"206","12","-3","-1758.06579838536","1"
"206","14","-1","-1819.0890853072","1"
"207","6","0","-159.7","0"
"208","22","0","-1574.69","0"
"209","0","-2","-673.9","0"
"209","1","-1","-698.33","0"
"212","14","1","-214.28","0"
"212","13","0","-194.5","0"
"213","7","0","-429.92308458135","1"
"213","6","-1","-403.004907567344","1"
"214","13","-1","-157.59","0"
"214","14","0","-214.65","0"
"216","10","0","-742.23","0"
"217","8","-1","-686.776790046127","1"
"217","9","0","-713.694967060132","1"
"217","7","-2","-668.233188274813","1"
"217","10","1","-740.613144074137","1"
"218","6","1","-39.86","0"
"219","31","-1","101.646276512929","1"
"219","32","0","74.7280994989242","1"
"221","12","0","-914.231457733719","1"
"222","3","-1","-464.228176865685","1"
"222","4","0","-491.14635387969","1"
"223","42","0","-115.431370452195","1"
"224","12","-2","-1541.98","0"
"227","3","-2","-1219.39","0"
"227","4","-1","-1268.08","0"
"227","5","0","-1298.26","0"
"230","5","-1","-598.268238657475","1"
"230","6","0","-625.18641567148","1"
"231","10","-1","-1630.98597838433","1"
"231","9","-2","-1594.61051863267","1"
"232","5","-1","-457.261030439039","1"
"232","6","0","-484.179207453044","1"
"233","9","-1","-445.14","0"
"234","21","-2","-721.599798148741","1"
"234","23","0","-775.436152176752","1"
"234","22","-1","-748.517975162746","1"
"235","9","-3","-1797.23053788176","1"
"235","10","-2","-1833.60599763341","1"
"236","4","-4","-2356.14","0"
"236","5","-3","-2401.58","0"
"236","6","-2","-2440.16","0"
"237","0","0","-119.9","0"
"239","13","-1","-1367.49906872602","1"
"239","12","-2","-1331.12360897437","1"
"242","4","-1","560.41","0"
"242","5","0","507.9","0"
"243","22","0","-1567.33","0"
"244","0","-1","-108.74","0"
"244","1","0","-111.25","0"
"246","7","-1","-352.63","0"
"247","12","0","-911.95","0"
"249","31","-1","-259.4","0"
"250","9","0","-396.689980651462","1"
"251","10","0","-998.531292763276","1"
"251","9","-1","-971.613115749271","1"
"251","8","-2","-944.694938735266","1"
"252","22","0","-1587.71","0"
"253","4","-1","-176.825002380263","1"
"253","5","0","-203.743179394268","1"
"254","10","0","-1134.19216607018","1"
"254","9","-1","-1107.27398905617","1"
"254","8","-2","-1080.35581204217","1"
"255","20","0","-511.44337404629","1"
"256","5","-1","-515.298435553469","1"
"256","6","0","-542.216612567474","1"
"257","11","-1","-1122.69888022672","1"
"257","12","0","-1149.61705724073","1"
"258","5","-1","-661.01","0"
"259","10","0","-772.883966318952","1"
"261","6","0","36.0309802676911","1"
"262","4","0","89.5","0"
"263","8","-1","-499.70045592539","1"
"263","9","0","-518.244057696704","1"
"263","10","1","-545.162234710709","1"
"265","8","-2","-177.659750636838","1"
"265","9","-1","-225.479750636852","1"
"265","10","0","-273.299750636865","1"
"266","4","0","-295.695444516262","1"
"267","12","0","-914.231457733719","1"
"272","15","0","-392.388702017779","1"
"273","10","0","-860.646806609192","1"
"275","12","-1","-1796.63","0"
"275","11","-2","-1759.87","0"
"279","8","-1","-1474.43378272131","1"
"279","7","-2","-1438.05832296966","1"
"282","2","0","17.6","0"
"283","0","-2","85.8","0"
"283","1","-1","12.08","0"
"283","2","0","-27.83","0"
"284","12","-4","-1068.35697285246","1"
"284","15","-1","-1149.11150389447","1"
"284","16","0","-1176.02968090848","1"
"284","13","-3","-1095.27514986646","1"
"284","14","-2","-1122.19332688047","1"
"286","12","-4","-2995.5271666098","1"
"286","13","-3","-3031.90262636146","1"
"288","0","-2","-527.81","0"
"288","1","-1","-586.77","0"
"288","2","0","-623.11","0"
"292","8","1","125.606374293576","1"
"292","7","0","144.14997606489","1"
"294","12","0","-409.15","0"
"295","3","-1","-574.440702800861","1"
"295","4","0","-601.358879814866","1"
"296","11","-1","-1392.82549669564","1"
"296","12","0","-1419.74367370964","1"
"299","11","-1","-160.08","0"
"299","12","0","-214.65","0"
"300","9","0","-259.2","0"
"302","8","-1","-686.776790046127","1"
"302","9","0","-713.694967060132","1"
"302","7","-2","-668.233188274813","1"
"302","10","1","-740.613144074137","1"
"303","10","0","-518.544370440929","1"
"303","11","1","-545.462547454934","1"
"303","9","-1","-500.000768669615","1"
"305","0","2","-455.3","0"
"308","13","1","-523.369187864513","1"
"308","14","2","-550.287364878518","1"
"308","11","-1","-486.281984321885","1"
"308","12","0","-504.825586093199","1"
"309","10","0","-735.94","0"
"310","10","0","-746.15","0"
"311","7","-1","-1219.47","0"
"311","5","-3","-1156.04","0"
"311","6","-2","-1192.57","0"
"312","10","0","-775.231485069048","1"
"313","35","-1","-509.96","0"
