#
#  metacyc 14.6 Genes link table generated on Mon Dec 6, 2010
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
3418	P48735	IDH2	
AT2G24210	Q9FVI8	TPS10	
AT2G24270	Q1WIQ6	NP-GAPDH	
AT2G25450		AT2G25450	
AT2G26260	O64845	3&beta;-HSD/D2	
AT2G26540		AT2G26540	
AT2G26710		CYP734A1	
AT2G27150	Q7G9P4	AAO3	
AT2G27490		AtCoaE	
AT2G27690		CYP94C1	
AT2G27730	Q9ZUX4	at2g27730	
AT2G27760	Q9ZUX7	IPT2	
AT2G27860	Q9ZUY6	AXS1	
AT2G28100	Q8GW72	FUC1	
AT2G28190		CSD2	
AT2G28880	Q8LPN3	ADCS	
AT2G29090	O81077	CYP707A2	
AT2G29630		THIC	
AT2G29980	P48623	FAD3	
AT2G30490		ATC4H	
AT2G30770	O49342	CYP71A13	
AT2G31490	Q9SIQ8	at2g31490	
AT2G31955	Q39055	Cnx2	
AT2G32440	Q9C5Y2	KAO2	
AT2G33070		AtNSP2	
AT2G33150		KAT2	
AT2G33220	O49313	at2g33220	
AT2G34490	O64698	CYP710A2	
AT2G34500	O64697	CYP710A1	
AT2G34555	O64692	GA2ox3	
AT2G34630	O64684	GPPS	
AT2G34770		AT2G34770	
AT2G35120		AT2G35120	
AT2G35370		AT2G35370	
AT2G36230		HISN3	
AT2G36310	Q9SJM7	At2G36310	
AT2G36530	P25696	LOC2	
AT2G36750	Q9ZQ99	UGT73C1	
AT2G36790		<i>UGT73C6</i>	
AT2G36800	Q9ZQ94	UGT73C5	
AT2G37940	Q9SH93	At2G37940	
AT2G38040		At2g38040	
AT2G38050	Q38944	DET2	
AT2G38230	O80448	At2g38230	
AT2G38700	O23722	MVD1	
AT2G39290		PGPS1	
AT2G39550	O80642	GGB	
AT2G39770		CYT1	
AT2G40890		REF8	
AT2G41510	O22213	CKX1	
AT2G41540		At2G41540	
AT2G42010		PLD beta	
AT2G42310	Q9SLC8	at2g42310	
AT2G43100	Q9ZW84	AT2G43100	
AT2G43360		bio2	
AT2G43750		oasB	
AT2G43760	O22827	Cnx6	
AT2G43820	O22822	AT2G43820	
AT2G44160		AtMTHFR-2	
AT2G44350		AT2G44350	
AT2G44810		DAD1	
AT2G45310	O22141	GAE4	
AT2G45970		CYP86A8	
AT2G46110	O82357	PANB1	
AT2G46370		JAR1	
AT2G46390	Q9SKE0	SDH8	
AT2G46505	Q941A0	SDH4	
AT2G47380	O22912	COXVc	
AT2G47650		UXS4	
AT2G47690	O82238	at2g47690	
AT3G01120		CGS1	
AT3G01640		AT3G01640	
AT3G01910		SOX	
AT3G02020		AT3G02020	
AT3G02580		STE1	
AT3G02780	Q42553	IPP2	
AT3G02870		VTC4	
AT3G02875		AT3G02875	
AT3G03100	Q9M9M9	at3g03100	
AT3G03310		AtLCAT3	
AT3G03530		NPC4	
AT3G03540		NPC5	
AT3G03780		AtMS2	
AT3G05970		LACS6	
AT3G07270		AF489530	
AT3G08610	Q9C9Z5	at3g08610	
AT3G09820		ADK1	
AT3G10160		DHFS/FPGS3	
AT3G10230	Q38933	LYC	
AT3G10370	Q9SS48	AT3g10370	
AT3G10870		AT3G10870	
AT3G10920		MSD1	
AT3G11170	P46310	FAD7	
AT3G11430		AT3G11430	
AT3G11480		AtBSMT1	
AT3G11670		DGD1	
AT3G11750		At3g11750	
AT3G12120	P46313	FAD2	
AT3G12260		at3g12260	
AT3G13110		SAT1-a	
AT3G13730	Q94IA6	CYP90D1	
AT3G14390		AT3G14390	
AT3G14440	Q9LRR7	NCED3	
AT3G14550	Q8GY09	GGPS3	
AT3G14940	Q84VW9	AT3G14940	
AT3G15640	Q9SSB8	COXVb	
AT3G15730		PLD alpha	
AT3G15850		fad5	
AT3G16390		AtNSP3	
AT3G16400		AtNSP1	
AT3G16410		AtNSP4	
AT3G16480	O04308	at3g16480	
AT3G16785		PLD zeta	
AT3G17820		GLN1;3	
AT3G18000		NMT 1	
AT3G18030		AtCoaC	
AT3G19160	Q9LJL4	IPT8	
AT3G19270	Q8LF37	CYP707A4	
AT3G19280	Q9LJK1	FUT11	
AT3G19450		AtCAD4	
AT3G19710		BCAT4	
AT3G21070		NADK1	
AT3G21230		4CL5	
AT3G21240	Q9S725	4CL2	
AT3G21560		UGT84A2	
AT3G21720		icl	
AT3G21750	Q9LSY9	UGT71B1	
AT3G21780		UGT71B6	
AT3G22370	Q39219	AOX1a	
AT3G22425		HISN5A	
AT3G22890		APS1	
AT3G23630	Q9LUG4	IPT7	
AT3G24220		NCED6	
AT3G24300	Q9SQH9	AMT1.3	
AT3G24503		REF1	
AT3G25110		FatA	
AT3G25585		AAPT2	
AT3G25770		AOC2	
AT3G25820	Q9LDF1	TPS-Cin	
AT3G26650	P25856	GapA-1	
AT3G27240	Q94A63	at3g27240	
AT3G29200		AtCM1	
AT3G30180	Q940V4	CYP85A2	
AT3G30775	P92983	POX1	
AT3G43190	Q0WT99	SUS4	
AT3G43600		AAO2	
AT3G44300		NIT2	
AT3G44310		NIT1	
AT3G44320		NIT3	
AT3G44860		AT3G44860	
AT3G44880	Q9FYC2	PAO	
AT3G45070		<i>AtST3a</i>	
AT3G45140		LOX2	
AT3G47833	Q9C5E8	SDH7-1	
AT3G47930	Q8GY16	at3g47930	
AT3G48680	Q9SMN1	at3g48680	
AT3G49680	Q9M401	BCAT3	
