#
#  metacyc 14.6 Genes link table generated on Mon Dec 6, 2010
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
3418	P48735	IDH2	
ENSG00000161896	Q96PC2	IP6K3	
ENSG00000163344	Q15126	PMVK	
ENSG00000163541	P53597	SUCLG1	
ENSG00000163624		CDS1	
ENSG00000163719	Q8NCE2	MTMR14	
ENSG00000164025	P00325	ADH1B	
ENSG00000164776	Q16816	PHKG1	
ENSG00000165458	O15357	INPPL1	
ENSG00000165688	Q9NRR6	INPP5E	
ENSG00000166347	P00167	CYB5A	
ENSG00000167508	P53602	MVD	
ENSG00000167588	P21695	GPD1	
ENSG00000167594	P20813	CYP2B6	
ENSG00000168448	Q99943	AGPAT1	
ENSG00000168781	Q6PFW1	PPIP5K1	
ENSG00000168918	Q92835	INPP5D	
ENSG00000169692	O15120	AGPAT2	
ENSG00000169710	P49327	FASN	
ENSG00000170522	Q9H5J4	ELOVL6	
ENSG00000171563	P11509	CYP2A6	
ENSG00000171608	O00329	PIK3CD	
ENSG00000171793	P17812	CTPS	
ENSG00000171862	P60484	PTEN	
ENSG00000172340	Q96I99	SUCLG2	
ENSG00000172893	Q9UBM7	DHCR7	
ENSG00000173598	Q9NZJ9	NUDT4	
ENSG00000176095	Q92551	IP6K1	
ENSG00000180176		TH	
EU1		EU1	
FAD4		fad4	
G-100	Q45829	buk1	
G-10000	Q988D6	pno	
G-10001	Q988B7	pldh-t	
G-10002	Q988B9	mlr6805	
G-10003	Q988B8	ppat	
G-10004	P09139	Agxt	
G-10005	P15104	GLUL	
G-10006	Q4ZH57	gluN	
G-10009	O60017	DAK	
G-10010	O93884	DAS1	
G-10011	Q00922	AOD1	
G-10012	Q96VB8	CTA1	
G-10013	P16100	icd	
G-10014	O59841	GPD	
G-10015	Q5KTR2	PGK	
G-10016	P82808	Gfpt1	
G-10017	Q06210	GFPT1	
G-10018	P53704	GFA1	
G-10020	P43577	GNA1	
G-10021	Q05592	cbiK	
G-10022	Q9JK38	Gnpnat1	
G-10023	Q92PC8	bluB	
G-10024	P38628	PCM1	
G-10025	O95394	PGM3	
G-10026	P43123	QRI1	
G-10027	Q9RHD6	wbpP	
G-10028	Q7BJX9	wbgU	
G-10029	Q14376	GALE	
G-10030	O97439	GPI1	
G-10031	Q868I8	GNA	
G-10032	Q868I7	AGM	
G-10033	Q8MUP8	UAP	
G-10034	Q868I5	UAE	
G-10035	A2Q8B5	xyrA	
G-10036	Q8X167	xkiA	
G-10037	Q86ZV0	xdhA	
G-10038	Q876R2	xdh1	
G-10039	Q8NK50	lxr1	
G-10040	Q5GN52	ladA	
G-10041	Q96V44	lad1	
G-10042		araA	
G-10043		araB	
G-10044		araC	
G-10045		araD	
G-10046		araE	
G-10047	Q97YM2	araDH	
G-10048	Q97U96	araD	
G-10049	Q97UA0	kdaD	
G-10050	Q97UA1	dopDH	
G-10051		xylB	
G-10052	Q402A8	sndH	
G-10053	Q05602	cobS	
G-10054	P39701	cobC	
G-10055	Q05603	cobT	
G-10056	Q05599	cobU	
G-10057	Q05593	cbiL	
G-10058	P29946	cbiA	
G-10059	P0A2G9	cbiF	
G-10060	Q05631	cbiG	
G-10061	P31570	cobA	
G-10062	Q05628	cbiD	
G-10063	Q05590	cbiH	
G-10064	Q05597	cbiP	
G-10065	Q05591	cbiJ	
G-10066	P0A2H1	cbiE	
G-10067		cbiT	
G-10068	Q05601	cbiC	
G-10069	Q05600	cbiB	
G-10070	Q9XDM4	pduX	
G-10071	Q8ZKP5	fpr	
G-10072	Q8ZQX1	fldA	
G-10073	Q03336	Rgn	
G-10074	Q06965	hemT	
G-10075	P10867	Gulo	
G-10076	P21267	hemL	
G-10077	Q9L6L9	fre	
G-10078		CRYL1	
G-10079	Q91XV4	DCXR	
G-10080	P29935	cobU	
G-10081	Q3SYZ6	XYLB	
G-10082	Q684J7	kivd	
G-10083	Q59780	bchM	
G-10084	P42504	hemB	
G-10085	P26172	bchP	
G-10086	P26165	bchF	
G-10087	P26177	bchX	
G-10088	P26178	bchY	
G-10089	P26179	bchZ	
G-10090	P16565	bchC	
G-10091	Q02432	bchY	
G-10092	Q3J1A0	bchZ	
G-10093	Q02431	bchX	
G-10094	P26170	bchG	
G-10095	Q2RWR2	bchP	
G-10096	O34845	bchD	
G-10097	O30819	bchI	
G-10098	Q9RFD5	bchH	
G-10099	P26168	bchE	
G-101	P33744	adhE	
G-10100	Q8VPB5	acsF	
G-10101	Q8KDI7	bciA	
G-10102	P26237	bchL	
G-10103	P26164	bchN	
G-10104	P26163	bchB	
G-10107	O93627	rbcL	
G-10108		E2b2	
G-10109	Q5JCX3	deoA	
G-10110	Q01578	gnl	
G-10111	Q07982	gfo	
G-10112	O31666	mtnW	
G-10113	O31668	mtnB	
G-10114	P04718	cbbM	
G-10115	Q8L3A7	acxA	
G-10116	Q8RM03	acxB	
G-10117	Q8RM02	acxC	
G-10118	Q56841	xecE	
G-10119	Q56840	xecD	
G-10120	Q9ZET4	aamD	
G-10121	Q9ZET5	aamC	
G-10122	Q9ZET2	aamF	
G-10124	O87082	aamA	
G-10125	Q9ZET3	aamE	
G-10126	Q9ZET6	aamB	
G-10127	P39040	TPR	
G-10129	P09848	LCT	
G-10130	Q71EW5	ahy	
G-10131		ASCT	
G-10132	P53400	&alpha;-SCS2	
G-10133	Q03184	&beta;-SCS	
G-10134	Q27088	pfoA	
G-10136	P16099	tmd	
G-10137	Q582T6	Tb927.3.2230	
G-10138	Q38AM2	Tb10.6k15.3250	
G-10139	Q64611	Csad	
G-10140	O68391	amnC	
G-10141	O52214	habA	
G-10142	O34137	amnA	
G-10143	O24680	amnB	
G-10144	P19787	PCBAB	
G-10145	Q5BM20	dntAa	
G-10146	Q6QUY4	dntAb	
G-10147	Q45695	dntAc	
G-10148	Q6QUY3	dntAd	
G-10149	Q2PWU9	dntB	
G-10150	O87474	dntD	
G-10151	Q8VUC5	dntE	
G-10152	Q8VUC7	dntG	
G-10153	Q38M41	cnbCa	
G-10154	Q38M40	cnbCb	
G-10155		cnbZ	
G-10156		cnbA	
G-10157		cnbB	
G-10158	Q38M39	cnbD	
G-10159	A4UVY1	nbaA	
G-10160	A4UVY2	nbaB	
G-10161	Q83V26	nbaC	
G-10162	Q83V25	nbaD	
G-10163	Q83V33	nbaE	
G-10164	Q83V27	nbaF	
G-10165	Q83V28	nbaG	
G-10166	P05189	PCBC	
G-10167	P27744	pcbC	
G-10168	P15802	penDE	
G-10169	Q5D0X3	tphA1	
G-10170	Q5D0X6	tphA2	
G-10171	Q5D0X5	tphA3	
G-10172	Q8KR67	psbA	
G-10174	Q9RFR0	mgs	
G-10175		cefD	
G-10176	O58690	mngB	
G-10178	O58689	mngA	
G-10179	P18549	cefD	
G-10180	O58651	PH0923	
G-10181	O58649	PH0925	
G-10182	P07874	algA	
G-10183	Q41594	TDC1	
G-10184	Q9TRF4	GMPP	
G-10185	P36871	PGM1	
G-10186	Q96G03	PGM2	
G-10187	P35557	GCK	
G-10188	Q6WG30	T5&alpha;-H	
G-10189		gpgS	
G-10190		gpgP	
G-10191	Q9CGE1	folQ	
G-10193	Q8W4T9	taxane 13&alpha;-hydroxylase	
G-10195	Q9M6F0	TAT	
G-10196	Q9AXM6	taxane 10&beta;-hydroxylase	
G-10197	P17752	TPH1	
G-10198	Q8KES3	CT0609	
G-10199	P11935	CEFEF	
G-102	P71103	pta	
G-10200	P18548	cefE	
G-10201	P42220	cefF	
G-10202	Q84KI1	taxoid 14&beta;-hydroxylase	
G-10203	Q03393	PTS	
G-10204	P30793	GCH1	
G-10205	P35270	SPR	
G-10206	Q9FPW3	2&alpha;-O-benzoyltransferase	
G-10207	Q9M6E2	DBAT	
G-1021		quiA	
G-10210	Q8H2B5	BAPT	
G-10211	Q8LL69	DBNTBT	
G-10212	P39058	CEFG	
G-10213	O85728	cmcH	
G-10214		cmcI	
G-10216		4HBS	
G-10217		P450 monooxygenase	
G-10218	Q6Q796	OMT	
G-10219	Q7BHK2	blaP1a	
G-10220	O08498	blaB	
G-10221	P08263	GSTA1	
G-10222	P09210	GSTA2	
G-10224	Q2Q478	SGT2	
G-10226	P93789	SGT1	
G-10228	Q2I6N7	SGT3	
G-10229	P08619	nit-3	
G-10230	Q4J5W2	AvinDRAFT_8464	
G-10231	P39458	narB	
G-10232	O48666	PSS	
G-10233	Q1PID4	SE	
G-10234	Q08IT1	PNA	
G-10235	Q48467	nasC	
G-10236	Q06457	nasA	
G-10237	Q5E3J6	napA	
G-10238	Q5E3J7	napB	
G-10239	Q5E3J8	napC	
G-10240	A4VHZ5	narI	
G-10241	O82139	OSCPNX1	
G-10242	Q5UYQ0	nirK	
G-10243	Q1XBU4	MTS2	
G-10245	O30375	norZ	
G-10246	Q2XSC5	LaLins	
G-10247	Q5E4J7	nrfA	
G-10248	Q86ZF9	gln-1	
G-10249	P00369	gdh	
G-10250	Q96376	Lis	
G-10251	P38945	4hbD	
G-10252	P38947	sucD	
G-10253	P38946	cat1	
G-10254	P38942	cat2	
G-10255	A5N3I5	thlA1	
G-10256	A5N5C7	crt1	
G-10257	A5N5C8	bcd	
G-10258	A5N801	pta	
G-10259		proB1	
G-10260	A5N802	ackA	
G-10261	A5N390	cat3	
G-10263	Q9LCV9	ceaS	
G-10269	Q9R8E3	bls	
G-10270	Q9RM86	abfT	
G-10271	P55792	abfD	
G-10272	Q9RM85	abfH	
G-10273	Q05582	cas2	
G-10274	P37819	pah	
G-10275	Q9LCV7	cad	
G-10276	Q41233	alliin lyase	
G-10277	P31757	ALLACA1	
G-10278	P31756	ALLASA1	
G-10279	P59082	lfs	
G-10280	O04927	alliinase	
G-10282	Q9M7L9	cysteine sulfoxide lyase	
G-10283	Q8S3J3	HIUHase	
G-10284	P04670	URnod-35	
G-10286		PGT-1	
G-10287		PGT-2	
G-10288	Q936X2	atzF	
G-10291	Q8RHX3	kdd	
G-10292	Q8RHX4	kamA	
G-10293	Q8RHX8	kamE	
G-10294	Q8RHX7	kamD	
G-10295	Q8RHX2	kce	
G-10296	Q8RHX1	kal	
G-10297	O81646	CCoAOMT	
G-10298	O82521	pAMT	
G-103	P71104	ackA	
G-10300	O82520	Kas	
G-10301		Fat	
G-10304		HCHL	
G-10306	P35575	G6PC	
G-10307		SCS7	
G-10309	Q936X3	atzE	
G-10310	Q32WI2	eafar	
G-10313	A1RCJ9	trzN	
G-10314	P58329	atzD	
G-10317	Q84LB2	AFS1	
G-10318	Q94JS8	CJFS	
G-10320	Q4VM12	&beta;-FS	
G-10321	Q66PX9	afs	
G-10322	Q52725	trzA	
G-10323		atrA	
G-10324		PTR1	
G-10325		PTR2	
G-10326	Q8VS01	trzN	
G-10327	Q0VHD6	(+)-germacrene D synthase	
G-10328	Q8LSC2	CiGASsh	
G-10329	Q8LSC3	CiGASlo	
G-10330	Q1PDD2	GAS	
G-10331	Q8S3A6	LTC1	
G-10332	Q936T0	ipuC	
G-10333	Q936T2	ipuA	
G-10334	Q936T1	ipuB	
G-10335	Q936S9	ipuD	
G-10336	Q936S8	ipuE	
G-10337	Q936S7	ipuF	
G-10338	Q936S5	ipuH	
G-10339	Q936S4	ipuI	
G-10340	Q9JRN5	gmd	
G-10341	Q9JRN7	tld	
G-10342	Q9XB60	carB	
G-10343	Q9XB61	carA	
G-10344	Q9XB59	carC	
G-10345	Q06952	rfbD	
G-10346	Q06953	rfbE	
G-10347	Q8S3A5	LTC2	
G-10348	Q70EZ6	Sc19	
G-10349	Q70EZ7	Sc11	
G-10350	O64961	germacrene C synthase	
G-10351	Q9FQ26	SSTLH1	
G-10352		colD	
G-10353		colC	
G-10354		aruH	
G-10355		aruI	
G-10356	Q3IZW1	phaA	
G-10357	Q3IZW0	phaB	
G-10358	Q3IZ78	mch	
G-10359		mcl1	
G-10360	Q3J4D9	pccA	
G-10361	Q3J4E3	pccB	
G-10362	Q3J4D7	mcmA	
G-10363	B8XVS5	ccr	
G-10365	Q9RAH6	nat	
G-10366	Q5J1R2	nocJ	
G-10367	Q877I4	accB	
G-10368	Q877I5	accC	
G-10369	Q877I3	pccB	
G-10370		smtA	
G-10371		smtB	
G-10372		mclA	
G-10376	Q96YK1	mcr	
G-10377	Q8VRG6	pcs	
G-10378		ccl	
G-10379		sct	
G-10381	A2IBI0	aah6h	
G-10382	Q1A1B0	CYP80F1	
G-10383	P74840	prpD	
G-10384	Q8ZP52	acnA	
G-10385	Q8ZRS8	acnB	
G-10386		acnD	
G-10387		prpF	
G-10388	Q91728	Gp43	
G-10390	O93918	pyc	
G-10391	Q46YU2	prpC	
G-10392	Q0KAG5	prpB	
G-10393	P31638	acsA	
G-10394	A6N6K7	LePAR1	
G-10395	A6N6K8	LePAR2	
G-10396	Q1KSC6	AADC1A	
G-10397	Q1KSC5	AADC1B	
G-10398	Q1KSC4	AADC2	
G-10399	A6BM85	AADC	
G-104	P23670	adc	
G-10400	A6BM84	PAR	
G-10401	Q0ZQX0	PAAS	
G-10402	Q0ZS27	PAAS	
G-10403	P81291	leuC	
G-10404	Q58673	leuD	
G-10405	Q58130	MJ0720	
G-10406		MAO	
G-10407	P53915	NRK1	
G-10408	P32378	COQ2	
G-10409		UGT74M1	
G-10410	P47164	STR2	
G-10411	P53101	STR3	
G-10412	P43567	AGX1	
G-10413	P96074	fom1	
G-10414	Q56190	fom2	
G-10415		fomC	
G-10416		fom3	
G-10417	Q56185	fom4	
G-10419	P50264	FMS1	
G-10420	P54115	ALD6	
G-10421	P40047	ALD5	
G-10422		ALD4	
G-10423	P47771	ALD2	
G-10424	P54114	ALD3	
G-10425	P20485	CKI1	
G-10426	P13259	PCT1	
G-10427	P17898	CPT1	
G-10428	Q6L8K4	POMT	
G-10429	Q0QLE9	ena	
G-10430	Q0QLF5	hgd	
G-10431	Q0QLF2	ndhL	
G-10432	Q0QLF1	ndhM	
G-10433	Q0QLF4	ndhF	
G-10434	Q0QLF3	ndhS	
G-10435	Q0QLF7	hnr	
G-10436	Q0QLE2	dmdA	
G-10437	Q0QLE1	dmdB	
G-10438	Q0QLE4	dml	
G-10439	Q7X9I9	RcOMT3	
G-10440	Q7X9J0	RcOMT2	
G-10441	Q8L5K7	OOMT2	
G-10442	Q8L5K8	OOMT1	
G-10443	P08019	SGA1	
G-10444	Q06625	GDB1	
G-10445	P06738	GPH1	
G-10446	P28834	IDH1	
G-10447	P28241	IDH2	
G-10448	Q42880	LE4CL-1	
G-10449	P27680	COQ3	
G-10450	Q51791	phzE	
G-10453		UGT73K1	
G-10454	Q7DC80	phzD	
G-10455		UGT71G1	
G-10456		CAD1-C1	
G-10457		CAD1-A	
G-10458		CYP706B1	
G-10459		dHG-6-OMT	
G-10460	Q51792	phzF	
G-10461	Q12051	BTS1	
G-10462	P18900	COQ1	
G-10463	P41735	COQ7	
G-10464	P49017	COQ5	
G-10465	Q9F0I2	phzO	
G-10466	Q9XF20	Acl1	
G-10468	Q8KIL1	sldA	
G-10469	Q8L1D5	sldB	
G-10470	Q8H1L1	Hyp-1	
G-10471	Q47944	BAA13144	
G-10472	Q47943	BAA13145	
G-10474	A4YD22	Msed_0147	
G-10475	A4YD23	Msed_0148	
G-10476	A4YGI1	Msed_1375	
G-10478		sm2	
G-10479	Q94ID0	laccase	
G-10481	A4YEN2	Msed_0709	
G-10482	A4YGR1	Msed_1456	
G-10483	A4YI89	Msed_2001	
G-10485	A4YEG2	Msed_0639	
G-10486	A4YEG1	Msed_0638	
G-10487	A4YIE3	Msed_2055	
G-10488	A4YGN0	Msed_1424	
G-10489	A4YGM8	Msed_1422	
G-10490	A4YG29	Msed_1220	
G-10493	O32711	mdcA	
G-10494	O32712	mdcC	
G-10495	O32713	mdcD	
G-10496	O32714	mdcE	
G-10498	O81192	BDS	
G-10499	O24743	sds1	
G-105	P23673	ctfB	
G-10500	Q5T2R2	PDSS1	
G-10501	Q86YH6	PDSS2	
G-10502	P31112	hepS	
G-10503	P31114	hepT	
G-10504	Q3T6E4	valA	
G-10505	Q3T6E2	valC	
G-10506	Q15JG1	vldE	
G-10507	Q57329	ascB	
G-10509	Q9SPK3	BGLU1	
G-10510	A3RF67	Dnbglu2	
G-10512	Q57174	ascC	
G-10513	Q66DP5	ascD	
G-10514	Q57430	ascA	
G-10515	Q57502	ascE	
G-10516	Q57103	ascF	
G-10518	Q6USK1	GES	
G-10520	Q4JHG3	PcTps-C	
G-10522	Q308N0	PfTps-PL	
G-10523	P0A1P4	rfbJ	
G-10524	P14168	rfbS	
G-10525	P14169	rfbE	
G-10526	O34514	menC	
G-10527	Q5I6B5	RhAAT1	
G-10528	Q2KNL5	GEDH1	
G-10529	Q2KNL6	GEDH	
G-10530		AAT1	
G-10531	P23973	menF	
G-10532	P45744	dhbC	
G-10533	P23970	menD	
G-10534	O86169	menH	
G-10536	O06414	menB	
G-10537	P23971	menE	
G-10538	P23966	menB	
G-10539	P39582	menA	
G-10541	P72818	menG	
G-10542	P73962	menA	
G-10543	O66127	hexs-a	
G-10544	O66129	hexs-b	
G-10545	O66128	ubiE	
G-10546	A1XWY7	CFAT	
G-10547	Q15GI3	IGS1	
G-10548		EGS1	
G-10549	Q15GI4	EGS1	
G-10550	Q08698	nrdE	
G-10551	P17424	nrdF	
G-10554		CbIGS1	
G-10557		CbEGS1	
G-10558		CbEGS2	
G-10559	P50336	PPOX	
G-10560		CYP719A2	
G-10561		CYP719A3	
G-10562		TNMT	
G-10563	P50162	TR-I	
G-10566	P50163	DURTROPR II	
G-10567	Q6KF77	trII	
G-10568	Q6KF78	sTRII	
G-10569		AB181292	
G-10571	Q838J9	menD	
G-10572	Q838K1	menE	
G-10573		NCS1	
G-10574	P72849	pbsA1	
G-10575	P09601	HMOX1	
G-10576	P53004	BLVRA	
G-10577	Q7FAE1	OsMAS	
G-10578	Q60365	rfk	
G-10579	A7BJ81	lnpB	
G-10580	Q2PHF2	OsKS5	
G-10581	Q5KSN4	ORF3	
G-10582	Q1AHB2	KS11	
G-10583	Q88C65	ubiA	
G-10585	O07854	crtM	
G-10586	Q63159	Coq3	
G-10587	O07855	crtN	
G-10588		CYP80G2	
G-10590	Q2FV57	crtP	
G-10591	P48376	clk-1	
G-10592	Q9I5R6	PA0655	
G-10593	Q53590	crtQ	
G-10594		crtO	
G-10596	Q9XGY7	FAR	
G-10597	Q9XGY6	WS	
G-10598	Q9NZJ6	COQ3	
G-10599	Q96H96	COQ2	
G-106	P33752	ctfA	
G-10600	Q99807	COQ7	
G-10602	A3QME3	WS1	
G-10603	P73495	menB	
G-10604	Q55725	menD	
G-10605	Q55182	menE	
G-10606	P74388	sll0418	
G-10607	P73727	slr1737	
G-10608	Q55810	slr0090	
G-10609	P73726	slr1736	
G-10610	Q55809	slr0089	
G-10611	Q9K499	SCO5222	
G-10612	Q9K498	SCO5223	
G-10613		EUO57974	
G-10614	P45743	dhbB	
G-10616	P39071	dhbA	
G-10617	Q9SC80	DHS1	
G-10619	Q9AXR0	DHS	
G-10620	P49366	HUMDESY	
G-10621	Q9BU89	DOHH	
G-10622	P39135	sfp	
G-10623	P40871	dhbE	
G-10624	P45745	dhbF	
G-10627	Q9M4B0	HSS	
G-10628	Q9SC13	HSS1	
G-10629	Q56575	nspC	
G-10632	P74838	fkbM	
G-10633	P55218	metZ	
G-10634	P93438	pOS-SAMS2	
G-10635	A2XFU4	OsNAS1	
G-10639	A2XFU5	OsNAS2	
G-10641	A2YQ58	OsNAS3	
G-10642	Q9ZQV9	hvnas1	
G-10643		OsNAAT1	
G-10644	Q50751	ftsA	
G-10647	Q9SMG7	naatA	
G-10649	Q9ST44	naatB	
G-10651	Q9SR43	HY2	
G-10652	Q02189	pebA	
G-10653	Q02190	pebB	
G-10654	Q40062	Ids3	
G-10655	Q55891	pcyA	
G-10656	O06491	gatA	
G-10657	O30509	gatB	
G-10658	O06492	gatC	
G-10659		pebS	
G-10660	P22250	gltX	
G-10661	Q9F466	hyuA	
G-10662	Q9RA05	limC	
G-10663	Q9EX73	mlhB	
G-10664	Q0PCF5	OsDMAS1	
G-10665	Q0PCF4	hvDMAS1	
G-10666	Q0PCF3	TaDMAS1	
G-10667	Q0PCF2	ZmDMAS1	
G-10668	Q40061	ids2	
G-10669	Q40060	ids-2	
G-10670	Q9ZAG3	limA	
G-10671		pur10	
G-10673		pur7	
G-10674		pur3	
G-10675		pur6	
G-10676	P13249	pac	
G-10678	P42712	dmpM	
G-10679		napH	
G-10680		cyc1	
G-10681		cyc2	
G-10682	O50406	Rv3377c	
G-10683	O50407	Rv3378c	
G-10684	Q6L8G3	OsFRO1	
G-10685	Q628G2	OsFRO2	
G-10686		<i>AtCSLC4</i>	
G-10687		<i>AtXT1</i>	
G-10688		<i>MUR3</i>	
G-10689		<i>AtFUT1</i>	
G-10690	Q31LX1	BGluT	
G-10691	Q8SBD0	OsIRT1	
G-10694	P00289	PETE	
G-10697	Q2PGC4	HvYS1	
G-107		xenB	
G-10701	P77952	stsC	
G-10702	P08078	strB1	
G-10703	P09401	strK	
G-10704	P08077	strA	
G-10705	P22822	bioW	
G-10706	P22806	bioF	
G-10707	Q00519	Xdh	
G-10708	Q9AY27	YS1	
G-10709	Q5TM89	OsYSL2	
G-10710	Q9X839	cyc2	
G-10711	P39714	BDH1	
G-10712	A9X7L0	ANMT	
G-10715	Q6UEH1	nor-1	
G-10716	Q12732	avnA	
G-10719	Q41156	AANTSYNB	
G-10720	P87017	adhA	
G-10722	Q6UEF4	cypX	
G-10723	Q6UEF3	moxY	
G-10724	Q6UEG5	estA	
G-10725		AIG	
G-10726	Q9FSC0	Acs2	
G-10727	Q12062	vbs	
G-10728	Q9UW95	verB	
G-10729	Q6UEF8	dmtA	
G-10730	Q12120	omtA	
G-10731	O13345	ordA	
G-10732	Q9XGI7	chln	
G-10733	Q7X9X9	NtNAS1	
G-10734	P54989	ntaA	
G-10735	P54990	ntaB	
G-10736	Q9RTA9	gatA	
G-10737	Q9RRD7	gatB	
G-10738	Q9RUV6	gatC	
G-10739		gltX	
G-10740	Q9RUN7	aspS1	
G-10741	Q9RVH4	aspS2	
G-10742	P56926	glnS	
G-10743		asnS	
G-10744	Q46675	neuB	
G-10745	Q48935	aphA	
G-10746	O05616	vanA	
G-10747	O05617	vanB	
G-10748	Q84V25	FaQR	
G-10749	Q66PF4	FaGT2	
G-10750		FaOMT	
G-10752	Q7BUE1	rifL	
G-10753	O52552	rifK	
G-10754	O52550	rifH	
G-10755	O52554	rifN	
G-10757	Q41290	Dhr1	
G-10758	Q93XR2	Dhurrinase 2	
G-10759	P52708	HNL	
G-10761	Q8DRN3	plsX	
G-10762	P0A4Q0	plsY	
G-10763	Q8DNY1	plsC	
G-10764	Q2BN77	safD	
G-10765	Q7LYW5	treT	
G-10766	Q703X2	treT	
G-10767	Q84KJ6	AMT2.2	
G-10769	Q84KJ7	AMT2.1	
G-10772	O54666	rifA	
G-10773	O52545	rifB	
G-10774	O52790	rifC	
G-10775	O54591	rifD	
G-10776	O54593	rifE	
G-10777		sbDES2	
G-10778		sbDES3	
G-10779		sbOMT3	
G-10780	Q86TX2	ACOT1	
G-10783	O52547	rifF	
G-10784	O52561	rif-orf5	
G-10786	Q9AE01	rif-orf20	
G-10787	O52570	rif-orf14	
G-10789	P52410	KASI	
G-10790	Q9C9P4	KASII	
G-10791	Q9S738	LAP-A2	
G-10792	Q93X66	enrA1	
G-10794	P07308	Scd1	
G-10795	P48629	FAD6	
G-10796	Q54795	desD	
G-10797	O04353	DES6	
G-10798	P0C061	grsA	
G-10799	P0C063	grsB	
G-108		xenA	
G-10800	Q2V0W1	PPD	
G-10801		ORF1	
G-10802		BGD2	
G-10803		BGD4	
G-10806		AH1	
G-10807		PH1	
G-10808		MDL1	
G-10809	Q08636	ntpA	
G-10810	Q08637	ntpB	
G-10811	P43456	ntpC	
G-10812	P43435	ntpD	
G-10813	P43436	ntpE	
G-10814	P43437	ntpF	
G-10815	P43455	ntpG	
G-10816	P43457	ntpK	
G-10817	P43439	ntpI	
G-10818		Crep1	
G-10819		Cpal2	
G-1082		HPL1	
G-10821	Q9S738	LAP-A1	
G-10822	Q8GZD8	LAP-N	
G-10823	Q1R9Q7	yeiN	
G-10824	Q1R9Q6	yeiC	
G-10828	Q3A7P1	acoA	
G-10829	Q3A7P0	acoB	
G-10830	Q3A7N9	acoC	
G-10831	Q3A7N7	acoL	
G-10832		LcLAR1	
G-10834		<i>LAR</i>	
G-10841		<i>MtBAN</i>	
G-10846		<i> LcANR1</i>	
G-10847	O32717	mdcH	
G-10848	P71422	mdcB	
G-10849	P71426	mdcG	
G-10850	A6XIG6	SLH	
G-10851		MAR	
G-10852	Q2HNY9	pcaB2	
G-10853	Q93PS1	pcaG2	
G-10854	Q93PS2	pcaH2	
G-10855	Q9X404	msmA	
G-10856	Q9X405	msmB	
G-10857	P70752	msmC	
G-10858	Q9X406	msmD	
G-10859	Q5LS57	dmdA	
G-10860	Q2Q093	CYP98A35	
G-10861	Q2Q094	CYP98A36	
G-10863	A4ZKI0	HCT	
G-10866		<i>UGT73B4</i>	
G-10870	Q9SWR3	MMT1	
G-10871	A6W2K8	dddD	
G-10872	A3SC37	dddL	
G-10873	Q8GPG4	ddhA	
G-10874	Q8GPG3	ddhB	
G-10875	Q8GPG1	ddhC	
G-10876	O32428	dsoA	
G-10877	O32429	dsoB	
G-10878	O32430	dsoC	
G-10879	O32431	dsoD	
G-10880	O32432	dsoE	
G-10881	O32433	dsoF	
G-10882	Q65YW9	sfnG	
G-10883	O85764	ssuD	
G-10884	O06928	madH	
G-10885	O06924	madA	
G-10886	O06926	madC	
G-10887	O06927	madD	
G-10888	O06923	madB	
G-10889	A4ZKM4	HQT	
G-10890	A4ZKM5	C3H1	
G-10891	A4ZKM6	CCoAOMT1	
G-10892	Q6PQJ9	5&beta;-POR	
G-10893	Q8A1E9	argF'	
G-10894	Q07566	ipgD	
G-10895	Q5SKT7	mqnB	
G-10896	Q92MZ4	hyuC	
G-10897	Q00924	hyuE	
G-10899		5&alpha;-POR	
G-109	P17052	alkT	
G-10900		SCCE	
G-10901		3&beta;-HSD	
G-10902	O06930	madF	
G-10903	O06925	madE	
G-10904	Q5SLG2	hisK	
G-10906	P00388	Por	
G-10907	P18125	Cyp7a1	
G-10909		Hsd3b7	
G-10911	P00389	POR	
G-10912	O02766	CYP8B1	
G-10913	P31210	Akr1d1	
G-10914	P23457	Akr1c9	
G-10915	P56522	Fdxr	
G-10917	P17178	Cyp27a1	
G-10920	Q9ES38	Slc27a5	
G-10921	P70473	Amacr	
G-10922	P97562	Acox2	
G-10923	P97852	Hsd17b4	
G-10924	P11915	Scp2	
G-10925	Q8J2V8	p2ox	
G-10926	Q12571	lcc1	
G-10927	Q02567	MNP1	
G-10928	P31837	lipB	
G-10929	Q63276	Baat	
G-10930	P06181	lipA	
G-10931	P11543	lipC	
G-10932	P11542	lipD	
G-10933	Q06326	lipE	
G-10934	P50622	lipF	
G-10935		lipG	
G-10936	Q01775	lipH	
G-10937		lipI	
G-10938		lipJ	
G-10939	P40030	ERG28	
G-10940	Q84HI0	GI:23664434	
G-10941	Q93FB2	abmG2	
G-10942	Q93FC0	abmG1	
G-10943	P22570	FDXR	
G-10944	Q93FB8	abmA	
G-10945	P16435	POR	
G-10946	Q6VVX0	CYP2R1	
G-10947	O35132	Cyp27b1	
G-10948	Q9ZI64	nahW	
G-10949	Q09128	Cyp24a1	
G-10950	Q5P5I4	ped	
G-10951	Q5P5G2	apc1	
G-10952	Q5P5G3	apc2	
G-10953	Q5P5G4	apc3	
