cid, nH, z, dG0
3109, 7, -2, -1438.05832296966
3114, 10, 0, 167.857118641938
3115, 26, -3, -2473.3027479738
3115, 25, -4, -2436.92728822215
3134, 7, 0, -15.842592866856
3139, 8, -1, -739.276288941071
3139, 9, 0, -766.194465955076
3139, 7, -2, -720.732687169757
3139, 10, 1, -793.112642969082
3140, 11, 0, -759.22731952843
3140, 12, 1, -786.145496542435
3140, 10, -1, -732.309142514425
3140, 9, -2, -713.765540743111
3142, 17, 0, -620.769926247191
3150, 15, 0, -558.443894792506
3156, 18, 0, -1577.50735799818
3156, 17, -1, -1550.58918098417
3156, 16, -2, -1523.67100397017
3160, 43, -1, -476.490840440239
3160, 44, 0, -503.409017454244
3164, 10, 0, 57.2027935128332
3169, 13, 0, -341.465079945522
3173, 5, -1, -505.141137395715
3173, 6, 0, -532.05931440972
3175, 8, -3, -1905.89795682074
3175, 10, -1, -1969.1915935864
3175, 9, -2, -1932.81613383475
3177, 13, -2, -1854.60881387661
3177, 16, 1, -1928.07147717089
3177, 15, 0, -1891.69601741924
3177, 14, -1, -1873.15241564793
3178, 4, 0, -388.686542277695
3188, 37, -1, -510.104500040214
3188, 38, 0, -537.022677054219
3189, 8, -1, -1373.14523323796
3189, 7, -2, -1336.7697734863
3194, 9, 0, -175.442542753363
3194, 10, 1, -193.986144524677
3195, 35, -1, -410.791239153767
3195, 36, 0, -437.709416167772
3196, 6, -2, -840.18
3197, 7, -1, -508.331289126822
3197, 8, 0, -535.249466140827
3198, 7, -1, -544.061925766572
3198, 8, 0, -570.980102780577
3199, 44, 0, -680.86912378552
3200, 32, 0, -2235.70553476613
3203, 7, -1, -252.416721659806
3203, 8, 0, -279.334898673811
3204, 19, -2, -637.946123706137
3204, 20, -1, -664.864300720142
3204, 21, 0, -691.782477734147
3209, 10, 0, -91.0419350974514
3210, 11, 0, -770.765655689274
3210, 10, -1, -743.847478675268
3210, 9, -2, -716.929301661263
3212, 4, 0, -36.2289175971561
3214, 8, 1, -503.686524177571
3214, 7, 0, -476.768347163566
3214, 6, -1, -458.224745392252
3215, 11, -1, -1132.95222340076
3215, 12, 0, -1159.87040041477
3217, 7, -1, -966.789703175674
3217, 8, 0, -993.707880189679
3217, 6, -2, -939.871526161669
3220, 26, 0, 136.165541576621
3221, 56, 0, -30.9307088259177
3223, 5, -1, -998.483882195355
3223, 6, 0, -1025.40205920936
3223, 4, -2, -971.56570518135
3226, 80, 0, 939.562491318755
3227, 13, 1, -557.517012871753
3227, 14, 2, -584.435189885758
3227, 11, -1, -520.429809329125
3227, 12, 0, -538.973411100439
3228, 10, 0, -461.168407727203
3230, 9, 0, -58.997972667131
3231, 42, 0, -437.843646599592
3231, 41, -1, -410.925469585586
3232, 2, -3, -1448.67
3233, 5, -1, -998.483882195355
3233, 6, 0, -1025.40205920936
3233, 4, -2, -971.56570518135
3235, 7, -1, -491.941548008609
3235, 8, 0, -518.859725022614
3237, 44, 0, -320.670328410851
3239, 11, 0, -461.03366742268
3239, 10, -1, -442.490065651366
3239, 12, 1, -487.951844436685
3240, 38, 0, -690.890928981124
3241, 10, 0, -492.680317876432
3242, 34, 0, -10.5163142768773
3242, 33, -1, 16.4018627371278
3243, 8, 0, 533.150121668229
3251, 12, -1, -1775.55062528842
3251, 11, -2, -1739.17516553676
3256, 30, 1, -724.71723197704
3256, 29, 0, -706.173630205726
3264, 11, -1, -496.197383161121
3264, 12, 0, -523.115560175126
3267, 12, -1, -1794.20047212177
3267, 11, -2, -1757.82501237011
3269, 10, 0, -864.961585933528
3273, 7, -1, -450.293884012392
3273, 8, 0, -477.212061026397
3277, 5, -1, -362.697494290924
3277, 6, 0, -389.615671304929
3280, 12, 0, -777.324035423698
3281, 40, 3, -2809.60609185645
3281, 38, 1, -2754.68703033348
3281, 35, -2, -2699.05622501954
3281, 37, 0, -2736.14342856217
3281, 36, -1, -2717.59982679085
3281, 39, 2, -2773.23063210479
3283, 10, 0, -353.888043672668
3283, 11, 1, -372.431645443982
3283, 9, -1, -335.344441901354
3283, 12, 2, -399.349822457987
3284, 8, -1, -343.975275102786
3284, 9, 0, -362.5188768741
3284, 10, 1, -389.437053888105
3287, 10, 0, -1627.36361916349
3287, 7, -3, -1523.31541176449
3287, 9, -1, -1591.20297211982
3287, 11, 1, -1654.28179617749
3287, 8, -2, -1541.8590135358
3289, 8, 0, -602.81715952564
3290, 11, 0, -344.043200622947
3290, 10, -1, -325.499598851633
3290, 12, 1, -370.961377636953
3291, 10, -1, -1630.98597838433
3291, 9, -2, -1594.61051863267
3298, 11, 0, -315.431481200481
3298, 10, -1, -288.513304186476
3300, 21, 0, -380.443529343088
3309, 24, 0, -192.476220906467
3312, 12, -1, -1753.37280765537
3312, 11, -2, -1716.99734790372
3313, 48, 0, 37.2234094574121
3314, 3, -1, -506.997466523826
3314, 4, 0, -533.915643537832
3323, 22, 0, -1579.66353375012
3328, 10, -2, -830.708639507186
3328, 11, -1, -857.626816521191
3328, 12, 0, -884.544993535196
3338, 8, 0, -471.807913233253
3339, 3, -5, -2353.51568814867
3339, 4, -4, -2380.43386516268
3339, 5, -3, -2416.80932491433
3339, 6, -2, -2453.18478466598
3340, 5, -2, -720.550676446751
3340, 7, 0, -774.387030474762
3340, 6, -1, -747.468853460757
3341, 8, -1, -451.257598965605
3341, 9, 0, -469.801200736919
3341, 10, 1, -496.719377750925
3342, 10, 0, -1106.34095982
3342, 9, -1, -1079.42278280599
3343, 21, -1, -494.94373089002
3343, 22, 0, -521.861907904025
3344, 42, 0, -280.995004765305
3345, 42, 0, -86.6675564135593
3348, 12, 0, -610.191639069701
3351, 8, 0, -218.003625706952
3352, 10, 0, -160.716488409935
3354, 11, 0, -158.318098168962
3354, 12, 1, -176.861699940276
3356, 8, -1, -1726.12171031158
3356, 7, -2, -1689.74625055993
3356, 6, -3, -1662.82807354592
3365, 14, 0, -1284.78766874137
3366, 13, -2, -1338.72535441587
3366, 12, -3, -1320.18175264456
3366, 15, 0, -1384.18713320119
3366, 16, 1, -1420.56259295284
3366, 14, -1, -1357.26895618718
3367, 32, 0, -2235.70553476613
3373, 13, -1, -1326.56978598192
3373, 12, -2, -1308.02618421061
3373, 14, 0, -1362.94524573357
3374, 42, -2, -1390.79882386385
3374, 43, -1, -1417.71700087785
3374, 44, 0, -1444.63517789186
3375, 17, 0, -33.6167422858665
3375, 19, 2, -70.7039458284944
3375, 18, 1, -52.1603440571804
3383, 10, 0, -905.34
3384, 12, -1, -1791.77
3384, 11, -2, -1756.59
3387, 8, 0, -860.169282201338
3393, 8, -1, -1726.12171031158
3393, 7, -2, -1689.74625055993
3393, 6, -3, -1662.82807354592
3394, 8, -1, -1480.42755710078
3394, 7, -2, -1444.05209734912
3401, 7, -1, -342.311588328001
3401, 8, 0, -360.855190099315
3401, 9, 1, -379.398791870629
3401, 10, 2, -406.316968884634
3404, 14, 1, -371.159499243713
3404, 13, 0, -352.615897472399
3406, 18, 0, -1136.53439704619
3406, 15, -3, -1064.15444124686
3406, 17, -1, -1109.61622003218
3406, 19, 1, -1163.45257406019
3406, 16, -2, -1082.69804301818
3409, 7, -1, -749.31487478408
3409, 8, 0, -776.233051798085
3409, 6, -2, -722.396697770075
3416, 19, 0, 92.1534350994322
3416, 20, 1, 67.5056079292415
3423, 23, 0, -521.791020757856
3425, 36, 0, -147.898389824278
3427, 65, -3, -1446.59066795329
3427, 66, -2, -1482.96612770494
3428, 49, -3, -1672.81731456913
3428, 50, -2, -1709.19277432078
3430, 22, 0, -1481.43736732682
3431, 19, 0, -772.934561747915
3431, 18, -1, -754.390959976601
3431, 20, 1, -799.85273876192
3433, 13, -2, -1854.60881387661
3433, 16, 1, -1928.07147717089
3433, 15, 0, -1891.69601741924
3433, 14, -1, -1873.15241564793
3440, 8, -1, -756.797846945554
3440, 9, 0, -783.716023959559
3441, 8, -1, -756.797846945554
3441, 9, 0, -783.716023959559
3450, 11, 0, -293.79995677557
3450, 10, -1, -275.256355004256
3450, 12, 1, -320.718133789575
3453, 5, -1, -724.019721689675
3453, 6, 0, -750.937898703681
3453, 4, -2, -697.10154467567
3455, 60, 0, -78.77981453287
3458, 5, 0, -417.821738379745
3459, 2, -2, -953.805819014962
3459, 3, -1, -980.723996028967
3459, 4, 0, -1007.64217304297
3460, 40, 0, -82.6104795868869
3461, 24, 0, 185.435413376812
3465, 10, 0, -479.839462754396
3465, 9, -1, -452.921285740391
3466, 42, 0, -75.6433331602401
3467, 10, 0, -479.839462754396
3467, 9, -1, -452.921285740391
3470, 34, 0, -853.213259422672
3473, 11, 0, -48.480852143862
3473, 12, 1, -67.024453915176
3479, 21, -2, -739.777877096665
3479, 23, 0, -793.614231124675
3479, 22, -1, -766.69605411067
3485, 8, 0, -13.2388915324998
3493, 8, -1, -379.705911742536
3493, 9, 0, -398.24951351385
3493, 10, 1, -425.167690527855
3494, 10, -1, -1523.70365452151
3494, 9, -2, -1487.32819476985
3495, 15, -1, -1409.57147565122
3495, 14, -2, -1373.19601589957
3499, 12, 0, -481.241274856685
3500, 10, 0, -437.965177435954
3503, 18, 0, -332.351651022429
3505, 5, -2, -1137.76849524297
3505, 6, -1, -1174.14395499462
3506, 13, -1, -1136.44776138882
3506, 12, -2, -1100.07230163717
3508, 8, 1, -503.686524177571
3508, 7, 0, -476.768347163566
3508, 6, -1, -458.224745392252
3509, 12, -1, -1674.26207580506
3509, 11, -2, -1637.8866160534
3522, 8, -1, -276.043216957844
3522, 9, 0, -302.961393971849
3525, 19, 0, -1417.01108105269
3525, 18, -1, -1398.46747928138
3525, 20, 1, -1443.9292580667
3527, 22, 0, -362.24832435436
3536, 13, -1, -1219.08657558347
3536, 12, -2, -1182.71111583182
3539, 16, -1, -1032.86800522789
3539, 17, 0, -1051.41160699921
3539, 18, 1, -1078.32978401321
3546, 12, -1, -2219.69630167634
3546, 11, -2, -2183.32084192469
3547, 3, -1, -520.465195092523
3547, 4, 0, -547.383372106528
3548, 2, -2, -749.666362417477
3548, 3, -1, -776.584539431482
3548, 4, 0, -803.502716445487
3561, 42, 0, -329.43786172509
3564, 7, 0, -551.74771167554
3564, 6, -1, -524.829534661535
3567, 12, 0, -467.620956794744
3569, 10, 0, -295.806669271904
3570, 14, 1, -768.419045480997
3570, 13, 0, -749.875443709683
3571, 11, 0, -367.605460509083
3571, 10, -1, -349.061858737769
3571, 12, 1, -394.523637523088
3577, 35, -2, -664.266302464801
3577, 38, 1, -736.646258264126
3577, 36, -1, -682.809904236115
3577, 37, 0, -709.72808125012
3582, 12, 0, -196.627962642809
3584, 8, -1, -443.326683883866
3584, 9, 0, -461.87028565518
3584, 10, 1, -488.788462669185
3586, 5, -1, -462.483700083673
3586, 6, 0, -489.401877097678
3589, 7, -1, -615.613612989642
3589, 8, 0, -642.531790003647
3590, 5, -1, -500.785828345842
3590, 6, 0, -527.704005359847
3592, 15, 0, -531.949980013269
3595, 68, 0, 195.29529013886
3600, 7, -1, -1160.36347862852
3600, 8, 0, -1187.28165564252
3600, 5, -3, -1106.52712460051
3600, 6, -2, -1133.44530161451
3604, 8, -1, -1480.42755710078
3604, 7, -2, -1444.05209734912
3606, 12, -1, -1822.38554952091
3606, 11, -2, -1786.01008976926
3618, 8, -1, -688.57717693372
3618, 9, 0, -715.495353947725
3618, 7, -2, -670.033575162406
3618, 10, 1, -742.41353096173
3619, 14, 0, -856.944320436701
3621, 13, 0, -79.9191051530038
3622, 11, 0, 68.4907593529286
3626, 18, 0, -269.989265662302
3626, 19, 1, -296.907442676307
3626, 17, -1, -251.445663890988
3630, 37, -2, -1245.18478396935
3630, 38, -1, -1281.56024372101
3647, 5, -1, -524.525837624408
3647, 6, 0, -551.444014638413
3647, 4, -2, -497.607660610402
3648, 14, 0, -903.583441581685
3651, 8, -1, -756.797846945554
3651, 9, 0, -783.716023959559
3652, 10, 0, -893.312526849435
3652, 9, -1, -866.39434983543
3652, 8, -2, -839.476172821425
3654, 12, -1, -1781.54439966788
3654, 11, -2, -1745.16893991622
3656, 11, 0, -462.834054310273
3656, 10, -1, -444.290452538959
3656, 12, 1, -489.752231324278
3657, 7, -1, -457.181455834258
3657, 8, 0, -484.099632848264
3659, 14, 0, -1284.78766874137
3660, 14, 0, -1284.78766874137
3661, 32, 0, -2240.40057226632
3663, 8, 0, -374.32550292162
3665, 8, -1, -356.029005164416
3665, 9, 0, -374.57260693573
3665, 10, 1, -401.490783949735
3666, 5, -1, -882.668750411554
3666, 3, -3, -828.832396383544
3666, 6, 0, -909.586927425559
3666, 4, -2, -855.750573397549
3668, 5, -1, -866.474525739501
3668, 6, 0, -893.392702753506
3668, 4, -2, -839.556348725496
3672, 10, 0, -564.01295635393
3672, 9, -1, -537.094779339925
3676, 5, -1, -687.217841048126
3676, 6, 0, -714.136018062131
3676, 4, -2, -660.299664034121
3678, 8, -1, -499.70045592539
3678, 9, 0, -518.244057696704
3678, 10, 1, -545.162234710709
3680, 7, -1, -443.20517849537
3680, 8, 0, -470.123355509375
3684, 11, 0, -305.836507176318
3685, 50, 0, -253.126419058718
3687, 6, 0, -23.2204346950277
3687, 8, 2, -60.3076382376557
3687, 7, 1, -41.7640364663417
3690, 38, 0, -427.851224947594
3693, 10, -4, -2596.72352950632
3693, 12, -2, -2669.47444900962
3693, 11, -3, -2633.09898925797
3703, 5, -1, -591.504780371009
3703, 6, 0, -618.422957385014
3711, 13, 0, -46.3370252908714
3716, 5, -1, -776.157383461275
3716, 6, 0, -803.07556047528
3722, 3, -2, -550.122468904138
3722, 4, -1, -577.040645918143
3722, 5, 0, -603.958822932149
3727, 8, -1, -834.14505959857
3727, 9, 0, -861.063236612575
3727, 7, -2, -815.601457827256
3727, 10, 1, -887.98141362658
3731, 39, -1, -2965.58337621906
3731, 40, 0, -2984.12697799037
3731, 41, 1, -3020.50243774202
3731, 38, -2, -2947.03977444774
3734, 10, 0, -1627.36361916349
3734, 7, -3, -1523.31541176449
3734, 9, -1, -1591.20297211982
3734, 11, 1, -1654.28179617749
3734, 8, -2, -1541.8590135358
3735, 12, -1, -1791.85295337167
3735, 11, -2, -1755.47749362002
3736, 10, -1, -1622.32038455776
3736, 9, -2, -1585.94492480611
3737, 10, -1, -1650.5054619569
3737, 9, -2, -1614.13000220525
3739, 12, 0, -748.816254672731
3741, 8, -1, -443.463437698552
3741, 9, 0, -462.007039469866
3741, 10, 1, -488.925216483872
3743, 6, 0, -634.500240482504
3750, 11, -1, -382.401978754268
3750, 12, 0, -409.320155768273
3752, 14, 1, -1003.80464498801
3752, 12, -1, -958.342866202687
3752, 13, 0, -976.886467974001
3754, 8, -1, -1257.03229037791
3754, 9, 0, -1293.19293742158
3754, 7, -2, -1207.68833179389
3755, 41, 0, -1976.21637637098
3755, 43, 2, -2013.30357991361
3755, 42, 1, -1994.75997814229
3758, 11, 0, -251.445199430722
3758, 12, 1, -269.988801202036
3761, 10, 0, -891.512139961843
3761, 9, -1, -864.593962947838
3761, 8, -2, -837.675785933832
3762, 5, -1, -309.420058209427
3762, 6, 0, -336.338235223432
3765, 8, 0, -161.766607480115
3767, 10, 0, -656.619317090631
3767, 9, -1, -629.701140076626
3771, 11, 0, -513.533166317624
3771, 10, -1, -494.98956454631
3771, 12, 1, -540.45134333163
3783, 13, -1, -1609.6650813673
3783, 12, -2, -1591.12147959598
3783, 14, 0, -1646.04054111895
3785, 10, -4, -2599.07104825641
3785, 12, -2, -2671.82196775972
3785, 11, -3, -2635.44650800807
3790, 8, -1, -749.014238214323
3790, 9, 0, -775.932415228328
3790, 7, -2, -722.096061200317
3794, 19, 0, -1652.98352778356
3794, 16, -3, -1562.77171400389
3794, 18, -1, -1616.6080680319
3794, 17, -2, -1589.6898910179
3794, 15, -4, -1538.1238868337
3795, 16, 0, 94.7858536990104
3795, 17, 1, 70.1380265288197
3805, 40, -1, -1366.80465749681
3805, 39, -2, -1330.42919774516
3811, 12, -1, -1791.85295337167
3811, 11, -2, -1755.47749362002
3817, 7, -1, -405.973591711654
3817, 8, 0, -432.891768725659
3824, 8, 1, -316.635678219143
3824, 7, 0, -289.717501205138
3824, 6, -1, -271.173899433824
3826, 7, -1, -771.338793812246
3826, 8, 0, -798.256970826251
3827, 10, 0, -793.090211287197
3827, 9, -1, -766.172034273192
3828, 13, -2, -1706.2941760352
3828, 16, 1, -1779.75683932948
3828, 15, 0, -1743.38137957783
3828, 14, -1, -1724.83777780651
3840, 6, 0, 117.394205646942
3844, 14, 0, -1284.78766874137
3848, 32, 0, -2238.05305351623
3850, 13, -2, -1942.72636207868
3850, 12, -3, -1906.35090232703
3850, 11, -4, -1881.70307515684
3850, 14, -1, -1979.10182183033
3857, 22, 0, -1579.66353375012
3858, 49, 0, -889.197952580064
3858, 50, 1, -907.741554351378
3864, 16, 0, -467.306982003391
3865, 16, 0, -467.306982003391
3868, 19, 0, -1251.98681180759
3871, 11, 0, -814.010144496305
3871, 12, 1, -840.92832151031
3871, 10, -1, -787.0919674823
3871, 9, -2, -768.548365710986
3882, 19, 0, -325.16272589336
3884, 15, -1, -420.805374441862
3884, 16, 0, -439.348976213176
3884, 17, 1, -466.267153227182
3885, 77, -1, 575.47685193642
3885, 78, 0, 548.558674922415
3894, 8, -1, -1217.42005241535
3894, 7, -2, -1181.0445926637
3906, 10, -1, -1650.5054619569
3906, 9, -2, -1614.13000220525
3912, 7, 0, -558.729894067962
3912, 6, -1, -531.811717053957
3914, 11, 0, -255.275896870965
3914, 10, -1, -228.35771985696
3921, 7, -1, -1124.31527088587
3921, 8, 0, -1151.23344789988
3921, 6, -2, -1097.39709387187
3926, 10, 0, -948.815392109801
3926, 9, -1, -921.897215095796
3927, 5, 0, -155.985160536927
3929, 16, 0, -302.068263653285
3932, 10, 0, -948.815392109801
3932, 9, -1, -921.897215095796
3943, 13, 1, -367.264885904928
3943, 14, 2, -394.183062918933
3943, 11, -1, -330.1776823623
3943, 12, 0, -348.721284133614
3954, 13, 0, 87.7822472220298
3955, 15, -1, -468.920816108114
3955, 16, 0, -487.464417879428
3955, 17, 1, -514.382594893433
3961, 5, -2, -832.725902411657
3961, 8, 1, -905.105858210981
3961, 7, 0, -878.187681196976
3961, 6, -1, -851.269504182971
3962, 30, 0, -1220.34937056615
3964, 10, 0, -564.01295635393
3964, 9, -1, -537.094779339925
3969, 11, 0, -780.851239946174
3969, 10, -1, -762.30763817486
3969, 12, 1, -807.769416960179
3972, 8, -1, -889.813012838875
3972, 9, 0, -916.73118985288
3972, 7, -2, -862.89483582487
3975, 5, 0, -140.756048581087
3979, 10, 0, -793.090211287197
3979, 9, -1, -766.172034273192
3980, 13, -2, -1706.2941760352
3980, 16, 1, -1779.75683932948
3980, 15, 0, -1743.38137957783
3980, 14, -1, -1724.83777780651
3981, 2, -2, -759.478370663216
3981, 3, -1, -786.396547677221
3981, 4, 0, -813.314724691226
3985, 18, 0, 27.1891471739105
3986, 8, -1, -475.98463155864
3986, 9, 0, -494.528233329954
3986, 10, 1, -521.446410343959
3989, 42, 0, -2898.79009203243
3993, 15, -1, -1054.24054299923
3993, 16, 0, -1081.15872001323
3994, 10, 0, -98.8796514069887
3994, 11, 1, -117.423253178303
3996, 21, 0, -1106.69689096786
3997, 15, -1, -1565.29665647383
3997, 14, -2, -1528.92119672217
3998, 16, -1, -1449.73017530853
3998, 15, -2, -1413.35471555687
3999, 13, -1, -1489.92564702306
3999, 12, -2, -1471.38204525175
3999, 14, 0, -1526.30110677472
4000, 14, 0, -256.797173935551
4002, 7, -1, -967.913164187356
4002, 8, 0, -994.831341201361
4002, 5, -3, -914.076810159345
4002, 6, -2, -940.994987173351
4006, 12, -1, -2219.69630167634
4006, 11, -2, -2183.32084192469
4007, 22, 0, -718.828526962044
4020, 18, 0, -732.85880796521
4020, 19, 1, -759.776984979215
4020, 17, -1, -705.940630951205
4020, 16, -2, -687.397029179891
4025, 2, -2, -688.997927441946
4025, 3, -1, -715.916104455951
4025, 4, 0, -742.834281469956
4030, 19, 0, -1384.66375012327
4030, 20, 1, -1420.82439716693
4030, 18, -1, -1335.31979153925
4030, 17, -2, -1310.67196436906
4033, 8, 0, -493.413457659288
4034, 42, 0, -2896.44257328234
4036, 37, -2, -1387.63958801918
4036, 38, -1, -1424.01504777083
4037, 8, -3, -1930.97737239609
4037, 10, -1, -1994.27100916175
4037, 9, -2, -1957.89554941009
4039, 10, 0, -697.861617486007
4039, 9, -1, -670.943440472002
4043, 8, 0, -366.531341654567
4044, 10, 0, -611.252122818186
4044, 9, -1, -584.333945804181
4045, 7, -1, -698.583416093647
4045, 8, 0, -725.501593107652
4047, 42, 0, -329.43786172509
4049, 10, 0, -998.794463824662
4049, 9, -1, -971.876286810657
4049, 8, -2, -944.958109796652
4051, 6, 0, -134.558617399969
4051, 7, 1, -153.102219171283
4052, 7, -1, -1070.02905233665
4052, 8, 0, -1096.94722935066
4052, 5, -3, -1016.19269830864
4052, 6, -2, -1043.11087532265
4053, 7, -1, -872.627343295605
4053, 8, 0, -899.54552030961
4056, 31, -1, -82.7768438919673
4056, 32, 0, -109.695020905972
4062, 10, -4, -3024.56687781098
4062, 12, -2, -3097.31779731429
4062, 11, -3, -3060.94233756264
4063, 10, -4, -3024.56687781098
4063, 12, -2, -3097.31779731429
4063, 11, -3, -3060.94233756264
4064, 10, -4, -3024.56687781098
4064, 12, -2, -3097.31779731429
4064, 11, -3, -3060.94233756264
4067, 14, 0, -736.933463225437
4076, 11, 0, -455.03989304322
4076, 10, -1, -436.496291271906
4076, 12, 1, -481.958070057225
4081, 13, 0, 130.568146040984
4083, 13, 0, 294.671198580954
4091, 8, 0, -464.127935916495
4092, 8, -1, -546.047465634033
4092, 9, 0, -572.965642648038
4093, 17, -3, -1684.11721457383
4093, 18, -2, -1720.49267432549
4101, 20, 0, -2087.6371038696
4103, 53, -1, -1043.65969196339
4103, 54, 0, -1070.57786897739
4104, 11, -1, -663.976294045355
4104, 12, 0, -690.89447105936
4105, 5, -1, -469.465882476094
4105, 6, 0, -496.384059490099
4106, 7, -1, -607.819451722589
4106, 8, 0, -634.737628736594
4110, 6, 0, -23.93824980205
4112, 7, -1, -524.525513798875
4112, 8, 0, -551.44369081288
4112, 6, -2, -497.60733678487
4115, 7, -1, -1330.01952342334
4115, 8, 0, -1356.93770043734
4115, 5, -3, -1276.18316939533
4115, 6, -2, -1303.10134640933
4122, 8, -2, -1016.68857863966
4122, 9, -1, -1035.23218041098
4122, 10, 0, -1071.60764016263
4126, 8, -2, -1016.68857863966
4126, 9, -1, -1035.23218041098
4126, 10, 0, -1071.60764016263
4131, 4, -1, -520.765507836748
4131, 5, 0, -547.683684850753
4137, 18, 0, -785.358306860155
4137, 19, 1, -812.27648387416
4137, 17, -1, -758.440129846149
4137, 16, -2, -739.896528074835
4145, 73, -3, -892.323951418387
4145, 74, -2, -928.69941117004
4146, 65, -3, -1005.43727472631
4146, 66, -2, -1041.81273447796
4147, 22, 0, -1574.96849624992
4164, 18, 0, -787.461371649207
4165, 30, 0, -1220.34937056615
4166, 20, 0, -366.776215278251
4171, 7, -1, -773.99312371491
4171, 8, 0, -800.911300728915
4175, 9, -3, -2315.25178260265
4175, 10, -2, -2351.6272423543
4175, 8, -4, -2278.87632285099
4181, 7, -1, -627.667343051272
4181, 8, 0, -654.585520065277
4185, 7, 0, -569.656947322752
4185, 6, -1, -542.738770308746
4186, 7, -1, -1038.39360740863
4186, 8, 0, -1065.31178442263
4186, 5, -3, -984.557253380616
4186, 6, -2, -1011.47543039462
4187, 15, -2, -2275.49487260746
4187, 14, -3, -2239.1194128558
4188, 12, -1, -1606.99632686095
4188, 11, -2, -1570.6208671093
4191, 40, -2, -2996.30964624793
4191, 43, 1, -3069.77230954221
4191, 41, -1, -3014.85324801925
4191, 42, 0, -3033.39684979056
4197, 19, 0, -824.143463502927
4203, 13, 1, 207.661638195176
4203, 12, 0, 226.20523996649
4209, 7, -1, -846.258300059666
4209, 8, 0, -873.176477073671
4209, 9, 1, -900.094654087676
4209, 6, -2, -827.714698288352
4210, 15, -1, -712.907777377852
4210, 16, 0, -739.825954391857
4210, 17, 1, -766.744131405862
4210, 14, -2, -694.364175606538
4216, 57, -3, -1118.55059803423
4216, 58, -2, -1154.92605778588
4217, 41, -3, -1344.77724465007
4217, 42, -2, -1381.15270440173
4218, 82, 0, -1588.44550877844
4219, 22, 0, -1577.31601500002
4221, 8, 0, -464.127935916495
4223, 18, 0, -323.50011785752
4225, 7, -1, -974.87998678847
4225, 8, 0, -1001.79816380248
4225, 5, -3, -921.04363276046
4225, 6, -2, -947.961809774465
4226, 7, 0, -571.953938718912
4226, 6, -1, -545.035761704907
4227, 11, 0, -204.206032966466
4227, 12, 1, -222.74963473778
4229, 13, -1, -821.396625968431
4229, 12, -2, -785.021166216777
4234, 10, -3, -1974.19825928706
4234, 12, -1, -2037.49189605272
4234, 11, -2, -2001.11643630106
4236, 10, 0, -832.815939828021
4236, 9, -1, -805.897762814015
4236, 8, -2, -778.97958580001
4237, 10, 0, -647.61837363863
4237, 9, -1, -620.700196624625
4244, 13, 0, -349.112604597049
4245, 49, 2, -138.371310035637
4245, 50, 3, -165.289487049642
4245, 46, -1, -65.9913542363128
4245, 43, -4, -10.3605489223709
4245, 47, 0, -84.5349560076268
4245, 48, 1, -111.453133021632
4245, 44, -3, -28.9041506936848
4245, 51, 4, -192.207664063647
4245, 45, -2, -47.4477524649988
4259, 12, -1, -119.153593635601
4259, 13, 0, -146.071770649606
4265, 52, 0, -1625.8383107828
4272, 10, 0, -697.861617486007
4272, 9, -1, -670.943440472002
4275, 32, 0, -1660.13114142334
4277, 22, 0, -472.5859353593
4280, 16, 1, -1241.79474625396
4280, 15, 0, -1223.25114448265
4281, 7, 0, -707.044531909376
4281, 6, -1, -680.12635489537
4282, 7, 0, -700.062349516954
4282, 6, -1, -673.144172502949
4287, 8, 0, -618.464474305917
4290, 21, 1, -93.8325716219549
4290, 19, -1, -48.3707928366357
4290, 20, 0, -66.9143946079497
4302, 15, -1, -1729.07449660911
4302, 13, -3, -1665.78085984345
4302, 14, -2, -1692.69903685746
4309, 5, -2, -1442.91886842172
4309, 4, -3, -1416.00069140772
4309, 6, -1, -1479.29432817338
4314, 10, 0, -253.13675406966
4316, 48, 0, -762.021009343015
4322, 7, 0, -558.729894067962
4322, 6, -1, -531.811717053957
4324, 5, -1, -1045.36075383527
4324, 3, -3, -991.524399807262
4324, 6, 0, -1072.27893084928
4324, 4, -2, -1018.44257682127
4332, 18, 0, -652.530156869506
4348, 39, -1, -663.44
4348, 40, 0, -687.47
4349, 7, -1, -878.621117675065
4349, 8, 0, -905.539294689071
4354, 18, 0, -1979.80460783007
4354, 17, -1, -1952.88643081607
4354, 16, -2, -1925.96825380206
4359, 13, -2, -1740.00218037717
4359, 14, -1, -1776.37764012882
4360, 24, 0, -2674.33992693754
4366, 7, -1, -783.490043782459
4366, 8, 0, -810.408220796464
4366, 5, -3, -729.653689754449
4366, 6, -2, -756.571866768454
4368, 11, 0, -391.282367087203
4368, 10, -1, -372.738765315889
4368, 12, 1, -418.200544101208
4371, 7, -1, -291.274061702738
4371, 8, 0, -318.192238716743
4371, 5, -3, -195.634061702711
4371, 6, -2, -243.454061702724
4378, 13, -1, -1065.10486644073
4378, 14, 0, -1101.48032619238
4378, 12, -2, -1040.45703927054
4382, 40, -2, -2996.30964624793
4382, 43, 1, -3069.77230954221
4382, 41, -1, -3014.85324801925
4382, 42, 0, -3033.39684979056
4404, 11, -1, -917.348987022154
4404, 12, 0, -944.267164036159
4405, 44, 0, -324.271102186036
4409, 5, -2, -602.398635206966
4409, 8, 1, -674.77859100629
4409, 7, 0, -647.860413992285
4409, 6, -1, -620.942236978279
4411, 10, -2, -822.255683220741
4411, 11, -1, -849.173860234746
4411, 12, 0, -876.092037248751
